idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
1508,1940,-0.24812500178813934,for this i an older man with medium length grey hair and glasses in a cafe diner with a hot drink with steam coming out pondering something with serious intent i from this the zooms out showing him through the window an a wider shot of the city which looks a gotham new york type of city is displayed…,a ballet class with kids dancing around in tutus,for this i could imagine an older man with medium length grey hair and glasses pictured in a cafe diner with a hot drink with steam coming out pondering something with serious intent i could image from this the scene zooms out showing him through the window an a wider shot of the city which looks li…,a ballet class with kids dancing around in tutus,Ele_MED_19,Jaz_LOW_21,videogame,concert,False,False,Electronic,Jazz,bottom
1421,1940,-0.17400169372558594,another detective the detectives partner had just been murdered and he sits alone smoking in a they were friends maybe a bit more than that in another life time he knows he can not work this case but damn it if he wont try everything he can to catch the killer,a ballet class with kids dancing around in tutus,another detective story the detectives partner had just been murdered and he sits alone smoking in a bar they were friends maybe a bit more than that in another life time he knows he cannot work this case but damn it if he wont try everything he can to catch the killer,a ballet class with kids dancing around in tutus,80s_LOW_02,Jaz_LOW_21,movie,concert,False,False,80s,Jazz,bottom
1508,1824,-0.16852504014968872,for this i an older man with medium length grey hair and glasses in a cafe diner with a hot drink with steam coming out pondering something with serious intent i from this the zooms out showing him through the window an a wider shot of the city which looks a gotham new york type of city is displayed…,i children doing ballet dancing at school,for this i could imagine an older man with medium length grey hair and glasses pictured in a cafe diner with a hot drink with steam coming out pondering something with serious intent i could image from this the scene zooms out showing him through the window an a wider shot of the city which looks li…,i imagined children doing ballet dancing at school,Ele_MED_19,Jaz_LOW_21,videogame,concert,False,False,Electronic,Jazz,bottom
497,1148,-0.15118752419948578,very confusing i immediately oh they be dead and its so sad and everyone is at the funeral and mourning then there was this beat that was so entirely unexpected it became they be dead yes but they loved a kick,a kid a on his tablet or ipad,very confusing i immediately imagined oh they be dead and its so sad and everyone is at the funeral and mourning then there was this beat that was so entirely unexpected it became they be dead yes but they loved a kick drum,a kid playing a video game on his tablet or ipad,Ele_MED_19,Jaz_LOW_21,movie,videogame,False,False,Electronic,Jazz,bottom
1254,1940,-0.14924101531505585,i a motorbike from a the motorbike moving fast paced through a city,a ballet class with kids dancing around in tutus,i imagined a motorbike scene from a movie the motorbike moving fast paced through a city,a ballet class with kids dancing around in tutus,Met_LOW_09,Jaz_LOW_21,movie,concert,False,False,Metal,Jazz,bottom
792,1084,-0.14445896446704865,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,the draws my attention to the time i was around my niece and how much they love spending time on screen watching kids entertainment,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,the sounds draws my attention to the time i was around my niece and how much they love spending time on screen watching kids entertainment,80s_LOW_02,Jaz_LOW_21,videogame,videogame,False,True,80s,Jazz,bottom
792,1940,-0.14282327890396118,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,a ballet class with kids dancing around in tutus,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,a ballet class with kids dancing around in tutus,80s_LOW_02,Jaz_LOW_21,videogame,concert,False,False,80s,Jazz,bottom
792,1090,-0.13964000344276428,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,it was very joyful and reminded me of childhood computer,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,it was very joyful and reminded me of playing childhood computer games,80s_LOW_02,Jaz_LOW_21,videogame,videogame,False,True,80s,Jazz,bottom
247,1497,-0.13731946051120758,a random day in a sunny shopping district,my exboyfriends step dad loved the kiss and he always their in his room and that is exactly what i about when i heard this it brought some sad because our relationship did not end well,a random day in a sunny shopping district,my exboyfriends step dad loved the band kiss and he would always play their music in his room and that is exactly what i thought about when i heard this song playing it brought some sad memories because our relationship did not end well,80s_LOW_06,Met_LOW_14,concert,bar,False,False,80s,Metal,bottom
434,1013,-0.13398098945617676,i once attended a and have definitely heard similar i was trying to when it was but i not,our hero has reached a breaking point and plans to kick so major butt someone messed with the wrong person hes packing a bag putting clothes medical supplies weapons anything he may need to take down the big guy before leaving his industrial style apartment and getting on his big motorcycle and driv…,i once attended a concert and have definitely heard similar sounds i was trying to remember when it was but i could not,our hero has reached a breaking point and plans to kick so major butt someone messed with the wrong person hes packing a bag putting clothes medical supplies weapons anything he may need to take down the big guy before leaving his industrial style apartment and getting on his big motorcycle and driv…,Met_LOW_09,Met_LOW_09,concert,movie,True,False,Metal,Metal,bottom
