idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
117,118,0.9836562275886536,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
952,1432,0.8765564560890198,end credits of a,the end credits of a,imagined end credits of a game,sounded like the end credits of a movie,80s_LOW_02,80s_MED_08,videogame,concert,False,False,80s,80s,top
1785,1896,0.8759645223617554,a on a stage more of a heavy,a on stage the with big a heavy,a band playing on a stage more of a rock heavy metal band,a band on stage playing the song with big guitars like a heavy rock band,Met_LOW_09,Met_MED_20,videogame,concert,False,False,Metal,Metal,top
694,897,0.8386756181716919,i myself seated in my house balcony while my mind is being overcame by thoughts,i myself seated in my house just meditating about my life,i imagined myself seated in my house balcony while my mind is being overcame by thoughts,i imagined myself seated in my house just meditating about my life,Jaz_MED_07,80s_LOW_02,movie,videogame,False,False,Jazz,80s,top
316,641,0.8298013210296631,i a where the protagonist is chasing after the villain,i an action where someone is being pursued by villains,i imagined a movie scene where the protagonist is chasing after the villain,i imagined an action movie where someone is being pursued by villains,Met_LOW_14,Ele_LOW_09,movie,movie,False,True,Metal,Electronic,top
762,1262,0.8247285485267639,it reminded me of 80s for some reason,it reminded me of a 70s era vibe,it reminded me of 80s music videos for some reason,it reminded me of a 70s era vibe,80s_LOW_02,80s_LOW_06,videogame,videogame,False,True,80s,80s,top
1162,1164,0.8229365348815918,the is melodious and seems to be played during colorful wedding,the seems to be played in occasional events wedding,the music is melodious and seems to be played during colorful wedding,the music seems to be played in occasional events like wedding,Jaz_MED_07,80s_MED_13,concert,bar,False,False,Jazz,80s,top
44,1474,0.8210054636001587,dimly lit dance hall bright flashing led lights a dj hyping the people up in the crowd almost a rave air about it,dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is drinking or sitting next to the,dimly lit dance hall bright flashing led lights a dj hyping the people up in the crowd almost a rave air about it,dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is drinking or sitting next to the bar,Ele_LOW_09,Ele_LOW_09,videogame,bar,True,False,Electronic,Electronic,top
1433,1696,0.8191298842430115,played at a or fancy restaurant,played at a club or a bistro,sounds like music played at a bar or fancy restaurant,played at a jazz club or a bistro,Jaz_MED_02,80s_LOW_02,movie,concert,False,False,Jazz,80s,top
730,1485,0.8169081807136536,stage lights are flashing and strobing the crowd are getting really into the a small part of the crowd near the front are moshing whilst other dotted throughout the crowd are headbanging,its a the crowd is one big mass and everyone is surging forward lots of lights and some fire around the stage while the is dancing and,stage lights are flashing and strobing the crowd are getting really into the music a small part of the crowd near the front are moshing whilst other dotted throughout the crowd are headbanging,its a rock concert the crowd is one big mass and everyone is surging forward lots of lights and some fire around the stage while the band is dancing and playing,Met_LOW_14,Met_MED_20,concert,concert,False,True,Metal,Metal,top
