idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
412,1367,-0.238731250166893,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,of,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,thought of playing video games,Ele_LOW_09,80s_MED_13,videogame,bar,False,False,Electronic,80s,bottom
412,1832,-0.20051051676273346,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,i a action when the star is about to attack,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,i imagined a movie action scene when the movie star is about to attack,Ele_LOW_09,Met_LOW_09,videogame,videogame,False,True,Electronic,Metal,bottom
412,1836,-0.1956828236579895,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,mostly the terry perry is what i about black americans having a party,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,mostly the terry perry movie is what i thought about black americans having a party,Ele_LOW_09,80s_LOW_06,videogame,movie,False,False,Electronic,80s,bottom
792,1860,-0.19179697334766388,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next in which i am driving a white car down a black road that is shimmering with the water from the r…,i of wacky elevator or designed for kid that have you things or looking for items,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next scene in which i am driving a white car down a black road that is shimmering with the water from…,i thought of wacky elevator music or music designed for kid games that have you making things or looking for items,Ele_MED_19,Jaz_LOW_21,concert,concert,False,True,Electronic,Jazz,bottom
412,1665,-0.18558266758918762,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,i of a man in a suit and hat smoking a cigar alone in a big city its raining and he looks a bit sad,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,i think of a man in a suit and hat smoking a cigar alone in a big city its raining and he looks a bit sad,Ele_LOW_09,Jaz_MED_02,videogame,videogame,False,True,Electronic,Jazz,bottom
629,910,-0.18085291981697083,it the from a car racing,i of a 80s with 80s themed background and clothes,it sounds like the music from a car racing game,i thought of a 80s movie with 80s themed background and clothes,Jaz_LOW_19,80s_LOW_06,videogame,bar,False,False,Jazz,80s,bottom
825,1148,-0.1749507337808609,it just a from an action adventure and it me of tom cruise,so i a with other participants online with a background such as the one i just listened to alsothe i in this scenario was football football and listening to this give me much more confide,it just sounded like a sound from an action adventure movie and it made me think of tom cruise movies,so i imagined playing a video game with other participants online with a background music such as the one i just listened to alsothe video game i imagined in this scenario was football playing football and listening to this music would give me much more confide,Ele_LOW_09,80s_LOW_06,movie,videogame,False,False,Electronic,80s,bottom
412,498,-0.17394933104515076,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,i this again as a but more a festival but specifically for people whos entire personality is that they and that its the best ever,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,i pictured this again as a rock concert but more like a festival but specifically for people whos entire personality is that they like rock and that its the best music ever made,Ele_LOW_09,Met_LOW_09,videogame,concert,False,False,Electronic,Metal,bottom
1140,1858,-0.17322608828544617,it really reminded me of tron a dark arena lit by neon blue lights with players getting ready to battle as the track builds i the players running at each other to fight,it very familiar only until the voices came in then it stopped familiar at first it the starting screen for a console when it turns on then when the water drops sort of happened it reminded me of a i have heard before i do not know which one but something nostalgic,it really reminded me of tron a dark arena lit by neon blue lights with players getting ready to battle as the track builds i imagined the players running at each other to fight,it sounded very familiar only until the voices came in then it stopped sounding familiar at first it sounded like the starting screen for a video game console when it turns on then when the water drops sort of sound happened it reminded me of a song i have heard before i do not know which one but so…,Ele_LOW_09,80s_MED_13,concert,videogame,False,False,Electronic,80s,bottom
412,595,-0.17150083184242249,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,i felt hyper and active it was i was building up energy to go for or achieve something,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,i felt hyper and active it was like i was building up energy to go for or achieve something,Ele_LOW_09,Ele_LOW_14,videogame,videogame,False,True,Electronic,Electronic,bottom
