Potential Misspelling,Original Text
nt,"very heavy rock, not for me. somewhere that i don't belong. did not enjoy"
ve,"very charged, maybe you've won something or won a battle. hyped up. possibly ending credits? meant to be good"
rememeber,"very bland, like lift music or something. not something i would specifically think about or rememeber. end credits again?"
ve,very charged. sounds like a song i've heard before in an advert about 'you wouldn't steal a ...' blank. feels like it's telling you something. feels important or like you need to be paying attention
nt,very charged. sounds like a song i've heard before in an advert about 'you wouldn't steal a ...' blank. feels like it's telling you something. feels important or like you need to be paying attention
nt,"well made, quite sad and dynamic. maybe a sad scene or something is being revealed. doing something important. maybe walking in the rain or going to do something you shouldn't be"
nt,a mix of things that shouldn't be together. doesn't sound right or meshed well to me. too much going on. not sure what part of a movie it would fit. sounded confusing
nt,a mix of things that shouldn't be together. doesn't sound right or meshed well to me. too much going on. not sure what part of a movie it would fit. sounded confusing
doesnt,"Doesnt fit with what i would imagien for a video game but does make me imagine a character walking into a high end bar or jazz club, specifically in NYC. Would fit with a more slow moving video game "
imagien,"Doesnt fit with what i would imagien for a video game but does make me imagine a character walking into a high end bar or jazz club, specifically in NYC. Would fit with a more slow moving video game "
nyc,"Doesnt fit with what i would imagien for a video game but does make me imagine a character walking into a high end bar or jazz club, specifically in NYC. Would fit with a more slow moving video game "
aorund,"Gave much more upbeat, energy. Imagining a car racing through the streets at night with neon lights aorund or a high speed chase"
initailly,"Initailly imagined it to be a piece playing over a sad moment of the movie however as the beat was added, it fit more with a coming of age movie"
ngith,Middle aged men who ride motorbikes with long grey beards. Mosh pits. Dark ngith time concert. Loud. Headbanging
cocktials,"Jazz club, Cocktials and high end. Ladies in fancy dresses ansd men in suits. Potentially some people up dancing at the front in a swing style "
ansd,"Jazz club, Cocktials and high end. Ladies in fancy dresses ansd men in suits. Potentially some people up dancing at the front in a swing style "
nt,Not sure where this would fit. Can't especially imagine it working very well 
pacman,Makes me think of those gaming bars where you drink and they have old games consoles like pacman etc. Or in a 70/80/90s themed bar
etc,Makes me think of those gaming bars where you drink and they have old games consoles like pacman etc. Or in a 70/80/90s themed bar
708090s,Makes me think of those gaming bars where you drink and they have old games consoles like pacman etc. Or in a 70/80/90s themed bar
cocktials,"Made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables. Cocktials, old fashioned etc. Young bar staff dressed in black and white "
etc,"Made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables. Cocktials, old fashioned etc. Young bar staff dressed in black and white "
nyc,"Again jazz bar in NYC, cocktails flowing, older clientelle, eveyrone nicely dressed, atmospheric lighting"
clientelle,"Again jazz bar in NYC, cocktails flowing, older clientelle, eveyrone nicely dressed, atmospheric lighting"
eveyrone,"Again jazz bar in NYC, cocktails flowing, older clientelle, eveyrone nicely dressed, atmospheric lighting"
sci,Imagine it in a sci fi movie
fi,Imagine it in a sci fi movie
smartphone,Sort of reminds me of a few racing mobile games i used to play on my first real smartphone. Very nostalgic.
1416,"I imagined the korean movies i used to binge watch when i was around the age of 14-16. i had just gotten back from school and after getting my assignments sorted out, My favorite korean show was next in line."
21,"i imagined walking in a clothing store (forever 21, Charlotte russe e.t.c) and hearing this song blasting from the speakers."
russe,"i imagined walking in a clothing store (forever 21, Charlotte russe e.t.c) and hearing this song blasting from the speakers."
etc,"i imagined walking in a clothing store (forever 21, Charlotte russe e.t.c) and hearing this song blasting from the speakers."
intro,"reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background."
gta,"reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background."
xbox,"reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background."
gta,"reminds me of an intro on GTA back when i had an x-box. I imagined turning it on and going on gta, while waiting for the whole game to load and hearing this music in the background."
moviehaving,I imagined my self in an old school movie-having a slow dance with a friend while sipping on a glass of wine.
covid,Vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers.
