idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
117,118,0.9833164811134338,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
952,1432,0.9808191061019897,end credits of a,the end credits of a,imagined end credits of a game,sounded like the end credits of a movie,80s_LOW_02,80s_MED_08,videogame,concert,False,False,80s,80s,top
1785,1896,0.9498448967933655,a on a stage more of a heavy,a on stage the with big a heavy,a band playing on a stage more of a rock heavy metal band,a band on stage playing the song with big guitars like a heavy rock band,Met_LOW_09,Met_MED_20,videogame,concert,False,False,Metal,Metal,top
118,120,0.9157781600952148,it a energetic with a strong beat and a powerful electric,it a energetic with a powerful electric,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a powerful electric guitar,Jaz_LOW_19,Met_LOW_14,concert,movie,False,False,Jazz,Metal,top
202,203,0.896872878074646,played in classy restaurants and events,more cool and classy played in classy events and restaurants,jazz music played in classy restaurants and events,sounds more like cool and classy jazz music played in classy events and restaurants,Jaz_LOW_19,Jaz_MED_02,concert,bar,False,False,Jazz,Jazz,top
117,120,0.8941865563392639,its an energetic with a strong beat and a powerful electric,it a energetic with a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a powerful electric guitar,Met_LOW_09,Met_LOW_14,concert,movie,False,False,Metal,Metal,top
611,618,0.8883457183837891,it me of my early twenties when i was in college i used to party a lot and go to the,me of my college days when i used to party a lot,it reminds me of my early twenties when i was in college i used to party a lot and go to the bars,reminds me of my college days when i used to party a lot,Jaz_LOW_21,Met_LOW_09,bar,bar,False,True,Jazz,Metal,top
653,1564,0.8747012615203857,people dancing romantically in a,a romantic people dancing in each others arms,people dancing romantically in a bar,a romantic scene people dancing in each others arms,Ele_MED_20,80s_LOW_02,bar,concert,False,False,Electronic,80s,top
186,752,0.8743776679039001,from a pac man arcade machine,a such as pac man in an arcade,sounds from a pac man arcade machine,playing a video game such as pac man in an arcade,Ele_LOW_14,Ele_LOW_14,bar,videogame,True,False,Electronic,Electronic,top
1372,1697,0.8676285147666931,this also the opening of an anime,the opening for a shonen anime,this also sounded like the opening scene of an anime,sounds like the opening for a shonen anime,Met_MED_19,Met_MED_20,concert,concert,False,True,Metal,Metal,top
