idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
1414,1872,0.06009480357170105,its black and white a detective is sitting at the smoking they are panning around in an opening title sequence he has case files spewed about in front of him hes a regular a glass of whiskey neat sweats next to him as he looks over the crowd,country,its black and white a detective is sitting at the bar smoking they are panning around in an opening title sequence he has case files spewed about in front of him hes a regular a glass of whiskey neat sweats next to him as he looks over the crowd,country music,Jaz_MED_07,Jaz_MED_02,concert,videogame,False,False,Jazz,Jazz,bottom
1268,1872,0.06065218523144722,i a large as well as a musician holding a i am not sure if i heard a in the though at the beginning of the i gothic architecture such as a gothic mansion with tall iron gates i also envisioned a romantic cafe in a city paris with couples seated together and cups of coffee emitting steam into the air,country,i imagined a large piano as well as a jazz musician holding a saxophone i am not sure if i heard a saxophone in the music though at the beginning of the music clip i imagined gothic architecture such as a gothic mansion with tall iron gates i also envisioned a romantic cafe scene in a city like pari…,country music,80s_LOW_02,Jaz_MED_02,movie,videogame,False,False,80s,Jazz,bottom
740,1872,0.06094219535589218,this either me i was waiting in an elevator in a very tall building i guess the beating percussion is good for that or in a fun club in the 1920s dancing with all my friends,country,this either made me think i was waiting in an elevator in a very tall building i guess the beating percussion is good for that or in a fun club in the 1920s dancing with all my friends,country music,Jaz_LOW_21,Jaz_MED_02,bar,videogame,False,False,Jazz,Jazz,bottom
256,1872,0.06254897266626358,i a intense chase and fight starting off in slow motion with running a man catching up to another man ready to throw a punch and the other man karate kicking him the slow motion stops and the fight intensifies and speeds up when the gets faster,country,i imagined a intense chase and fight scene starting off in slow motion with running a man catching up to another man ready to throw a punch and the other man karate kicking him the slow motion stops and the fight intensifies and speeds up when the music gets faster,country music,Met_LOW_14,Jaz_MED_02,movie,videogame,False,False,Metal,Jazz,bottom
929,1872,0.06516823172569275,i hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe,country,i imagined hanging out at a laidback bar with friends on a weekend the music is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the bar sipping drinks and just enjoying the easygoing vibe,country music,Ele_MED_20,Jaz_MED_02,bar,videogame,False,False,Electronic,Jazz,bottom
735,1872,0.06645400822162628,if this was in a i walk out i also did not this but it did me i was about to start a war or head into battle but this was very unenjoyable,country,if this was playing in a bar i would walk out i also did not like this but it did make me think i was about to start a war or head into battle but this was very unenjoyable,country music,Met_LOW_09,Jaz_MED_02,bar,videogame,False,False,Metal,Jazz,bottom
1014,1872,0.06666921079158783,i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his sword and the character runs up along it to take down the boss,country,i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his sword and the character runs up along it to take down the boss,country music,Met_LOW_14,Jaz_MED_02,videogame,videogame,False,True,Metal,Jazz,bottom
264,1872,0.06793002039194107,i a group of people in a skate park all skating passing each other by high fiving some people talking and spectating others trying to do trick shots with their skate boards and others flying in the air because of the ramps,country,i imagined a group of people in a skate park all skating passing each other by high fiving some people talking and spectating others trying to do trick shots with their skate boards and others flying in the air because of the ramps,country music,Met_MED_20,Jaz_MED_02,videogame,videogame,False,True,Metal,Jazz,bottom
780,1872,0.06845152378082275,i am in japan its the 80s during the summer me and my girlfriend are in a night out in town shes wearing a nice dress we both have sun kissed skin and the glow of teenage youth she smiles at me and i smile back at her we go from the city to a club and were dancing as we stare into eachothers eyes wi…,country,i am in japan its the 80s during the summer me and my girlfriend are in a night out in town shes wearing a nice dress we both have sun kissed skin and the glow of teenage youth she smiles at me and i smile back at her we go from the city to a club and were dancing as we stare into eachothers eyes wi…,country music,80s_LOW_06,Jaz_MED_02,bar,videogame,False,False,80s,Jazz,bottom
664,1872,0.06977495551109314,i found it quite hard to this being played in a it felt more suited towards a pub or some kind of specialist place however i lots of people at the dressed in black leather studded clothing and rocking their heads back and forth with tattoos,country,i found it quite hard to imagine this being played in a bar it felt more suited towards a pub or some kind of music specialist place however i could picture lots of people at the bar dressed in black leather studded clothing and rocking their heads back and forth with tattoos,country music,Met_LOW_09,Jaz_MED_02,bar,videogame,False,False,Metal,Jazz,bottom
