idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
117,118,0.9891303777694702,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
952,1432,0.9414711594581604,end credits of a,the end credits of a,imagined end credits of a game,sounded like the end credits of a movie,80s_LOW_02,80s_MED_08,videogame,concert,False,False,80s,80s,top
1785,1896,0.9285630583763123,a on a stage more of a heavy,a on stage the with big a heavy,a band playing on a stage more of a rock heavy metal band,a band on stage playing the song with big guitars like a heavy rock band,Met_LOW_09,Met_MED_20,videogame,concert,False,False,Metal,Metal,top
611,618,0.9273460507392883,it me of my early twenties when i was in college i used to party a lot and go to the,me of my college days when i used to party a lot,it reminds me of my early twenties when i was in college i used to party a lot and go to the bars,reminds me of my college days when i used to party a lot,Jaz_LOW_21,Met_LOW_09,bar,bar,False,True,Jazz,Metal,top
1433,1696,0.8912074565887451,played at a or fancy restaurant,played at a club or a bistro,sounds like music played at a bar or fancy restaurant,played at a jazz club or a bistro,Jaz_MED_02,80s_LOW_02,movie,concert,False,False,Jazz,80s,top
1372,1697,0.8907802104949951,this also the opening of an anime,the opening for a shonen anime,this also sounded like the opening scene of an anime,sounds like the opening for a shonen anime,Met_MED_19,Met_MED_20,concert,concert,False,True,Metal,Metal,top
635,639,0.8781172037124634,i an instrumentalist performing for a the before the starts,i an instrumentalist performing a at a,i imagined an instrumentalist performing for a singer the sound plays before the singer starts,i imagined an instrumentalist performing a song at a bar,Ele_MED_19,80s_LOW_06,concert,bar,False,False,Electronic,80s,top
762,1262,0.8695836663246155,it reminded me of 80s for some reason,it reminded me of a 70s era vibe,it reminded me of 80s music videos for some reason,it reminded me of a 70s era vibe,80s_LOW_02,80s_LOW_06,videogame,videogame,False,True,80s,80s,top
729,733,0.8689097762107849,an introduction at a the crowd is beginning to buzz with excitement as the are all their way to the stage loud cheers are erupting each time one of the members enters the feeling of tension within the crowd as they anticipate the entrance of the is lifting,another introduction style to as the are entering the stage people are getting excited there is a bustling among the crowd as the members are entering the stage,an introduction song at a concert the crowd is beginning to buzz with excitement as the band are all making their way to the stage loud cheers are erupting each time one of the band members enters the feeling of tension within the crowd as they anticipate the entrance of the band is lifting,another introduction style song to play as the band are entering the stage people are getting excited there is a bustling among the crowd as the band members are entering the stage,Jaz_MED_02,80s_MED_13,concert,concert,False,True,Jazz,80s,top
186,752,0.8656995892524719,from a pac man arcade machine,a such as pac man in an arcade,sounds from a pac man arcade machine,playing a video game such as pac man in an arcade,Ele_LOW_14,Ele_LOW_14,bar,videogame,True,False,Electronic,Electronic,top
