idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
28,55,0.050132578075197005,heavy somewhere belong enjoy endofinput middle age men ride motorbike long grey beard mosh pit dark night time loud headbanging endofinput self watch bunch heavy favorite headset endofinput felt melodic death endofinput sort different kind expect bit shout hint endofinput cacophony noise synonymous …,see loading screen anime girl sit seat window knee chest cozy also futuristic outside window seem rain cityscape seem high ground cloud block view downwards endofinput felt spacey chill vibe endofinput give nostalgic feel cousin afternoon summer endofinput weird alien vibe kind surface planet nothin…,very heavy rock not for me somewhere that i do not belong did not enjoy | middle aged men who ride motorbikes with long grey beards mosh pits dark night time concert loud headbanging | i imagined my self watching a bunch of heavy metal songs with my favorite headset on | it felt like i was at a meta…,i could see a loading screen for a video game an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards | i felt a space…,Met_LOW_09,Ele_MED_20,concert,videogame,False,False,Met,Ele,bottom
27,63,0.05074202528511589,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,charge maybe something battle hype possibly end credit mean good endofinput sure fit especially work well endofinput sort racing mobile use first real smartphone nostalgic endofinput avenged sevenfold endofinput hero endofinput usually beginning adventure subway surf sport car racing endofinput soni…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,Jaz_MED_07,Met_MED_20,concert,videogame,False,False,Jaz,Met,bottom
26,63,0.05433895230278404,kid spend afternoon grandma jigsaw puzzle endofinput first great time la noir straight club prohibition era speakeasy endofinput first browser window cafe ambient see universtys starbucks full view saw inside though id step inside watch student sip coffee tap away laptop endofinput bring back ex par…,charge maybe something battle hype possibly end credit mean good endofinput sure fit especially work well endofinput sort racing mobile use first real smartphone nostalgic endofinput avenged sevenfold endofinput hero endofinput usually beginning adventure subway surf sport car racing endofinput soni…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,Jaz_MED_02,Met_MED_20,concert,videogame,False,False,Jaz,Met,bottom
41,44,0.05448456546079663,peppy lift feels busy need something maybe walk shopping center listen background endofinput fun supermarket shop come age endofinput tom jerry show use watch track background tom jerry mischievous usual endofinput cute little cafe simulator kind endofinput whimsical endofinput typical cartoon kid s…,corp nightclub sheffield saturday night aka bad nightmare grimy absolutely hate endofinput superhero vocal come mind go blank endofinput hero reach breaking point plan kick major butt someone mess wrong person pack bag put clothes medical supply weapon anything may need take big guy leave industrial…,very peppy like lift music again feels busy like you need to do something maybe walking through a shopping center listening to this in the background | fun supermarket shopping scene in a coming of age movie | reminds me of a tom jerry show i used to watch the sound track playing in the background w…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,Jaz_LOW_21,Met_LOW_09,movie,movie,False,True,Jaz,Met,bottom
11,63,0.057374513797546794,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,charge maybe something battle hype possibly end credit mean good endofinput sure fit especially work well endofinput sort racing mobile use first real smartphone nostalgic endofinput avenged sevenfold endofinput hero endofinput usually beginning adventure subway surf sport car racing endofinput soni…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,Jaz_MED_07,Met_MED_20,bar,videogame,False,False,Jaz,Met,bottom
9,44,0.05901745184583828,phone company help put hold long time endofinput elevator get call put hold also fit generic supermarket endofinput sort speakeasy ever watch broad city theres episode abi turn gail speakeasy endofinput first thing old jetsons cartoon marimba marimba type front endofinput capture explore new place m…,corp nightclub sheffield saturday night aka bad nightmare grimy absolutely hate endofinput superhero vocal come mind go blank endofinput hero reach breaking point plan kick major butt someone mess wrong person pack bag put clothes medical supply weapon anything may need take big guy leave industrial…,phoning some company for help and then being put on hold for a long time while this music plays | it sounds like elevator music or the music you get on a call when you are put on hold would also fit a generic supermarket in a movie | music in some sort of speakeasy if you have ever watched broad cit…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,Jaz_LOW_21,Met_LOW_09,bar,movie,False,False,Jaz,Met,bottom
24,55,0.05940217527836746,dynamic see people dance somewhere similar jazzy fun upbeat endofinput club cocktail high end lady fancy dress men suit potentially people dance front swing style endofinput self audience watch live orchestra pay close attention small detail munch bucket p endofinput sort style anime maybe baccano m…,see loading screen anime girl sit seat window knee chest cozy also futuristic outside window seem rain cityscape seem high ground cloud block view downwards endofinput felt spacey chill vibe endofinput give nostalgic feel cousin afternoon summer endofinput weird alien vibe kind surface planet nothin…,very dynamic could see people dancing to this in a bar or somewhere similar jazzy very fun and upbeat | jazz club cocktails and high end ladies in fancy dresses and men in suits potentially some people up dancing at the front in a swing style | i imagined my self in the audience watching a live orch…,i could see a loading screen for a video game an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards | i felt a space…,Jaz_LOW_19,Ele_MED_20,concert,videogame,False,False,Jaz,Ele,bottom
19,63,0.0594243433659724,quite magical whimsical endofinput enter new zone area endofinput extended version console start endofinput esque abstract first navy blue background fog cold white blue ambient light last th seem fit musical musical come mind endofinput relate circumstance new romantic relationship endofinput love …,charge maybe something battle hype possibly end credit mean good endofinput sure fit especially work well endofinput sort racing mobile use first real smartphone nostalgic endofinput avenged sevenfold endofinput hero endofinput usually beginning adventure subway surf sport car racing endofinput soni…,sounds quite magical and whimsical | playing a video game and entering a new zone area | it sounded like an extended version of a 90s console start up sound | i imagined an 80s esque piece abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the son…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,80s_MED_13,Met_MED_20,concert,videogame,False,False,80s,Met,bottom
16,44,0.05952521230026502,dad dad love wherever hear bring feeling nostalgia curiosity endofinput walk empty church building test church service endofinput hit right away la noir detective try interview attractive suspect try hide truth endofinput even though one present huge orchestra background man huge stadium stage man l…,corp nightclub sheffield saturday night aka bad nightmare grimy absolutely hate endofinput superhero vocal come mind go blank endofinput hero reach breaking point plan kick major butt someone mess wrong person pack bag put clothes medical supply weapon anything may need take big guy leave industrial…,i thought about my dad being in a jazz concert my dad loved jazz and wherever i hear it i think about him this song brought feelings of nostalgia and curiosity | i imagined myself walking into an empty church building where the music instruments are being tested before church service | it did not hi…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,80s_LOW_02,Met_LOW_09,concert,movie,False,False,80s,Met,bottom
1,62,0.059786241851211085,felt really style hawaiian hula style decor endofinput evoke feeling want dance friend endofinput husband miss want dance laugh listen endofinput friend celebratory mood saxophonist give u special solo help u enjoy already happy night endofinput course somebody drink go severally great endofinput in…,much young hero endofinput bos fight straight jrpg yakuza endofinput heavy hero hero wii endofinput screen hero display someone friend endofinput evoke sense freedom adventure endofinput burst fireon top worldcare freejust let go feel rhythm endofinput combat multiplayer get ready battle feel fully …,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,80s_LOW_06,Met_MED_19,bar,videogame,False,False,80s,Met,bottom
