doc_i,doc_j,similarity,same_clip,same_context,same_genre,condition
0,1,0.9316521,False,True,True,diff_clip_same_context
0,2,0.9310192,False,True,True,diff_clip_same_context
0,3,0.93518853,False,True,True,diff_clip_same_context
0,4,0.9075672,False,True,False,diff_clip_same_context
0,5,0.92853844,False,True,False,diff_clip_same_context
0,6,0.9624686,False,True,False,diff_clip_same_context
0,7,0.9642541,False,True,False,diff_clip_same_context
0,8,0.93094546,False,True,False,diff_clip_same_context
0,9,0.9448772,False,True,False,diff_clip_same_context
0,10,0.96972483,False,True,False,diff_clip_same_context
0,11,0.9589443,False,True,False,diff_clip_same_context
0,12,0.93184716,False,True,False,diff_clip_same_context
0,13,0.92669654,False,True,False,diff_clip_same_context
0,14,0.94451743,False,True,False,diff_clip_same_context
0,15,0.91458726,False,True,False,diff_clip_same_context
0,16,0.9574953,True,False,True,same_clip_diff_context
0,17,0.9165827,False,False,True,diff_clip_diff_context_same_genre
0,18,0.940686,False,False,True,diff_clip_diff_context_same_genre
0,19,0.9471028,False,False,True,diff_clip_diff_context_same_genre
0,20,0.9210603,False,False,False,diff_clip_diff_context_diff_genre
0,21,0.9032376,False,False,False,diff_clip_diff_context_diff_genre
0,22,0.94591975,False,False,False,diff_clip_diff_context_diff_genre
0,23,0.94174623,False,False,False,diff_clip_diff_context_diff_genre
0,24,0.9392547,False,False,False,diff_clip_diff_context_diff_genre
0,25,0.93221885,False,False,False,diff_clip_diff_context_diff_genre
0,26,0.9401123,False,False,False,diff_clip_diff_context_diff_genre
0,27,0.9560078,False,False,False,diff_clip_diff_context_diff_genre
0,28,0.9177681,False,False,False,diff_clip_diff_context_diff_genre
0,29,0.91347855,False,False,False,diff_clip_diff_context_diff_genre
0,30,0.9069888,False,False,False,diff_clip_diff_context_diff_genre
0,31,0.8986305,False,False,False,diff_clip_diff_context_diff_genre
0,32,0.9676758,True,False,True,same_clip_diff_context
0,33,0.9231688,False,False,True,diff_clip_diff_context_same_genre
0,34,0.94599146,False,False,True,diff_clip_diff_context_same_genre
0,35,0.9533259,False,False,True,diff_clip_diff_context_same_genre
0,36,0.90008694,False,False,False,diff_clip_diff_context_diff_genre
0,37,0.8987429,False,False,False,diff_clip_diff_context_diff_genre
0,38,0.947695,False,False,False,diff_clip_diff_context_diff_genre
0,39,0.9573373,False,False,False,diff_clip_diff_context_diff_genre
0,40,0.9376,False,False,False,diff_clip_diff_context_diff_genre
0,41,0.9303894,False,False,False,diff_clip_diff_context_diff_genre
0,42,0.9642628,False,False,False,diff_clip_diff_context_diff_genre
0,43,0.9517146,False,False,False,diff_clip_diff_context_diff_genre
0,44,0.8974197,False,False,False,diff_clip_diff_context_diff_genre
0,45,0.8828027,False,False,False,diff_clip_diff_context_diff_genre
0,46,0.9130951,False,False,False,diff_clip_diff_context_diff_genre
0,47,0.92827785,False,False,False,diff_clip_diff_context_diff_genre
0,48,0.9625578,True,False,True,same_clip_diff_context
0,49,0.9340632,False,False,True,diff_clip_diff_context_same_genre
0,50,0.9399765,False,False,True,diff_clip_diff_context_same_genre
0,51,0.9417061,False,False,True,diff_clip_diff_context_same_genre
0,52,0.90151244,False,False,False,diff_clip_diff_context_diff_genre
0,53,0.878313,False,False,False,diff_clip_diff_context_diff_genre
0,54,0.950393,False,False,False,diff_clip_diff_context_diff_genre
0,55,0.94019383,False,False,False,diff_clip_diff_context_diff_genre
0,56,0.8930032,False,False,False,diff_clip_diff_context_diff_genre
0,57,0.9252703,False,False,False,diff_clip_diff_context_diff_genre
0,58,0.9587536,False,False,False,diff_clip_diff_context_diff_genre
0,59,0.9602521,False,False,False,diff_clip_diff_context_diff_genre
0,60,0.8938105,False,False,False,diff_clip_diff_context_diff_genre
0,61,0.8821301,False,False,False,diff_clip_diff_context_diff_genre
0,62,0.8719656,False,False,False,diff_clip_diff_context_diff_genre
0,63,0.8886526,False,False,False,diff_clip_diff_context_diff_genre
1,2,0.9478946,False,True,True,diff_clip_same_context
1,3,0.92502546,False,True,True,diff_clip_same_context
1,4,0.88684577,False,True,False,diff_clip_same_context
1,5,0.92428416,False,True,False,diff_clip_same_context
1,6,0.911895,False,True,False,diff_clip_same_context
1,7,0.91562974,False,True,False,diff_clip_same_context
1,8,0.92946994,False,True,False,diff_clip_same_context
1,9,0.9608166,False,True,False,diff_clip_same_context
1,10,0.9519421,False,True,False,diff_clip_same_context
1,11,0.9455822,False,True,False,diff_clip_same_context
1,12,0.9236314,False,True,False,diff_clip_same_context
1,13,0.8923332,False,True,False,diff_clip_same_context
1,14,0.91328436,False,True,False,diff_clip_same_context
1,15,0.90136456,False,True,False,diff_clip_same_context
1,16,0.9337189,False,False,True,diff_clip_diff_context_same_genre
1,17,0.9550069,True,False,True,same_clip_diff_context
1,18,0.92828566,False,False,True,diff_clip_diff_context_same_genre
1,19,0.922041,False,False,True,diff_clip_diff_context_same_genre
1,20,0.91180766,False,False,False,diff_clip_diff_context_diff_genre
1,21,0.8926322,False,False,False,diff_clip_diff_context_diff_genre
1,22,0.9303498,False,False,False,diff_clip_diff_context_diff_genre
1,23,0.87447995,False,False,False,diff_clip_diff_context_diff_genre
1,24,0.9336091,False,False,False,diff_clip_diff_context_diff_genre
1,25,0.93783885,False,False,False,diff_clip_diff_context_diff_genre
1,26,0.9426765,False,False,False,diff_clip_diff_context_diff_genre
1,27,0.9561135,False,False,False,diff_clip_diff_context_diff_genre
1,28,0.8986349,False,False,False,diff_clip_diff_context_diff_genre
1,29,0.91340655,False,False,False,diff_clip_diff_context_diff_genre
1,30,0.8939142,False,False,False,diff_clip_diff_context_diff_genre
1,31,0.903558,False,False,False,diff_clip_diff_context_diff_genre
1,32,0.9200947,False,False,True,diff_clip_diff_context_same_genre
1,33,0.9147262,True,False,True,same_clip_diff_context
1,34,0.9232688,False,False,True,diff_clip_diff_context_same_genre
1,35,0.91338557,False,False,True,diff_clip_diff_context_same_genre
1,36,0.8465794,False,False,False,diff_clip_diff_context_diff_genre
1,37,0.8591556,False,False,False,diff_clip_diff_context_diff_genre
1,38,0.9037621,False,False,False,diff_clip_diff_context_diff_genre
1,39,0.89234966,False,False,False,diff_clip_diff_context_diff_genre
