idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
412,1367,-0.238731250166893,an evil character plans to kill someone in a cartoon,it felt really good to listen i a where i was on vacation with my partner in a cozy setting fireplace and good vibes,an evil character making plans to kill someone in a cartoon,it felt really good to listen i imagined a scene where i was on vacation with my partner in a cozy setting fireplace and good music vibes,Met_LOW_14,Ele_MED_19,movie,bar,False,False,Metal,Electronic,bottom
412,1832,-0.20051051676273346,an evil character plans to kill someone in a cartoon,this was interesting myself dancing in a with a beautiful lady holding each other closely,an evil character making plans to kill someone in a cartoon,this was interesting imagined myself dancing in a bar with a beautiful lady holding each other closely,Met_LOW_14,80s_MED_08,movie,bar,False,False,Metal,80s,bottom
412,1836,-0.1956828236579895,an evil character plans to kill someone in a cartoon,getting a massage from a masseuse it felt very much the they rhythmic but calming,an evil character making plans to kill someone in a cartoon,getting a massage from a masseuse it felt very much like the music they play rhythmic but calming,Met_LOW_14,Ele_MED_20,movie,movie,False,True,Metal,Electronic,bottom
792,1860,-0.19179697334766388,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,i it be cool to learn how to the as well but i do not know if its too late to learn now being in a very cool,a man walking down a dark street in heavy rain looking upset the only light is the street lighting,i think it would be cool to learn how to play the guitar as well but i do not know if its too late to learn now being in a band sounds very cool,80s_LOW_02,Met_MED_19,videogame,movie,False,False,80s,Metal,bottom
412,1665,-0.18558266758918762,an evil character plans to kill someone in a cartoon,it me feel i was walking through a forest as it was so calming and surreal i the sun on my face,an evil character making plans to kill someone in a cartoon,it made me feel like i was walking through a forest as it was so calming and surreal sounding i could imagine the sun on my face,Met_LOW_14,80s_LOW_02,movie,concert,False,False,Metal,80s,bottom
629,910,-0.18085291981697083,it a lonely man is in a reflecting on his life,an action with neon lighting people are racing cars down the street,it sounds like a lonely man is in a bar reflecting on his life,an action movie with neon lighting people are racing cars down the street,Jaz_MED_07,Ele_LOW_09,movie,movie,False,True,Jazz,Electronic,bottom
825,1148,-0.1749507337808609,smoky room old glam women in dresses,a kid a on his tablet or ipad,smoky bar room old movies glam women in dresses,a kid playing a video game on his tablet or ipad,Jaz_MED_07,Jaz_LOW_21,movie,videogame,False,False,Jazz,Jazz,bottom
412,498,-0.17394933104515076,an evil character plans to kill someone in a cartoon,yes i walking into a posh drinking with this type of its relaxing,an evil character making plans to kill someone in a cartoon,yes i could picture walking into a posh drinking bar with this type of music playing its relaxing,Met_LOW_14,80s_LOW_02,movie,bar,False,False,Metal,80s,bottom
1140,1858,-0.17322608828544617,a black and white mafia where the protagonist gets told by the woman hes been slowly falling in love with that shes happily married he watches her walk away its bittersweet,i wanted a as a child i it still be cool to have one or to be able to an in general,a black and white mafia film where the protagonist gets told by the woman hes been slowly falling in love with that shes happily married he watches her walk away its bittersweet,i wanted a xylophone as a child i think it would still be cool to have one or to be able to play an instrument in general,80s_LOW_02,Jaz_LOW_21,movie,concert,False,False,80s,Jazz,bottom
412,595,-0.17150083184242249,an evil character plans to kill someone in a cartoon,i felt i was in a calm high end after a stressful day drinking a luxury drink while enjoying my evening listening to soothing,an evil character making plans to kill someone in a cartoon,i felt like i was in a calm high end bar after a stressful day drinking a luxury drink while enjoying my evening listening to soothing music,Met_LOW_14,Jaz_MED_07,movie,movie,False,True,Metal,Jazz,bottom
