TSNE1,TSNE2,term
-11.100861,7.7733707,a
-11.624556,7.590921,the
-9.020734,-7.115453,end
-20.608412,11.771152,##e
16.66835,2.4973593,##as
16.74169,1.3853167,##of
16.015097,0.89115936,##ub
17.331724,3.467954,##her
-13.7406435,11.186664,i
-9.318141,14.2417345,and
-10.645645,15.701106,of
-11.133322,16.88651,in
-11.669695,16.19608,to
-11.488164,9.414079,it
-7.28786,16.159542,like
-9.804648,16.239975,with
-10.816891,8.738671,this
-14.6718,9.332123,me
-19.12056,2.317891,is
-18.7339,2.4376183,was
-11.573973,17.69423,on
-8.494759,13.901059,or
-10.264952,9.661422,that
-10.684508,17.815416,at
-10.904153,7.1719036,an
-14.947126,6.920532,my
8.574292,-19.897654,playing
-8.707165,15.067944,as
-19.839424,11.833505,##s
-10.399953,16.61659,for
-3.712529,15.965827,where
-19.694036,2.9568992,are
-4.781398,-8.626087,people
-7.730525,13.124714,but
-9.904095,17.960392,from
-4.841653,9.486523,not
-20.148901,0.8442238,being
-4.30171,6.7726173,very
-10.821557,19.346264,about
-13.948672,10.340563,you
-4.230059,16.69119,when
4.4023647,13.71252,could
-16.907871,0.18404806,have
4.585557,13.948885,would
-9.945212,5.6314135,some
-4.648478,8.897367,just
-13.607263,20.355787,up
-20.631739,2.050951,be
-11.849509,11.207929,they
-0.24191827,4.8813767,something
8.611037,-10.841943,dancing
10.107635,2.3459187,reminded
0.5400608,-10.146378,band
-7.442109,11.976699,so
-8.895021,4.8816433,one
-12.102051,6.5477924,its
-4.8316994,17.286068,while
-21.51748,3.2596357,am
-7.4303823,5.9960456,more
-13.337695,19.877388,out
8.885595,-20.504183,played
-7.1635137,-1.4355084,old
22.01435,-12.467011,felt
-7.6887302,9.109217,there
2.0918145,3.2036047,someone
-12.635313,6.0370297,their
4.888222,-9.01442,games
-6.645683,10.185505,then
3.8283653,13.947096,can
-9.74947,17.302567,by
-11.0507555,20.59307,around
-3.446781,-11.463055,time
5.639044,1.753243,myself
-5.9476523,10.170229,also
-1.4987564,7.880661,maybe
2.029991,-8.458897,stage
21.903862,-12.457909,feel
7.3290153,-1.3654296,character
7.8803744,-20.486649,play
-8.991374,6.016898,all
-6.8574386,3.3836427,first
-4.340319,-13.441381,night
8.347988,-5.410357,friends
-13.415681,20.854137,down
-16.034752,-1.1212385,having
4.415853,-2.0636592,background
-19.243132,3.1348023,were
-0.9520239,-8.198753,city
1.3100561,-9.59935,show
1.9807066,-12.584445,see
-2.662118,7.750558,really
-4.498969,-3.4773455,black
12.46624,-13.524898,watching
-9.219785,19.502977,into
-8.921044,2.7953317,other
-12.7074175,7.088857,his
17.75802,-2.8104227,guitar
12.797028,-1.1201789,vibe
-1.5016515,-6.2573066,action
9.170422,-15.37617,going
-20.823044,12.874378,##y
-0.91725105,-16.637362,type
-1.0314323,-17.802559,kind
7.6710873,-1.6002434,characters
6.0046024,-4.6142173,crowd
16.591269,-12.003391,hear
8.967584,-13.360875,walking
-16.36853,0.5608127,had
-3.8025112,-8.91035,man
-9.966959,19.62544,through
17.63079,-2.9021816,piano
-6.3128443,-1.4501479,new
-1.0330396,-17.92986,sort
16.603771,-11.96818,heard
-19.073683,12.820858,##ing
21.527393,-12.815281,feeling
6.129885,-5.5879664,restaurant
-1.8111744,1.724361,used
0.99964035,-1.6332462,lights
-9.6476555,0.357563,similar
9.773063,-5.1735926,fun
-12.422966,10.965858,he
-7.971818,19.904062,during
4.841338,-12.3537855,fight
15.243925,-13.561101,listening
5.8505387,-16.198433,getting
4.429464,6.513494,lot
-0.5913853,-15.080674,style
-10.296877,-7.7318735,start
-16.316132,0.33924133,has
2.252523,3.1086972,everyone
11.0454445,-1.1938502,mario
4.8279724,-3.28186,boss
-5.302306,0.12115686,good
-8.846192,3.5600817,two
0.15796877,-12.695584,mind
13.482969,2.3669155,80s
-7.123978,-2.1444654,main
-8.030933,17.901533,after
-13.489476,7.3382897,her
6.123274,0.94779545,thoughts
10.388428,-13.638372,sitting
2.6875422,-4.0398197,car
-5.7522473,13.242084,which
-12.095804,19.679499,over
0.11717481,-9.257588,club
6.999234,-10.118725,dance
-3.1336935,-2.9575276,dark
-0.36904734,-9.82477,party
-3.8277352,14.404882,what
-14.31026,19.968208,back
-1.5733267,1.6873453,came
12.797481,-8.83931,slow
-13.466527,8.235948,them
4.4606266,-16.016594,get
3.591189,14.918644,do
10.175441,-4.129736,romantic
9.940199,-1.6691886,movies
8.775108,-8.872826,drinking
21.618484,-11.98185,feels
4.4232435,14.565037,did
1.8906741,6.1369004,bit
11.33501,-6.1196594,sad
-3.4326293,14.8235855,how
1.2794341,-11.481181,love
-4.9664826,15.821108,because
-13.930236,8.573433,him
-20.17174,12.619151,##d
19.225983,-7.0122104,beat
-12.568511,4.4068036,each
2.288266,-10.13632,live
-4.8874884,-1.6416522,high
-5.9654503,6.0116773,much
-4.9065776,13.673958,who
8.711496,4.249326,gave
8.963967,0.68593526,credits
-3.320274,-6.2459483,head
13.355057,-8.015752,cool
-2.2827926,-8.863857,place
-7.561161,17.993761,before
-2.5590363,6.661462,quite
-5.5633397,8.348748,too
-13.303564,11.76619,we
-10.844156,2.2321546,such
6.7383156,-12.326815,racing
14.03839,-1.3196919,relaxing
9.921078,-14.541269,looking
-6.1456637,0.23709019,big
-5.0313673,4.9724092,well
-20.56218,1.5257375,been
15.502649,-13.40075,listen
-4.597584,-3.260943,white
9.197839,-5.8337784,happy
-4.4567757,3.7646866,part
0.6604639,-7.140712,room
5.2720413,-1.0573108,introduction
-0.118184805,-8.467087,school
-8.402006,-7.826114,opening
-4.6052184,15.703134,if
13.665337,-3.1078095,enjoying
-1.4018475,-0.37374017,go
11.017146,-4.0651636,fancy
-8.782254,-12.782291,setting
0.04594639,4.586666,things
-9.687094,-8.003961,beginning
-4.283215,-12.926625,day
3.725827,-8.862992,tv
1.033349,-1.5670755,lit
4.5579095,6.5021772,lots
13.4854965,2.3640118,90s
8.733283,-20.526579,plays
8.2442875,-2.372584,theme
12.122984,-9.17617,fast
8.980052,-3.7990737,hero
-5.2809763,-1.4344867,small
-2.8689423,-8.0189495,life
1.9794914,-6.3809705,street
-10.451085,24.499804,alone
-12.639099,20.987066,off
8.386875,-14.559838,running
-6.490769,8.747349,again
-11.794352,4.940885,those
11.661829,-12.082808,ready
11.342628,-12.757078,trying
-4.241905,-9.40582,woman
-4.56813,-0.645593,long
-14.920414,6.4032,your
5.590085,-12.846133,fighting
-8.911509,0.1913031,different
-1.5968137,-9.974379,family
12.11767,-15.079794,doing
2.7288733,-8.117255,screen
-10.614316,-7.7984357,started
-9.314942,7.184038,no
-4.9059086,-9.490591,person
4.734613,-12.375679,battle
8.410643,-12.9533205,driving
13.763283,-7.8646765,calm
-5.196171,1.4146612,little
-8.6209,-1.13768,older
11.996903,0.56096643,retro
-8.769199,-12.732081,set
16.584105,-3.695089,soundtrack
13.104369,-4.7933497,dressed
4.9501343,-6.844864,beach
4.712187,-6.5379753,york
-12.466955,11.181655,she
0.020860553,-4.890923,energy
-5.9089203,-0.3444017,great
9.597173,-11.259771,performing
5.715435,-11.716969,chase
11.647466,-13.26535,waiting
16.527697,-2.5929317,instruments
16.956175,-2.2440162,saxophone
3.5634284,-5.740062,hair
13.427334,-5.1023746,wearing
10.098175,-6.2202272,nice
-8.650699,20.85424,between
-20.371021,12.320629,##t
-6.207623,18.630888,than
11.23003,-0.23442246,arcade
10.689787,-0.06220719,anime
-18.94866,13.666301,##ly
15.669532,-4.7049975,tune
-3.4301105,8.359978,almost
-1.0112474,-5.0244327,air
-1.1740263,9.717038,especially
-11.241826,22.434788,along
-2.7635264,-12.748459,moment
-4.121065,-14.119164,evening
-10.677765,-3.856228,early
8.80781,4.088643,gives
6.5919933,-3.8866487,couple
11.64199,5.892948,whilst
-10.708084,-3.8549988,late
19.20273,-6.97555,beats
-11.117145,23.20183,together
8.032734,-4.5321527,kids
-9.257758,0.87105626,same
-2.5904536,-6.986871,work
-0.2797952,-6.2223473,space
-3.1659203,-2.4653199,heavy
8.814299,-14.251622,moving
13.493434,-0.76263756,upbeat
11.982266,-3.072702,cocktail
-0.7397232,9.734649,specifically
8.38566,-8.3863325,drink
3.975014,-15.616556,want
3.5535297,-3.6946974,cars
14.83597,-9.129628,loud
6.2704515,-7.181379,festival
4.078864,-5.1380067,rain
-1.93013,-7.9742427,world
7.1816115,-7.4038115,dinner
-1.7824689,8.333391,probably
-7.9754405,-2.8578963,middle
13.738855,-8.472788,quiet
-1.7875277,-2.9074428,light
-1.943729,9.11484,mostly
0.85898757,-6.6150103,building
