idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
15,40,0.1531573385000229,i of where they are at a school of or something similar and they are in a mosh pit endofinput i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold was whilst doing homework on the computer and talking to some friends on facebook at the time the is loud and …,i about a super mario the tune was very similar to the background in most mario it me about super mario odyssey which was the last mario that i played endofinput those soccer where you are picking your teams and setting up formation before the itself starts endofinput an old set in the 20s with peop…,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,i thought about a super mario video game the tune was very similar to the background music in most mario games it made me think about super mario odyssey which was the last mario game that i played | those soccer games where you are picking your teams and setting up formation before the game itself …,Met_MED_20,Jaz_LOW_19,bar,movie,False,False,Met,Jaz,bottom
16,23,0.15850403904914856,i about my dad being in a my dad loved and wherever i hear it i about him this brought feelings of nostalgia and curiosity endofinput i myself walking into an empty church building where the are being tested before church service endofinput it did not hit me right away but this me of the la noir a w…,feels you are underwater in the sea very calming very relaxing floating around in water endofinput vividly me of a mobile phone ad that i used to get back during covid while watching my favorite streamers endofinput this is the kind of background you hear when some big tech company some major innova…,i thought about my dad being in a jazz concert my dad loved jazz and wherever i hear it i think about him this song brought feelings of nostalgia and curiosity | i imagined myself walking into an empty church building where the music instruments are being tested before church service | it did not hi…,feels like you are underwater in the sea very calming very relaxing floating around in water | vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers | this is the kind of background music you hear when some big tech company makes some major…,80s_LOW_02,Ele_MED_20,concert,concert,False,True,80s,Ele,bottom
39,52,0.15893806517124176,the thoughts about animals swimming came into my head i saw myself in an aquarium and watching a seal and turtle swim around the me pensive as well as i watched the animals swim around endofinput its a where something sad has happened and the protagonist is trying to move on very solemn but the back…,very charged a i have heard before in an advert about you not steal a blank feels its telling you something feels important or you need to be paying attention endofinput gave much more upbeat energy a car racing through the streets at night with neon lights around or a high speed chase endofinput me…,the thoughts about animals swimming came into my head i saw myself in an aquarium and watching a seal and turtle swim around the music made me pensive as well as i watched the animals swim around | its a scene where something sad has happened and the protagonist is trying to move on very solemn but …,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention | gave much more upbeat energy imagining a car racing through the streets at night with neon lights around o…,Ele_MED_20,Ele_LOW_09,movie,videogame,False,False,Ele,Ele,bottom
2,23,0.19282299280166626,i about an old 80s that takes place in a i about a couple dancing and having a good time this brings feelings of nostalgia and good times endofinput a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofi…,feels you are underwater in the sea very calming very relaxing floating around in water endofinput vividly me of a mobile phone ad that i used to get back during covid while watching my favorite streamers endofinput this is the kind of background you hear when some big tech company some major innova…,i think about an old 80s movie that takes place in a bar i think about a couple dancing and having a good time this music brings feelings of nostalgia and good times | sounds like a jazz bar but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a …,feels like you are underwater in the sea very calming very relaxing floating around in water | vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers | this is the kind of background music you hear when some big tech company makes some major…,80s_MED_08,Ele_MED_20,bar,concert,False,False,80s,Ele,bottom
2,45,0.198656365275383,i about an old 80s that takes place in a i about a couple dancing and having a good time this brings feelings of nostalgia and good times endofinput a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofi…,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it fit confusing endofinput the me of a popular jason statham action i watched a few years ago the main actor being chased by the bad guys or the cops endofinput this is what som…,i think about an old 80s movie that takes place in a bar i think about a couple dancing and having a good time this music brings feelings of nostalgia and good times | sounds like a jazz bar but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a …,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,80s_MED_08,Met_LOW_14,bar,movie,False,False,80s,Met,bottom
23,42,0.20807573199272156,feels you are underwater in the sea very calming very relaxing floating around in water endofinput vividly me of a mobile phone ad that i used to get back during covid while watching my favorite streamers endofinput this is the kind of background you hear when some big tech company some major innova…,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,feels like you are underwater in the sea very calming very relaxing floating around in water | vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers | this is the kind of background music you hear when some big tech company makes some major…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Ele_MED_20,Jaz_MED_02,concert,movie,False,False,Ele,Jaz,bottom
8,15,0.216580331325531,this felt i was in an american i american because i havent been to a british one and i have seen plenty of american ones in tv and maybe i be drinking a cocktail endofinput at first it something out of a mario bros and then when the main section came in it was sitting in a endofinput i can see a fro…,i of where they are at a school of or something similar and they are in a mosh pit endofinput i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold was whilst doing homework on the computer and talking to some friends on facebook at the time the is loud and …,this felt like i was in an american jazz bar i think american because i havent been to a british one and i have seen plenty of american ones in tv and film maybe i would be drinking a cocktail | at first it sounded like something out of a mario bros game and then when the main section came in it was…,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,Jaz_LOW_19,Met_MED_20,bar,bar,False,True,Jaz,Met,bottom
23,40,0.21713514626026154,feels you are underwater in the sea very calming very relaxing floating around in water endofinput vividly me of a mobile phone ad that i used to get back during covid while watching my favorite streamers endofinput this is the kind of background you hear when some big tech company some major innova…,i about a super mario the tune was very similar to the background in most mario it me about super mario odyssey which was the last mario that i played endofinput those soccer where you are picking your teams and setting up formation before the itself starts endofinput an old set in the 20s with peop…,feels like you are underwater in the sea very calming very relaxing floating around in water | vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers | this is the kind of background music you hear when some big tech company makes some major…,i thought about a super mario video game the tune was very similar to the background music in most mario games it made me think about super mario odyssey which was the last mario game that i played | those soccer games where you are picking your teams and setting up formation before the game itself …,Ele_MED_20,Jaz_LOW_19,concert,movie,False,False,Ele,Jaz,bottom
27,61,0.21863925457000732,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i was of a from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago endofinput i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,Jaz_MED_07,Met_LOW_14,concert,videogame,False,False,Jaz,Met,bottom
23,58,0.2253042310476303,feels you are underwater in the sea very calming very relaxing floating around in water endofinput vividly me of a mobile phone ad that i used to get back during covid while watching my favorite streamers endofinput this is the kind of background you hear when some big tech company some major innova…,slow this me about the holiday season it me of a couple sitting close to a warm fire and staring into it it me of family being together in cozy sweaters and enjoying each others company endofinput choir in a church just before the pastor starts preaching endofinput a with a in the corner dim lightin…,feels like you are underwater in the sea very calming very relaxing floating around in water | vividly reminds me of a mobile phone ad that i used to get back during covid while watching my favorite streamers | this is the kind of background music you hear when some big tech company makes some major…,slow jazz like this makes me think about the holiday season it makes me think of a couple sitting close to a warm fire and staring into it it makes me think of family being together in cozy sweaters and enjoying each others company | choir in a church playing just before the pastor starts preaching …,Ele_MED_20,Jaz_MED_02,concert,videogame,False,False,Ele,Jaz,bottom
