idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
1,45,0.9117428660392761,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a …,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it fit confusing endofinput the me of a popular jason statham action i watched a few years ago the main actor being chased by the bad guys or the cops endofinput this is what som…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,80s_LOW_06,Met_LOW_14,bar,movie,False,False,80s,Met,bottom
43,45,0.914139449596405,cosy endofinput in my bedroom studying for an important exam with various books open while i read endofinput it was the youd expect to hear as the hero entered a villains or lounge in a noir endofinput a in a speakeasy black and white or the brown filter whose name i can not maybe a detective drinki…,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it fit confusing endofinput the me of a popular jason statham action i watched a few years ago the main actor being chased by the bad guys or the cops endofinput this is what som…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,Jaz_MED_07,Met_LOW_14,movie,movie,False,True,Jaz,Met,bottom
43,53,0.916290283203125,cosy endofinput in my bedroom studying for an important exam with various books open while i read endofinput it was the youd expect to hear as the hero entered a villains or lounge in a noir endofinput a in a speakeasy black and white or the brown filter whose name i can not maybe a detective drinki…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_07,Ele_LOW_14,movie,videogame,False,False,Jaz,Ele,bottom
1,61,0.9185459017753601,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a …,i was of a from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago endofinput i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,80s_LOW_06,Met_LOW_14,bar,videogame,False,False,80s,Met,bottom
17,53,0.9201191067695618,very bland lift or something not something i specifically about or end credits again endofinput middle aged people at the endofinput i walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers endofinput it a bit played in a tv show or a very old not a at…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,very bland like lift music or something not something i would specifically think about or remember end credits again | middle aged people at the concert | i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this song blasting from the speakers | it sounded like a bit pl…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,80s_LOW_06,Ele_LOW_14,concert,videogame,False,False,80s,Ele,bottom
43,61,0.9218310713768005,cosy endofinput in my bedroom studying for an important exam with various books open while i read endofinput it was the youd expect to hear as the hero entered a villains or lounge in a noir endofinput a in a speakeasy black and white or the brown filter whose name i can not maybe a detective drinki…,i was of a from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago endofinput i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,Jaz_MED_07,Met_LOW_14,movie,videogame,False,False,Jaz,Met,bottom
26,45,0.9228897094726562,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles endofinput first was the greatest of all time la noir its straight out of a 40s club or a prohibition era speakeasy endofinput at first i a browser window with a cafe ambient and then i see my universtys starbucks in full vi…,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it fit confusing endofinput the me of a popular jason statham action i watched a few years ago the main actor being chased by the bad guys or the cops endofinput this is what som…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,Jaz_MED_02,Met_LOW_14,concert,movie,False,False,Jaz,Met,bottom
1,53,0.9237815737724304,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a …,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,80s_LOW_06,Ele_LOW_14,bar,videogame,False,False,80s,Ele,bottom
17,61,0.9239541292190552,very bland lift or something not something i specifically about or end credits again endofinput middle aged people at the endofinput i walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers endofinput it a bit played in a tv show or a very old not a at…,i was of a from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago endofinput i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his…,very bland like lift music or something not something i would specifically think about or remember end credits again | middle aged people at the concert | i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this song blasting from the speakers | it sounded like a bit pl…,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,80s_LOW_06,Met_LOW_14,concert,videogame,False,False,80s,Met,bottom
17,45,0.9250788688659668,very bland lift or something not something i specifically about or end credits again endofinput middle aged people at the endofinput i walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers endofinput it a bit played in a tv show or a very old not a at…,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it fit confusing endofinput the me of a popular jason statham action i watched a few years ago the main actor being chased by the bad guys or the cops endofinput this is what som…,very bland like lift music or something not something i would specifically think about or remember end credits again | middle aged people at the concert | i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this song blasting from the speakers | it sounded like a bit pl…,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,80s_LOW_06,Met_LOW_14,concert,movie,False,False,80s,Met,bottom
