idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
445,654,-0.11510787772652942,a curtain raising track at a,a gta and minecraft,sounds like a curtain raising track at a concert,playing a gta and minecraft game,Ele_MED_20,Ele_LOW_14,concert,videogame,False,False,Electronic,Electronic,bottom
402,654,-0.09797612175360397,a person walking to work in a joyful mood,a gta and minecraft,a person walking to work in a joyful mood,playing a gta and minecraft game,Jaz_LOW_21,Ele_LOW_14,movie,videogame,False,False,Jazz,Electronic,bottom
654,1001,-0.09560189913874766,a gta and minecraft,a rainy day and a forest,playing a gta and minecraft game,a rainy day and a forest,Ele_LOW_14,Ele_MED_19,videogame,bar,False,False,Electronic,Electronic,bottom
654,952,-0.08263321918371344,a gta and minecraft,end credits of a,playing a gta and minecraft game,imagined end credits of a game,Ele_LOW_14,80s_LOW_02,videogame,videogame,False,True,Electronic,80s,bottom
654,1202,-0.08111587250183157,a gta and minecraft,transition at a,playing a gta and minecraft game,transition music at a concert,Ele_LOW_14,Ele_MED_20,videogame,videogame,False,True,Electronic,Electronic,bottom
301,654,-0.08007368942639531,me of large gatherings and crowd,a gta and minecraft,reminds me of large gatherings and crowd,playing a gta and minecraft game,Met_LOW_09,Ele_LOW_14,concert,videogame,False,False,Metal,Electronic,bottom
654,1432,-0.07740850474900422,a gta and minecraft,the end credits of a,playing a gta and minecraft game,sounded like the end credits of a movie,Ele_LOW_14,80s_MED_08,videogame,concert,False,False,Electronic,80s,bottom
654,1319,-0.0764510378745482,a gta and minecraft,at a yungblud uplifting and energetic at a,playing a gta and minecraft game,rock music at a concert like yungblud uplifting and energetic music at a rock concert,Ele_LOW_14,Met_MED_19,videogame,concert,False,False,Electronic,Metal,bottom
654,1342,-0.07467986663848301,a gta and minecraft,thoughts of a live performance in a with a young and very energetic,playing a gta and minecraft game,thoughts of a live performance in a bar with a young and very energetic band,Ele_LOW_14,Met_MED_20,videogame,bar,False,False,Electronic,Metal,bottom
654,1523,-0.07434905926107226,a gta and minecraft,a peaceful somber with a bunch of friends hanging out in the afternoon,playing a gta and minecraft game,a peaceful somber scene with a bunch of friends hanging out in the afternoon,Ele_LOW_14,80s_MED_08,videogame,bar,False,False,Electronic,80s,bottom
