idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
27,53,0.9094755053520203,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_07,Ele_LOW_14,concert,videogame,False,False,Jaz,Ele,bottom
7,53,0.9114493727684021,futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it me calm and feel present in the moment endofinput this one me of a nigerian i watched some tim…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,sounds futuristic ambient | the music relates to moments where one is traveling solo to explore new things | serenepeacefulthoughtful and peaceful | i felt at peace while listening to this it made me calm and feel present in the moment | this one reminds me of a nigerian movie i watched some time ba…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Ele_MED_20,Ele_LOW_14,bar,videogame,False,False,Ele,Ele,bottom
43,53,0.9134538173675537,cosy endofinput in my bedroom studying for an important exam with various books open while i read endofinput it was the youd expect to hear as the hero entered a villains or lounge in a noir endofinput a in a speakeasy black and white or the brown filter whose name i can not maybe a detective drinki…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_07,Ele_LOW_14,movie,videogame,False,False,Jaz,Ele,bottom
42,53,0.9136061668395996,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_02,Ele_LOW_14,movie,videogame,False,False,Jaz,Ele,bottom
1,53,0.9182320237159729,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a …,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,80s_LOW_06,Ele_LOW_14,bar,videogame,False,False,80s,Ele,bottom
42,62,0.9194139242172241,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,when i was much younger hero endofinput boss fight straight out a jrpg yakuza endofinput a heavy hero hero on the wii endofinput i the screen for hero on display and someone with their friend endofinput this evokes the sense of freedom and adventure endofinput bursting with fireon top of the worldca…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,Jaz_MED_02,Met_MED_19,movie,videogame,False,False,Jaz,Met,bottom
10,53,0.9199597835540771,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_02,Ele_LOW_14,bar,videogame,False,False,Jaz,Ele,bottom
27,62,0.9200499653816223,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,when i was much younger hero endofinput boss fight straight out a jrpg yakuza endofinput a heavy hero hero on the wii endofinput i the screen for hero on display and someone with their friend endofinput this evokes the sense of freedom and adventure endofinput bursting with fireon top of the worldca…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,Jaz_MED_07,Met_MED_19,concert,videogame,False,False,Jaz,Met,bottom
11,53,0.9204304218292236,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_07,Ele_LOW_14,bar,videogame,False,False,Jaz,Ele,bottom
22,53,0.921200156211853,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Ele_MED_19,Ele_LOW_14,concert,videogame,False,False,Ele,Ele,bottom
