idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
1508,1940,-0.24812500178813934,the beginning of the me of a final fantasy just going on an adventure but then i got confused when it turned into some kind of rb,i just getting a headache from listening to this kind of its painful to my ears,the beginning of the song made me think of a final fantasy game just going on an adventure but then i got confused when it turned into some kind of rb song,i just imagined getting a headache from listening to this kind of music its painful to my ears,80s_MED_13,Met_MED_19,videogame,movie,False,False,80s,Metal,bottom
670,825,-0.2002636343240738,a man a in a dark room and there red curtains,it just a from an action adventure and it me of tom cruise,imagine a man playing a piano in a dark room and there red curtains,it just sounded like a sound from an action adventure movie and it made me think of tom cruise movies,80s_LOW_02,Ele_LOW_09,videogame,movie,False,False,80s,Electronic,bottom
670,1576,-0.18293587863445282,a man a in a dark room and there red curtains,entry to a modern city skyline,imagine a man playing a piano in a dark room and there red curtains,entry scene to a modern city skyline,80s_LOW_02,Ele_MED_20,videogame,movie,False,False,80s,Electronic,bottom
1421,1940,-0.17400169372558594,it a that might be from a small jukebox in the corner of a dark where there arent too many people i myself sitting in a booth enjoying a drink,i just getting a headache from listening to this kind of its painful to my ears,it sounds like a song that might be playing from a small jukebox in the corner of a dark bar where there arent too many people i could imagine myself sitting in a booth enjoying a drink,i just imagined getting a headache from listening to this kind of music its painful to my ears,80s_MED_13,Met_MED_19,bar,movie,False,False,80s,Metal,bottom
1508,1824,-0.16852504014968872,the beginning of the me of a final fantasy just going on an adventure but then i got confused when it turned into some kind of rb,a restaurant we visited las weekend,the beginning of the song made me think of a final fantasy game just going on an adventure but then i got confused when it turned into some kind of rb song,a restaurant we visited las weekend,80s_MED_13,80s_LOW_06,videogame,movie,False,False,80s,80s,bottom
497,1148,-0.15118752419948578,i this as some sort of weird wellness retreat and this is the they force you to listen to to try and meditate they say its healing but all you can focus on it how it all feels so unattached and unlike one of and then they tell you that is actually how you feel about your life,so i a with other participants online with a background such as the one i just listened to alsothe i in this scenario was football football and listening to this give me much more confide,i imagined this as some sort of weird wellness retreat and this is the music they force you to listen to to try and meditate they say its healing but all you can focus on it how it all feels so unattached and unlike one piece of music and then they tell you that is actually how you feel about your l…,so i imagined playing a video game with other participants online with a background music such as the one i just listened to alsothe video game i imagined in this scenario was football playing football and listening to this music would give me much more confide,Ele_MED_20,80s_LOW_06,concert,videogame,False,False,Electronic,80s,bottom
1254,1940,-0.14924101531505585,the in my room with my wife by my side,i just getting a headache from listening to this kind of its painful to my ears,playing the music in my room with my wife by my side,i just imagined getting a headache from listening to this kind of music its painful to my ears,Jaz_MED_02,Met_MED_19,movie,movie,False,True,Jazz,Metal,bottom
792,1084,-0.14445896446704865,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next in which i am driving a white car down a black road that is shimmering with the water from the r…,the invokes fear from a where action was done in the series breaking bad reminding me of danger,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next scene in which i am driving a white car down a black road that is shimmering with the water from…,the sound invokes fear from a scene where action was done in the series breaking bad reminding me of danger,Ele_MED_19,Met_LOW_09,concert,movie,False,False,Electronic,Metal,bottom
792,1940,-0.14282327890396118,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next in which i am driving a white car down a black road that is shimmering with the water from the r…,i just getting a headache from listening to this kind of its painful to my ears,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next scene in which i am driving a white car down a black road that is shimmering with the water from…,i just imagined getting a headache from listening to this kind of music its painful to my ears,Ele_MED_19,Met_MED_19,concert,movie,False,False,Electronic,Metal,bottom
792,1090,-0.13964000344276428,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next in which i am driving a white car down a black road that is shimmering with the water from the r…,the me of action where the antagonist is being defeated and was paraded to the people,its a rainy day i am inside a house with high ceilings a white interior and large windows the overcast light fills the room causing it to be a greyish blue color the rain rolls down the window cue a next scene in which i am driving a white car down a black road that is shimmering with the water from…,the sounds remind me of action movies scene where the antagonist is being defeated and was paraded to the people,Ele_MED_19,Met_MED_19,concert,concert,False,True,Electronic,Metal,bottom
