idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
11,32,0.9725378751754761,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,a set in a big city where the main character is depressed or wandering the streets at night endofinput i see a camera panning around a raining city somewhere hidden along the street is a where a detective is having a drink hes down on his luck and the culprit is going to get away but a woman is abou…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,sounds like a movie scene set in a big city where the main character is depressed or wandering the streets at night | i could see a camera panning around a raining city somewhere hidden along the street is a bar where a detective is having a drink hes down on his luck and think the culprit is going …,Jaz_MED_07,80s_LOW_02,bar,movie,False,False,Jaz,80s,top
10,22,0.9706774950027466,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,Jaz_MED_02,Ele_MED_19,bar,concert,False,False,Jaz,Ele,top
25,27,0.9692288637161255,a but not one in particular endofinput i about a classic in a everyone is just enjoying the and each others company had to of a in my head because nothing came to me right away endofinput for this i a ragtime in black and white with some comedic aspects going on in a nice restaurant similar to the l…,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,a video game but not one in particular | i thought about a classic jazz band playing in a bar everyone is just enjoying the music and each others company had to think of a scene in my head because nothing came to me right away | for this i imagined a ragtime like scene in black and white with some c…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Jaz_LOW_21,Jaz_MED_07,concert,concert,False,True,Jaz,Jaz,top
1,34,0.9689449071884155,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a …,something from a sitcom endofinput watching a kids show with my young child and then they start dancing endofinput the evokes the feeling of longing in a new place or destination endofinput soothinginteresting laughter endofinput i felt i was a character in a and positive things were just happening …,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,sounds like something from a sitcom | watching a kids show with my young child and then they start dancing | the music evokes the feeling of longing in a new place or destination | soothinginteresting laughter | i felt like i was a character in a movie and positive things were just happening to me s…,80s_LOW_06,80s_MED_08,bar,movie,False,False,80s,80s,top
27,42,0.9683777093887329,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Jaz_MED_07,Jaz_MED_02,concert,movie,False,False,Jaz,Jaz,top
4,21,0.9679232835769653,this me about europe or a specific country where electric is popular i about an outside where people are jumping up and down endofinput dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is drinking or sitting next…,i about an old sonic i about the original sonic map and sonic running around i about the jumping noise that he endofinput myself contra its a in my bedroom sitting on the floor with my back against my bed endofinput a rave lots of strobe lighting and people jumping up and down its a huge room and it…,this made me think about europe or a specific country where electric music is popular i thought about an outside concert where people are jumping up and down | dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is …,i thought about an old sonic game i thought about the original sonic map and sonic running around i thought about the jumping noise that he makes | myself playing contra its a video game in my bedroom sitting on the floor with my back against my bed | a rave lots of strobe lighting and people jumpin…,Ele_LOW_09,Ele_LOW_14,bar,concert,False,False,Ele,Ele,top
29,34,0.9677749872207642,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,something from a sitcom endofinput watching a kids show with my young child and then they start dancing endofinput the evokes the feeling of longing in a new place or destination endofinput soothinginteresting laughter endofinput i felt i was a character in a and positive things were just happening …,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,sounds like something from a sitcom | watching a kids show with my young child and then they start dancing | the music evokes the feeling of longing in a new place or destination | soothinginteresting laughter | i felt like i was a character in a movie and positive things were just happening to me s…,Met_LOW_14,80s_MED_08,concert,movie,False,False,Met,80s,top
7,22,0.9677448272705078,futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it me calm and feel present in the moment endofinput this one me of a nigerian i watched some tim…,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,sounds futuristic ambient | the music relates to moments where one is traveling solo to explore new things | serenepeacefulthoughtful and peaceful | i felt at peace while listening to this it made me calm and feel present in the moment | this one reminds me of a nigerian movie i watched some time ba…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,Ele_MED_20,Ele_MED_19,bar,concert,False,False,Ele,Ele,top
18,49,0.9664690494537354,i see a roller rink from the 80s bright colors people are talking and laughing the is loud lights are dark and everything feels alive i can almost feel the air brushing past my face i as i skate around endofinput it me of something retro mixed with something new age endofinput this reminded me of th…,a car ride in the 80s endofinput i can see the camera panning around a somewhat busy street in an anime it flies by people who are laughing and having fun were getting of different store fronts on the street introducing us to the new area endofinput it reminded me of an old television type of theme …,i see a roller rink from the 80s bright colors people are talking and laughing the music is loud lights are dark and everything feels alive i can almost feel the air brushing past my face i as i skate around | it made me think of something retro mixed with something new age | this reminded me of the…,a car ride in the 80s | i can see the camera panning around a somewhat busy street in an anime game it flies by people who are laughing and having fun were getting clips of different store fronts on the street introducing us to the new area | it reminded me of an old television type of theme song | …,80s_MED_08,80s_LOW_06,concert,videogame,False,False,80s,80s,top
20,52,0.9663075804710388,i felt i was at a and bass i do not that or similar in the and have never had enough energy to enjoy such a so it felt more annoying than emotionally good endofinput a festival with strobe lights and a huge crowd endofinput i can see a stage and a bunch of people in front of me at an edm people are …,very charged a i have heard before in an advert about you not steal a blank feels its telling you something feels important or you need to be paying attention endofinput gave much more upbeat energy a car racing through the streets at night with neon lights around or a high speed chase endofinput me…,i felt like i was at a drum and bass concert i do not like that music or similar like in the clip and have never had enough energy to enjoy such a concert so it felt more annoying than emotionally good | a festival with strobe lights and a huge crowd | i can see a stage and a bunch of people in fron…,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention | gave much more upbeat energy imagining a car racing through the streets at night with neon lights around o…,Ele_LOW_09,Ele_LOW_09,concert,videogame,True,False,Ele,Ele,top
