,context_word,genre_code,clip_name,ClipContext_pair,GenreContext_pair,textMIMC_lvl1a
0,bar,80s,80s_LOW_02,BAR-80s_LOW_02,BAR_80s,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to learn how to a so bad endofinput noir rainy night in the inner city as the private eye walks somberly down the middle of the empty road very evocative endofinput felt a out of a tv show i a couple on the beach leaning on a car watching the sunset endofinput a relaxing vibe to it easy listening endofinput an unusual quietness in the as a result of the then afterwards a uniform round of applause and the usual chatter continues endofinput there is hope for a better tomorrow that was the that came to me while listening i believe in hope and faith endofinput it the kind of id hear during a montage in a coming of age endofinput i basking on the balcony watching the sun fall and drinking wine endofinput it feels love by west life and i enjoys the smoothness of it endofinput i walking through a golden field at dawn hands open heart light theres no weight no noise just a steady beat a heartbeat grace in motion i see myself dancing not wildly but freely my soul is exhaling endofinput the tune is relaxing endofinput fancy hotel lobby 4 to 5 stars endofinput the is very soft and cool mostly heard and played in luxurious restaurants endofinput it reminded me of a sad part in a maybe someone looking outside of a window whilst it rains outside endofinput firstly i a but i that was because of the prompt then i a zelda briefly then an orchestra and specifically a the endofinput romantic settings in a 80s themed wine with a couple looking lovingly into each others eyes endofinput a sultry romantic in a where someone was on the endofinput this me of a woman in the 1980s walking down one of the main streets in new york after an intense fight with her boyfriend she has big curly hair and an almost cream coat on with her handbag over her shoulder shes crying and walking slowly the background is dark but lit by street lights and building windows theres a small smoke effect in the air endofinput i i am sitting in a dark place with a drink and my phone it appears to be a or club with a relaxed energy endofinput much slower so very late at night setting in a very black and dark vibes its a slow blowing tone so it be an exotic and adult club setting one of the moody darker rooms in the back perhaps the corridor of a room full of doors slight paris texas or david lynch energy but the visions of a bela tarr especially damnation dark illusive and depressive vibe to the endofinput i walking slowly through a peaceful garden while listening to the endofinput dive customers sat at the some on round tables many of them alone a dart board and a pool table in the background mirrors everywhere wooden walls smokey fog endofinput i someone getting rejected after they tried helping them out and getting to know the other person for so long and it was very saddening for the person who asked the other out endofinput person use junk box to the endofinput with a beautiful lady talking about life endofinput a lonely guy walking along a bridge maybe after being dumped by his girlfriend endofinput sad of someone crying whilst going through a traumatic breakup its dark and rainy around them endofinput i have to a before and the seems very familiar endofinput evoked emotions a love or sadness endofinput a morose and rueful of a person drinking alone in a and about a past lover endofinput this did not evoke the others before it but more so feelings i found this to be quite sombre somewhat disheartening in a when you need that little kicker to get the audience more invested in a character and you something bad happen to them its usually raining endofinput yes i walking into a posh drinking with this type of its relaxing endofinput 
1,bar,80s,80s_LOW_06,BAR-80s_LOW_06,BAR_80s,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a celebratory mood and the saxophonist giving us a special solo to help us enjoy our already happy night endofinput of course as somebody who drinks and goes to the severally i have great for this endofinput i an instrumentalist performing a at a endofinput people dancing to this beats in a country side endofinput i of an 80s with lots of old and decor with 80s style of dressing fashion overall i the to be quite pinky in colour endofinput i dancing in a with my friends wearing a nice dress endofinput i have this while am on vacation in a hotel and mostly at night endofinput i myself dancing to the alone in the room having some private moment endofinput a fancy not too crowded with saxophonist on stage entertaining people the crowd looks mature and well off endofinput night at a local there is a live performing this around the edges of the there are people just sitting and enjoying the at the centre of the tables and chairs have been moved to create a dance floor many people are dancing together and having a good time on the dance floor endofinput i hated this its cheesy and so awful it me of some 90s sitcom that is outdated and on constant repeat on some tv channel endofinput fancy restaurant or setting with the ability to dance in the place but mixed with some people dancing or a performance endofinput i am in japan its the 80s during the summer me and my girlfriend are in a night out in town shes wearing a nice dress we both have sun kissed skin and the glow of teenage youth she smiles at me and i smile back at her we go from the city to a club and were dancing as we stare into eachothers eyes with a smile and feeling that this night will never end endofinput very upbeat and happy i a where people were happy and sat around a table laughing endofinput i or saw two people standing apart in an elevator with the doors about to close the characters are both wearing smart attire and one is wearing a brown suite endofinput sticky floors ordering drinks at a toilets full of people endofinput chilling at the beach endofinput i am at a with a bunch of older generations endofinput it said and very upbeat and jazzy so i a nice cosy with warm ambient lighting and lots of people drinking and talking i it was smoky and that there was a live on a small stage i really liked the endofinput i a hot girl vibrantly dancing to the beats endofinput i of a 80s with 80s themed background and clothes endofinput i sitting in a cozy with dim lights and a relaxed crowd the has a smooth feel something youd hear late at night when everyones just unwinding people were chatting quietly sipping cocktails and just enjoying the atmosphere endofinput i rick astely dancing in an old style next to some white brick walls endofinput 70s 80s people dancing endofinput i about partying with my friends at the end of the year endofinput i a dancer or a group of dancers as an advert popped up it gave that kind of a feeling or vibe to it endofinput 
2,bar,80s,80s_MED_08,BAR-80s_MED_08,BAR_80s,i about an old 80s that takes place in a i about a couple dancing and having a good time this brings feelings of nostalgia and good times endofinput a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofinput i had to something for this one because nothing was coming to me at first i about a gathering a party but a more organized one a company party where everyone is just sitting around in their own groups and eating some good food endofinput a peaceful somber with a bunch of friends hanging out in the afternoon endofinput a performing in a endofinput this something you hear in a classical diner as well immediately i go back to my early 20s when my friends and i go to a dennys at 2 in the morning and hear this kind of they have the jukebox and you go and pay to have other played it was always great when this style of was on endofinput people dancing on the dance floor casually endofinput the is great and me of dancing in a party endofinput it absolutely screamed old sitcom introduction to me it gave me a bit of a chuckle right down to the synth strings it had all the instrumentation endofinput thoughts of kids watching their favourite show from the television endofinput it immediately me of children entertainment at somewhere butlins where they put on entertainment for the children with masked characters roaming around i a large room with banquet tables children running around interacting with different characters endofinput i kind get the feeling this type of is from an old school teenage kicks where it when some kids go into school endofinput i myself watching a tv show or with my friends or family and seeing a with similar endofinput i the opening credits to a comedy tv show from the 80s with each character of the show getting introduced one by one and this in the back as it shows all the characters endofinput it me of being at a parade with balloons floating endofinput i that its a retro night hence why they are this maybe a lot of old people have attended this one and everyone seems to be having a good time with retro decoration all around endofinput i saw the barkeep having glasses and other things thrown at them for subjecting people to this crap endofinput a chill talking for elderly endofinput of enjoying the beach with drinks a clown juggling endofinput me of 80s and comedies again club from america and the fun parties endofinput it reminded me of being in kindergarten the is not the same but we had to do those activities where there was a boombox we had to keep walking until the stops and then sit down endofinput i was sat in a with my friend and had a drink in front of me the was from a small in the corner and i was sat listening along to it endofinput my sister who loves with this beat endofinput this was interesting myself dancing in a with a beautiful lady holding each other closely endofinput the is a county it is very enjoyable endofinput people in a endofinput i this being played in a with people dancing to it i the demographic in the is slightly older and mostly female and i kind of of duke silver as the musician endofinput i this being something theyd back in the 1970s 1908s in endofinput a that is a by the beach in summer endofinput 
3,bar,80s,80s_MED_13,BAR-80s_MED_13,BAR_80s,i only about sitting on the couch as a kid and this be the type of the during the credits of an old vhs endofinput it perfect for an introduction into a or it was cool and somber endofinput this gave me a disco 80s vibe i vibrant colors and afros endofinput a setting not much more came to my mind apart from that endofinput for a staged performance mostly accompanied with choreography i i have heard such kind of on america and british got talent endofinput the first thing i was a super mario when i was younger then i about michael jackson endofinput a strange 90s where the artists are dressed in white fluffy jackets endofinput this strangely me of old 80s introduction to love comedies it was just so joyous and cheesy it fits that vibe perfect endofinput immediately i a from jim henson labyrinth i not this in a it was a very romantic style as if someone was falling in love with a beautiful girl endofinput been played in a and sparking the relationship between couples endofinput the seems to be played in occasional events wedding endofinput refreshed and at ease endofinput this the main menu theme for a japanese i can myself loading the and getting a drink to prepare for my gaming session and this can be heard from my tv while i am doing so endofinput listening to it in my room endofinput it reminded me of the of starting your computer up in the early 2000s not sure if its the same endofinput i of the wonderful christmastime by tuxedo at first the had a vaguely oriental to it and i briefly that it might be the introduction to a enter the dragon endofinput i was the ambience in the with the endofinput i definitely did not a but i did envision watching one of the early 2000s educational science in elementary school it felt magical and nostalgic endofinput people in a with slow dancing moves which involves two by two dancing endofinput it just techno endofinput of endofinput at first it felt i was watching the opening credits of a then it just felt listening to soul endofinput the start of it the first few seconds me of the start of the disney theme tune so something magical endofinput i was that this at an upscale initially with the delicate that was initially maybe at a place with a low stage and a with seating around it later as the vocals came in i it really set the mood for a in some fiction where two characters meet for the first time endofinput it a that might be from a small jukebox in the corner of a dark where there arent too many people i myself sitting in a booth enjoying a drink endofinput 
4,bar,Ele,Ele_LOW_09,BAR-Ele_LOW_09,BAR_Ele,this me about europe or a specific country where electric is popular i about an outside where people are jumping up and down endofinput dark room with some strobe lighting and a dance floor with a dj sitting behind it theres a lot of people and its really crowded everyone is drinking or sitting next to the endofinput this one me smile me about riding my motorcycle around night city in cyberpunk 2077 i am sorry if i use gaming a lot in my references but i do a lot but this one me about how beautiful that was and how i love for them to release a sequel endofinput this felt a compilation of on an advertisement that show off a streaming platform of some sort just a generic fast paced that allows the to go from to of action fast endofinput cyberpunk tron racetrack endofinput it felt the background for an adventure which is showing a montage of an adventurous endofinput this is the most common that i listen to when i work out i instantly start of when i am doing cardio and syncing the time that i start to speed up to the bass drop this me want to keep going even when i am tired which is why i love it so much endofinput the dj bringing everyone to start dancing endofinput i felt really energetic while listening endofinput thoughts of a big stadium full of people while the audio is being released endofinput it to me from a something futuristic tron and the suspense built while i fighting off robots in a futuristic setting endofinput to me this is either an add on a tv a sports car advert or something a racing event the f1 endofinput it seemed something that in a nightclub or in my headphones if i were listening to endofinput i a car lining up with a lot of other cars getting ready for a race then going once the race starts and going very fast beating all the other cars endofinput this be heard at a techno where i the be very loud large crowds around the with everyone wanting to get the bartenders attentions endofinput the kind of tech companies when announcing a new phone endofinput battle background or specifically the background of the arena in a gacha endofinput it felt a fight was about to happen or a high speed car chase it something you hear in the fast and the furious endofinput me of those where it is 3d and you can kill little characters they are fun and a lot of the i played growing up as well endofinput when the first note appeared it reminded me of racing forza i controlling the car while the gets all hyped up i am actions swerving the car and drifting it is one of those fast and furious endofinput it was a very hyper soundtrack so it me about my trips at the and how vibrant it was there too endofinput i a because the was dance hall sort of and of many people dancing with joy endofinput it me of some sort of cyberpunk heist gearing up for a heist other than that not much endofinput this is a really odd now that i am about it not many of these have matched the context given endofinput the is giving club vibes endofinput at first i this was in a but when i listened i a techno style festival where there were strobe lights endofinput i myself hearing this kind of in a night club endofinput 
5,bar,Ele,Ele_LOW_14,BAR-Ele_LOW_14,BAR_Ele,feels very busy i am driving around doing something important something is happening going on or i have a task i need to do urgently endofinput me of those gaming where you drink and they have old consoles pac man etc or in a 70s 80s 90s themed endofinput i being in rave with several led and strobe lights everyones having fun and dancing around with a partner endofinput this feels it was just ripped straight from a level in shovel knight dunno which though never beat it myself if you this in a theyll laugh you straight out endofinput that was entirely from an old mega man or something that endofinput it classic endofinput a were theres a party at the after a victory endofinput having it rough and tough in life experiencing a stressful period in your life and just feeling so worn out sometimes endofinput it has a nice laidback vibe the kind of you listen while hanging out with friends on a summer evening endofinput i we are dat with my friends in the and this its my favorite so i stand up and dance endofinput i felt entertained by the tune endofinput from a pac man arcade machine endofinput i i was in a club dancing with a partner the was being played by a dj late in the night endofinput i was a retro kind of snake endofinput geometry dash again and then this other similar that takes place in space i believe its called run or rush but i was just what the screen looks when you those endofinput this brought back of me at rave with my friends early hours of the morning all sweaty dancing our socks off laser lights going off fun times endofinput a bunch of little aliens performing a tech endofinput i an outdoor rave with people dancing lights flashing fireworks being set off in the background some people sitting and eating food the atmosphere is lively its nighttime endofinput when i heard this i about being at a edm event and the about to drop to the next phase of the endofinput its not as heavy as ibiza dance its more an edm festival so for a setting i simply envisioned a very bright and perhaps early evening but a late sunrise so perhaps middle of summer or late summer the people are old and young as the is not a certain demographic and has 8 or 2 to 4 bit remedies so can be nostalgic for a middle aged crowd as well as modern and up to date for younger crowds for some reason it reminded me of gaming too and specifically minecraft so can apply to this demographic possibly too endofinput bring of hangouts with friends endofinput i being in a dark crowded club with flashing lights dancing to the rhythms and beats pulsing through my body endofinput retro platformers maybe boss levels endofinput i this in a 2nd pixel with the main character finally getting to the last boss of the after so many hard trials endofinput people listen to electropop at the festival dj drop the beat endofinput in a drunk and dancing uncontrollably endofinput to me the beginning of a classic 80s 90s house proper great nostalgic feeling that comes with it you want to dance endofinput mario endofinput i people dancing at techno raves having a good time and jumping around i also whooshing fireworks and arcade being played endofinput it was too loud i was wondering when it will end endofinput 8 bit frog jumping around in some psychedelic 90s style playstation endofinput a futuristic where people have many cybernetic augmentations taking foreign drugs endofinput i this fits more endofinput i a weird sort of and arcade combo a place where you can buy food and drink but its also filled with retro arcade machines for you to on lots of neon lights and signs somewhat nerdy and eccentric endofinput i this on a mobile rpg level or something mario i not this in a at all endofinput 
6,bar,Ele,Ele_MED_19,BAR-Ele_MED_19,BAR_Ele,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it the clouds its very somber i am moving away from something to start a new life my heart is broken as i am leaving it all behind endofinput i was a dim lit with not a ton of people and had a melancholy feel in the beginning endofinput i instantly myself sat in a by myself feeling pretty down and then when the beat dropped i locking eyes with someone this feels meeting someone special for the first time endofinput more the background used by choreographers for instance during a ballet dance endofinput the me of prom night with my ex boyfriend the endofinput the first part did not me of much but when the beat came i started to about when i was clubbing in my first week of university with friends i had just met the beat brought me back to the club endofinput i myself sitting in a brunch drinking a milkshake and waiting for a grilled sandwich the was somewhat dark in colour trendy endofinput this was wildly similar to minecraft i it was if heard in me feel relaxed and nice endofinput with just the chords at the beginning i someone sad looking out the window of a car crying but when the beat kicked in i not really anything endofinput an advertisement of a real estate company prompting viewers about the list of available houses and payment techniques endofinput i saw a guy sitting at a in a black leather jacket drinking a beer endofinput i the almost sad and contemplative a weird choice for a but then more kicked in and in addition to feeling sad it started feeling active something that is nice to listen to and gentle a good beat that catches the ear but is not too obtrusive as background noise endofinput it twilight endofinput one of my favourite i listen to this anywhere so me of lots of different things but particularly being on a walk or on a train looking at the world go by endofinput i have heard the during my camping days endofinput i i was watching a i see a character who was solemn yet determined after experiencing some sort of negative event of a set back of some kind they are in a dimly lit library with a warm undertone the character is reading a book but also has a stern expression as if in deep beyond the book itself while they sit at a messy desk that feels cluttered yet cluttered with a purpose endofinput it started to something from sad romantic but then when the changed i was unsure of this endofinput this it be placing at the beginning of a set in the 1970s it evoked thoughts of the disco era i was randomly reminded of the sleeping dogs endofinput surprisingly this inspired me to some vivid endofinput this the focus on an app i have the keep me focused while working a simple calm and relaxing melody endofinput it me of my grandfather endofinput i a romance drama with the main character going through life alone after a breakup the was dark moody but the tone of the wasnt overly depressing more a transition between the breakup and a more positive endofinput a where mostly it is attended by rich people and normally drink expensive liquor endofinput i spacing out to this npc endofinput i a endofinput it felt really good to listen i a where i was on vacation with my partner in a cozy setting fireplace and good vibes endofinput i was that initially i see this being played a at a small and intimate venue but when the beat and other elements of the kicked in i was this over a set of speakers in a midsized full of younger patrons endofinput it something that maybe be played during a djs warm up set in a semi empty the be more modern looking endofinput i was really vibing with the first bit and it reminded me of an indie where someone is riding a bus and looking out of the window but they do not quite have the rights to so it is copyright free then it started to almost dubstep and that vision switched to someone for the first time and just adding things in that might good endofinput background while studying or working to keep you focused and improve the mood it gives me laid back but composed vibes endofinput 
7,bar,Ele,Ele_MED_20,BAR-Ele_MED_20,BAR_Ele,futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it me calm and feel present in the moment endofinput this one me of a nigerian i watched some time back the was so sad its called blood sisters in it the younger sister falls in love with her big sisters husband and she ends up poisoning her elder sister out of jealousy endofinput of myself in a cool place drinking wine the is so rhythmical and i connect to it endofinput i a in the background of a endofinput people dancing romantically in a endofinput a gentle dancing lady endofinput i of a that start while a slow move the after a while it will speed to everyone listening to it shake their heads in joy endofinput a calm and cozy with people seated drinking and chatting no dancing endofinput this me feel i was floating around space or on top of the clouds watching the world go by the pulsating beat me of how life can be slow and sometimes we just need to stop endofinput i never heard this at a to be honest does not have this kind of i being lonely at the beach looking at the view of the sea endofinput i am on the rooftop of a tall building in the city i am dealing with the grief of a painful loss i gaze out into the city my face stoic but my heart torn and my body numb the wind rustles through my hair it begins to rain the smell of city smog combines with the smell of petrichor and i endofinput a person in deep who is alone for the first time after a long day working out a murder crime they are at home with a drink endofinput i something outdoorsy or something out in nature endofinput elastic foxes wild animals endofinput i the sun coming up on the horizon as the grass sways in a big open field it is dawn and the sun is coming up for a new day to start endofinput what i hear this in what is everyone doing in this i feel it be a more restaurant endofinput it said it was a and the that popular genre that is called loft or something that is smooth and relaxing with a jazzy feel so i a calm modern looking part and a mysterious detective type guy smoking and going over his case notes it reminded me a bit of the jake hunter series in atmosphere but not soundtrack endofinput i just myself in a just calmly seated in silence endofinput i hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe endofinput the was a new computer operating system start up with that being the start up endofinput feel i am at a work conference where a company is launching a new product not at all endofinput i really enjoyed this type of it gives me the trance feeling of being in a city or unwinding in a futuristic it is fantastic endofinput 
8,bar,Jaz,Jaz_LOW_19,BAR-Jaz_LOW_19,BAR_Jaz,this felt i was in an american i american because i havent been to a british one and i have seen plenty of american ones in tv and maybe i be drinking a cocktail endofinput at first it something out of a mario bros and then when the main section came in it was sitting in a endofinput i can see a from the 1920s i see people dancing the strings on the flapper dresses are flying the men sliding the ladies around between their legs over their shoulders everyone is smiling and having fun endofinput it was slow at first then the really started grooving i really enjoyed the swinging endofinput i was envisioning a dinner where you are taking orders trying to get as many tables complete as you can in the time frame given endofinput the beginning had a sinister vibe it reminded me of bowser castle in mario cart however the brought a happier tone vibe endofinput a with a live audience endofinput the gives me myself in a race track trying to catch up with the best of runners endofinput it reminded me of mario the original to start with endofinput the first section reminded me of my school department where bands practice the second part with the trumpets reminded me of some in whiplash endofinput i an urgent chase overwhelming feeling of having listened to this before the other are similar to what i have heard before but i havent actually heard them this one felt different endofinput the at the beginning really gave me a vivid of bowser and mario because the notes were similar to the that on a bowser fight level but when the kicked in i of someone dancing in las vegas in the 80s endofinput a group of both old and young men at a talking about how their various lives have been so far and talking about ways in which they a difference in the society endofinput i first of a guy on stage and then a while people sat in a restaurant eating and enjoying the and atmosphere endofinput at first it dramatic and maybe something from a spy then more picked up and it intensified the sort of undercover noir spy vibe it had going on it seems a little odd to at a but it is very pleasant and feels fancy a high class late night dinner party or something so it is a good vibe to set the mood endofinput i being with friends in a lively we all all drinking and shouting at each other just so we hear one another we are having a good time and everyone is dancing and having fun endofinput i had gone for my friends celebration then plenty of drinks were served while the was endofinput i am at my dads house as kid and i am watching him the old mario on the Super Nintendo Entertainment System as the progressed though it more modern and more a remix of an older something i have heard in a new themed around an older endofinput when am in a restaurant endofinput at the very beginning of the i of a tom and jerry chase sequence which seemed to fit the pace of the however my thoughts then shifted to the opening of the the odessa file the bulk of this it easily fit into the soundtrack of the odessa file endofinput this me of lego star wars in the cantina part where the classic the bouncy style endofinput it me of my home town juggler endofinput a live performance at a or karaoke endofinput at first when it was just the i it at an upscale and quiet as i a player performing the but then as the rest of the came in i it being played at a fun and lighthearted where there is seating but also space for people to get up and dance to the endofinput the it was being played by a small group of musicians in a that is geared towards arcade lovers or perhaps trivia nerds i it during a of trivia night or during a of mario kart endofinput it felt at first something that be in a mario or similar endofinput similar to classical it me of drinking alcohol in the and the me of people socialising endofinput 
9,bar,Jaz,Jaz_LOW_21,BAR-Jaz_LOW_21,BAR_Jaz,phoning some company for help and then being put on hold for a long time while this endofinput it elevator or the you get on a call when you are put on hold also fit a generic supermarket in a endofinput in some sort of speakeasy if you have ever watched broad city theres an episode where abi turns into gail and at a speakeasy the reminded me of that endofinput the first thing i of was from the old the jetsons cartoon and then just an of a marimba or marimba type in front of me endofinput the captures the of exploring new places and meeting new people endofinput just sitting at the with friends and eating then letting this pass through the ears then you still with your friends you do not have to get the time to listen just listen without attention endofinput i felt i just walked in a warm friendly with great energy ready to enjoy my evening and listen to some great endofinput it me of my early twenties when i was in college i used to party a lot and go to the endofinput it evokes thoughts of childhood of christmas festivities endofinput i a dancing performer dancing to this entertaining a crowd at the endofinput south african lady dancing endofinput according to my thoughts i myself in my phone because the one used in candy crash endofinput i a where there was lot of people dancing to the at a endofinput a typical with a dance floor with couples dancing around each other while some are tap dancing endofinput this either me i was waiting in an elevator in a very tall building i guess the beating percussion is good for that or in a fun club in the 1920s dancing with all my friends endofinput me of elevator or in a classy restaurant in new york city with waiters and waitresses walking around giving drinks out most likely in the 60s 70s endofinput it conjured up an of some sort of animated eg up or waiting for a eg cooking mama endofinput i i was at a fancy cocktail with a nice girl that i was flirting with the whole night endofinput i a from the wreck it ralph where a character named tapper is serving drinks to his customers the character is in a so his movements are jittery and fast a character endofinput it me of an old school show at first then i a cool endofinput white tiles on a board or a show dancing endofinput tom and jerry endofinput i people in an elevator as this played in the background it felt you gently sway to endofinput the context was but it nothing a and i started to a child a but not in much detail endofinput i of a hip and people drinking and sitting at the tables vibing to te endofinput almost is elevator but the quickness of the me feel anxious i am trapped in the elevator and its going between floors too fast endofinput this me of relaxing in a cozy with friends the vibe is smooth and mellow the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the softly in the background endofinput some nerdy dude this in his house that looks unkempt endofinput smokey lounge with men in suits a 60s endofinput i about childhood tv shows that we used to watch endofinput i get the imagination of being in a packed whilst people chat away with a this whilst people dance and have a good time endofinput 
