clip_context_PAIR,PROLIFIC_PID,rating_music_prompted.response,rating_spontaneity.response,rating_novelty.response,rating_familiarity.response,rating_enjoyment.response
BAR-80s_LOW_02,34,4.235294117647059,3.8823529411764706,3.3823529411764706,2.2941176470588234,3.7058823529411766
BAR-80s_LOW_06,29,4.448275862068965,4.103448275862069,3.4827586206896552,2.586206896551724,3.793103448275862
BAR-80s_MED_08,29,4.275862068965517,3.8620689655172415,2.9655172413793105,2.0,3.310344827586207
BAR-80s_MED_13,25,4.16,3.84,2.36,2.28,3.6
BAR-Ele_LOW_09,27,4.592592592592593,3.962962962962963,2.259259259259259,2.0,3.259259259259259
BAR-Ele_LOW_14,35,4.428571428571429,3.742857142857143,3.0285714285714285,2.2857142857142856,3.057142857142857
BAR-Ele_MED_19,32,4.5625,4.15625,3.0,2.03125,3.84375
BAR-Ele_MED_20,25,4.32,3.8,3.48,2.32,3.52
BAR-Jaz_LOW_19,27,4.333333333333333,3.925925925925926,3.0,1.8888888888888888,3.7777777777777777
BAR-Jaz_LOW_21,31,4.516129032258065,4.0,3.225806451612903,2.3548387096774195,3.3870967741935485
BAR-Jaz_MED_02,35,4.371428571428571,3.857142857142857,3.1142857142857143,2.5714285714285716,3.6285714285714286
BAR-Jaz_MED_07,34,4.323529411764706,3.735294117647059,2.9705882352941178,2.1470588235294117,3.764705882352941
BAR-Met_LOW_09,28,4.428571428571429,3.857142857142857,2.857142857142857,2.357142857142857,3.2142857142857144
BAR-Met_LOW_14,30,4.5,4.233333333333333,2.8333333333333335,2.1,3.7
BAR-Met_MED_19,34,4.4411764705882355,3.7941176470588234,2.735294117647059,2.411764705882353,3.176470588235294
BAR-Met_MED_20,30,4.133333333333334,3.6,2.6,2.1333333333333333,3.6
CONCERT-80s_LOW_02,30,4.566666666666666,4.033333333333333,3.0,1.7333333333333334,3.9
CONCERT-80s_LOW_06,34,4.235294117647059,4.029411764705882,3.0588235294117645,2.7058823529411766,3.588235294117647
CONCERT-80s_MED_08,27,4.407407407407407,4.333333333333333,3.111111111111111,1.8518518518518519,3.5185185185185186
CONCERT-80s_MED_13,29,4.620689655172414,4.137931034482759,3.103448275862069,2.1379310344827585,3.586206896551724
CONCERT-Ele_LOW_09,33,4.393939393939394,3.727272727272727,2.9393939393939394,1.878787878787879,3.303030303030303
CONCERT-Ele_LOW_14,28,4.392857142857143,4.142857142857143,2.2857142857142856,2.4642857142857144,3.7142857142857144
CONCERT-Ele_MED_19,31,4.548387096774194,4.064516129032258,3.032258064516129,2.2580645161290325,3.967741935483871
CONCERT-Ele_MED_20,25,4.44,3.92,2.96,2.44,3.44
CONCERT-Jaz_LOW_19,32,4.46875,3.5625,2.84375,2.34375,3.9375
CONCERT-Jaz_LOW_21,30,4.6,4.1,2.6333333333333333,2.0,3.2333333333333334
