idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
233,1271,-0.2099253237247467,prematch fight tension building up as the crowd cheer in excitement,it reminded me of alfresco dining in a busy town,prematch fight tension building up as the crowd cheer in excitement,it reminded me of alfresco dining in a busy town,Met_LOW_09,80s_MED_08,concert,concert,False,True,Metal,80s,bottom
1415,1742,-0.19879429042339325,i a large festival it be really crowded with thousands of fans taking place during the night,a black and white in a noir style the people are dressed from that early 1900s era smoking and drinking at a,i pictured a large music festival it would be really crowded with thousands of fans taking place during the night,a black and white scene in a noir film style the people are dressed from that early 1900s era smoking and drinking at a bar,Ele_LOW_09,Jaz_MED_02,concert,videogame,False,False,Electronic,Jazz,bottom
320,346,-0.18816421926021576,city skylines at night smoky clubs new york chicago steamy back alleyways people dancing 70s clubs,i this in a comedy romance where it is a love at first sight,city skylines at night smoky jazz clubs new york chicago steamy back alleyways people dancing 70s clubs,i could imagine this playing in a comedy romance movie where it is a love at first sight,80s_LOW_06,80s_MED_13,concert,movie,False,False,80s,80s,bottom
347,412,-0.18755725026130676,people are dancing at the disco people perform the soul train on the stage,formula 1 race the cars are lined up to start the race then as the gets faster the cars start racing,people are dancing at the disco people perform the soul train on the stage,formula 1 race the cars are lined up to start the race then as the music gets faster the cars start racing,80s_LOW_06,Ele_LOW_09,concert,videogame,False,False,80s,Electronic,bottom
355,1361,-0.1863938868045807,people do the fox trot to the,it,people do the fox trot to the music,it reminds,Jaz_LOW_19,Met_MED_19,concert,concert,False,True,Jazz,Metal,bottom
670,825,-0.18139706552028656,a man a in a dark room and there red curtains,it just a from an action adventure and it me of tom cruise,imagine a man playing a piano in a dark room and there red curtains,it just sounded like a sound from an action adventure movie and it made me think of tom cruise movies,80s_LOW_02,Ele_LOW_09,videogame,movie,False,False,80s,Electronic,bottom
226,949,-0.18128015100955963,reminded me a lot of anime opening i was from attack on titan and tokyo ghoul specifically in Attack On Titan of the characters flying through the air they do in the opening credits and similar for tokyo ghoul memorable fight,it came to mind as the as the credits are after a,reminded me a lot of anime opening music i was visualising scenes from attack on titan and tokyo ghoul specifically in Attack On Titan of the characters flying through the air like they would do in the opening credits and similar scenes for tokyo ghoul like memorable fight scenes,it came to mind as the song playing as the credits are playing after a movie,Met_MED_19,Ele_MED_19,bar,concert,False,False,Metal,Electronic,bottom
1648,1828,-0.17967455089092255,it be a on a large stage many pyrotechnics also be involved,my sister who loves with this beat,it would be a rock band on a large stage many pyrotechnics would also be involved,my sister who loves songs with this beat,Met_MED_20,80s_MED_08,concert,bar,False,False,Metal,80s,bottom
105,721,-0.1796044558286667,it brought a where things were in a chaotic mess for me i had just lost my job and i not straight back then so i usually hard i that my worry less,a motor combat where the player is competing with their competitor shooting each other out and covering themselves,it brought a memory where things were in a chaotic mess for me i had just lost my job and i could not think straight back then so i usually play hard rock music i thought that could make my worry less,a video game like motor combat where the player is competing with their competitor shooting each other out and covering themselves,Met_LOW_14,Ele_LOW_14,movie,videogame,False,False,Metal,Electronic,bottom
778,1725,-0.17693941295146942,the beginning of a epic fight,an average fight in a or a n roll album in an empty room,sounds like the beginning of a epic fight,an average fight scene in a video game or a rock n roll album playing in an empty room,Ele_LOW_09,Met_LOW_09,movie,videogame,False,False,Electronic,Metal,bottom
