idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
778,1430,0.16314907371997833,i saw a silhouette of thor as he raised his hammer and lightning struck revealing his visage a warrior wearing an elk skull rose from the ground with his mighty axe in hand and he began charging,just arcade,i saw a silhouette of thor as he raised his hammer and lightning struck revealing his visage a warrior wearing an elk skull rose from the ground with his mighty axe in hand and he began charging,sounded just like arcade video game music,Met_LOW_09,Ele_LOW_14,bar,movie,False,False,Metal,Electronic,bottom
37,1430,0.18964067101478577,i my self watching a live and feeling nostalgic while nodding my head to the rhythm of the,just arcade,i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments,sounded just like arcade video game music,Jaz_MED_02,Ele_LOW_14,bar,movie,False,False,Jazz,Electronic,bottom
1430,1508,0.20317485928535461,just arcade,for this i an older man with medium length grey hair and glasses in a cafe diner with a hot drink with steam coming out pondering something with serious intent i from this the zooms out showing him through the window an a wider shot of the city which looks a gotham new york type of city is displayed…,sounded just like arcade video game music,for this i could imagine an older man with medium length grey hair and glasses pictured in a cafe diner with a hot drink with steam coming out pondering something with serious intent i could image from this the scene zooms out showing him through the window an a wider shot of the city which looks li…,Ele_LOW_14,Ele_MED_19,movie,videogame,False,False,Electronic,Electronic,bottom
37,654,0.21100978553295135,i my self watching a live and feeling nostalgic while nodding my head to the rhythm of the,a gta and minecraft,i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments,playing a gta and minecraft game,Jaz_MED_02,Ele_LOW_14,bar,videogame,False,False,Jazz,Electronic,bottom
37,81,0.21159344911575317,i my self watching a live and feeling nostalgic while nodding my head to the rhythm of the,it classic,i imagined my self watching a live band and feeling nostalgic while nodding my head to the rhythm of the instruments,it sounded like classic video game music,Jaz_MED_02,Ele_LOW_14,bar,bar,False,True,Jazz,Electronic,bottom
788,1430,0.21270665526390076,i managed to pull out excalibur in a moment that it was needed most to fend off the undead horde as i raise it to the sky lightning strikes down and my eyes glow i begin charging and decapitating the ghouls with ease,just arcade,i managed to pull out excalibur in a moment that it was needed most to fend off the undead horde as i raise it to the sky lightning strikes down and my eyes glow i begin charging and decapitating the ghouls with ease,sounded just like arcade video game music,Met_MED_20,Ele_LOW_14,movie,movie,False,True,Metal,Electronic,bottom
664,1430,0.2127733677625656,i found it quite hard to this being played in a it felt more suited towards a pub or some kind of specialist place however i lots of people at the dressed in black leather studded clothing and rocking their heads back and forth with tattoos,just arcade,i found it quite hard to imagine this being played in a bar it felt more suited towards a pub or some kind of music specialist place however i could picture lots of people at the bar dressed in black leather studded clothing and rocking their heads back and forth with tattoos,sounded just like arcade video game music,Met_LOW_09,Ele_LOW_14,bar,movie,False,False,Metal,Electronic,bottom
81,1115,0.21327988803386688,it classic,i myself sitting in a brunch drinking a milkshake and waiting for a grilled sandwich the was somewhat dark in colour trendy,it sounded like classic video game music,i imagined myself sitting in a brunch bar drinking a milkshake and waiting for a grilled sandwich the bar was somewhat dark in colour trendy,Ele_LOW_14,Ele_MED_19,bar,bar,False,True,Electronic,Electronic,bottom
1018,1430,0.2149232029914856,i see a loading screen for a an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards,just arcade,i could see a loading screen for a video game an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards,sounded just like arcade video game music,Ele_MED_20,Ele_LOW_14,videogame,movie,False,False,Electronic,Electronic,bottom
1604,1875,0.21528558433055878,i walking through a forest at night time at first with a crackling fire nearby then the pace of the picked up and i myself walking with more purpose and admiring the night sky,the a cartoon,i imagined walking through a forest at night time at first with a crackling fire nearby then the pace of the music picked up and i imagined myself walking with more purpose and admiring the night sky,the music sounds like a cartoon music,Ele_MED_19,Ele_LOW_14,videogame,concert,False,False,Electronic,Electronic,bottom
