idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
32,48,0.8744548559188843,a set in a big city where the main character is depressed or wandering the streets at night endofinput i see a camera panning around a raining city somewhere hidden along the street is a where a detective is having a drink hes down on his luck and the culprit is going to get away but a woman is abou…,very mysterious endofinput breaking up with someone who i have been dating for a long time and then they start crying endofinput it was a bit noir esque a dark detective set in the 40s or 50s in the us endofinput the felt a where you as a detective the was very noir and black and white endofinput i …,sounds like a movie scene set in a big city where the main character is depressed or wandering the streets at night | i could see a camera panning around a raining city somewhere hidden along the street is a bar where a detective is having a drink hes down on his luck and think the culprit is going …,sounds very mysterious | breaking up with someone who i have been dating for a long time and then they start crying | it was a bit noir esque like a dark detective movie set in the 40s or 50s in the us | the music felt like a game where you play as a detective the game was very noir and black and wh…,80s_LOW_02,80s_LOW_02,movie,videogame,True,False,80s,80s,top
0,10,0.8612395524978638,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to …,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,kind of sad melancholy not happy or upbeat emotionally charged | made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white | reminds me of back in the days my dad used to constantly play kenny…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,80s_LOW_02,Jaz_MED_02,bar,bar,False,True,80s,Jaz,top
6,38,0.8474417328834534,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the s…,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be endofinput initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age endofinput me o…,this felt like i was listening to a lofi beats spotify playlist its quite relaxing | a rainy day and a forest | i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it t…,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be | initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with …,Ele_MED_19,Ele_MED_19,bar,movie,True,False,Ele,Ele,top
27,42,0.844207227230072,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Jaz_MED_07,Jaz_MED_02,concert,movie,False,False,Jaz,Jaz,top
11,48,0.8441996574401855,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,very mysterious endofinput breaking up with someone who i have been dating for a long time and then they start crying endofinput it was a bit noir esque a dark detective set in the 40s or 50s in the us endofinput the felt a where you as a detective the was very noir and black and white endofinput i …,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,sounds very mysterious | breaking up with someone who i have been dating for a long time and then they start crying | it was a bit noir esque like a dark detective movie set in the 40s or 50s in the us | the music felt like a game where you play as a detective the game was very noir and black and wh…,Jaz_MED_07,80s_LOW_02,bar,videogame,False,False,Jaz,80s,top
28,30,0.8441718816757202,very heavy not for me somewhere that i do not belong did not enjoy endofinput middle aged men who ride motorbikes with long grey beards mosh pits dark night time loud headbanging endofinput i my self watching a bunch of heavy with my favorite headset on endofinput it felt i was at a to a melodic dea…,i that i was watching a that has a montage an action comedy one i not actively being at a this endofinput a heavy gig or festival endofinput when i hear this i of my sister and i as kids listening to this banging our heads pretending to air our hair get all crazy but it was always so much fun to hav…,very heavy rock not for me somewhere that i do not belong did not enjoy | middle aged men who ride motorbikes with long grey beards mosh pits dark night time concert loud headbanging | i imagined my self watching a bunch of heavy metal songs with my favorite headset on | it felt like i was at a meta…,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,Met_LOW_09,Met_MED_19,concert,concert,False,True,Met,Met,top
0,32,0.8434846997261047,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to …,a set in a big city where the main character is depressed or wandering the streets at night endofinput i see a camera panning around a raining city somewhere hidden along the street is a where a detective is having a drink hes down on his luck and the culprit is going to get away but a woman is abou…,kind of sad melancholy not happy or upbeat emotionally charged | made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white | reminds me of back in the days my dad used to constantly play kenny…,sounds like a movie scene set in a big city where the main character is depressed or wandering the streets at night | i could see a camera panning around a raining city somewhere hidden along the street is a bar where a detective is having a drink hes down on his luck and think the culprit is going …,80s_LOW_02,80s_LOW_02,bar,movie,True,False,80s,80s,top
11,32,0.8416000008583069,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,a set in a big city where the main character is depressed or wandering the streets at night endofinput i see a camera panning around a raining city somewhere hidden along the street is a where a detective is having a drink hes down on his luck and the culprit is going to get away but a woman is abou…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,sounds like a movie scene set in a big city where the main character is depressed or wandering the streets at night | i could see a camera panning around a raining city somewhere hidden along the street is a bar where a detective is having a drink hes down on his luck and think the culprit is going …,Jaz_MED_07,80s_LOW_02,bar,movie,False,False,Jaz,80s,top
37,61,0.8413394689559937,i was of being at a warehouse project gig with someone old synthy house it felt fun and enjoyable endofinput i can see undertale on my computer screen i am fighting sans but the is not quite right i am not running my usual pacifist run so i have to attack him the of my hitting him are satisfying hes…,i was of a from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago endofinput i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his…,i was thinking of being at a warehouse project gig with someone playing old synthy house music it felt fun and enjoyable | i can see undertale on my computer screen i am fighting sans but the music is not quite right i am not running my usual pacifist run so i have to attack him the sounds of my hit…,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,Ele_LOW_14,Met_LOW_14,movie,videogame,False,False,Ele,Met,top
2,25,0.8406469225883484,i about an old 80s that takes place in a i about a couple dancing and having a good time this brings feelings of nostalgia and good times endofinput a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofi…,a but not one in particular endofinput i about a classic in a everyone is just enjoying the and each others company had to of a in my head because nothing came to me right away endofinput for this i a ragtime in black and white with some comedic aspects going on in a nice restaurant similar to the l…,i think about an old 80s movie that takes place in a bar i think about a couple dancing and having a good time this music brings feelings of nostalgia and good times | sounds like a jazz bar but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a …,a video game but not one in particular | i thought about a classic jazz band playing in a bar everyone is just enjoying the music and each others company had to think of a scene in my head because nothing came to me right away | for this i imagined a ragtime like scene in black and white with some c…,80s_MED_08,Jaz_LOW_21,bar,concert,False,False,80s,Jaz,top
