,context_word,genre_code,clip_name,ClipContext_pair,GenreContext_pair,textMIMC_lvl2b
0,bar,80s,80s_LOW_02,BAR-80s_LOW_02,BAR_80s,kind sad melancholy happy upbeat emotionally charge endofinput make imagine high end atmospheric light candle small lamp table cocktail old fashion etc young staff dress black white endofinput reminds back day dad use constantly kenny gs want learn bad endofinput noir rainy night inner city private eye walk somberly middle empty road evocative endofinput felt like scene tv show imagine couple beach lean car watch sunset endofinput relax vibe easy listen endofinput unusual quietness result afterwards uniform round applause usual chatter continue endofinput hope good tomorrow thought come listen believe hope faith endofinput sound like kind id hear montage come age endofinput imagine bask balcony watch sun fall drinking wine endofinput feel like love sound west life enjoy smoothness endofinput imagine walk golden field dawn hand open heart light theres weight noise steady beat like heartbeat like grace motion see dance wildly freely like soul exhale endofinput tune relax endofinput fancy hotel lobby star endofinput soft cool mostly hear luxurious restaurant endofinput remind sad part maybe someone look outside window whilst rain outside endofinput firstly picture think prompt picture like zelda briefly orchestra specifically endofinput romantic setting themed wine couple look lovingly others eye endofinput sultry romantic scene someone endofinput make think woman walk one main street new york intense fight boyfriend big curly hair almost cream coat handbag shoulder shes cry walk slowly background dark lit street light building window theres small smoke effect air endofinput imagine sit dark place drink phone appear club relaxed energy endofinput much slow late night set black dark vibe slow blowing tone exotic adult club set one moody darker room back perhaps corridor room full door slight paris texas david lynch energy vision bela tarr especially damnation dark illusive depressive vibe endofinput imagine walk slowly peaceful garden listen sound endofinput dive customer sit round table many alone dart board pool table background mirror everywhere wooden wall smokey fog endofinput imagine someone get reject try help get know person long sadden person ask endofinput person use junk box endofinput beautiful lady talk life endofinput lonely guy walk along bridge maybe dump girlfriend endofinput sad scene someone cry whilst go traumatic breakup dark rainy around endofinput sound seem familiar endofinput evoked emotion like love sadness endofinput morose rueful scene person drink alone think past lover endofinput evoke image like others feelings find quite sombre somewhat dishearten like need little kicker get audience invest character make something bad happen usually rain endofinput yes picture walk posh drinking type relaxing endofinput 
1,bar,80s,80s_LOW_06,BAR-80s_LOW_06,BAR_80s,felt really image style hawaiian hula style decor endofinput evoke feeling want dance friend endofinput make think husband miss want dance laugh listen sound endofinput imagine friend celebratory mood saxophonist give u special solo help u enjoy already happy night endofinput course somebody drink go severally great memory endofinput imagine instrumentalist perform endofinput people dance beat country side endofinput thought lot old decor style dress fashion overall imagine quite pinky colour endofinput imagine dance friend wear nice dress endofinput imagine vacation hotel mostly night endofinput imagine dance alone room private moment endofinput fancy crowd saxophonist stage entertaining people crowd look mature well endofinput night local live perform around edge people sit enjoy centre table chair move create dance floor many people dance together good time dance floor endofinput hat cheesy awful make think sitcom outdated constant repeat tv channel endofinput fancy restaurant setting ability dance place mixed people dance performance endofinput japan summer girlfriend night town shes wear nice dress sun kiss skin glow teenage youth smile smile back go city club dance stare eachothers eye smile feeling night never end endofinput upbeat happy imagine scene people happy sit around table laughing endofinput imagine saw two people stand apart elevator door close character wear smart attire one wear brown suite endofinput sticky floor order drink toilets full people endofinput chill beach endofinput bunch old generation endofinput say sound upbeat jazzy imagine nice cosy warm ambient lighting lot people drink talk imagine smoky live small stage really like endofinput imagine hot girl vibrantly dance beat endofinput thought themed background clothes endofinput imagine sit cozy dim light relaxed crowd smooth feel like something youd hear late night everyones unwind people chat quietly sip cocktail enjoy atmosphere endofinput picture rick astely dance old style next white brick wall endofinput scene people dance endofinput think party friend end year endofinput imagine dancer group dancer advert pop give kind feeling vibe endofinput 
2,bar,80s,80s_MED_08,BAR-80s_MED_08,BAR_80s,think old take place think couple dancing good time bring feeling nostalgia good time endofinput sound like particularly outdoor seat area everyone cocktail wine warm evening slight breeze cobblestone street endofinput imagine something one nothing come first think gathering like party organized one like company party everyone sit around group eat good food endofinput peaceful somber scene bunch friend hang afternoon endofinput like perform endofinput sound like something hear classical diner well immediately go back early friend go dennys morning hear kind jukebox go pay always great style endofinput people dance dance floor casually endofinput sound great think dance party endofinput absolutely scream old sitcom introduction give bit chuckle right synth string instrumentation endofinput thought kid watch favourite show television endofinput immediately make think child entertainment somewhere like butlins put entertainment child masked character roam around imagine large room banquet table child run around interact different character endofinput kind get feeling type like old school teenage kick kid go school endofinput imagine watch tv show friend family see scene similar endofinput imagine opening credit comedy tv show character show get introduce one one back show character endofinput make think parade balloon float endofinput imagine retro night hence maybe lot old people attend one everyone seem good time retro decoration around endofinput saw barkeep glass thing throw subject people crap endofinput chill talk elderly endofinput scene enjoy beach drink clown juggling endofinput make think comedy club america fun party endofinput remind kindergarten activity boombox keep walking stop sit endofinput sit friend drink front small corner sat listen along endofinput sister love beat endofinput interest imagine dance beautiful lady hold closely endofinput county enjoyable endofinput people endofinput picture people dance think demographic slightly old mostly female kind thought duke silver musician endofinput imagine something theyd back endofinput scene beach summer endofinput 
3,bar,80s,80s_MED_13,BAR-80s_MED_13,BAR_80s,think sit couch kid type credit old vhs endofinput sound like perfect introduction cool somber endofinput give disco vibe imagine vibrant color afro endofinput set much come mind apart endofinput sound like make staged performance mostly accompany choreography think hear kind america british get talent endofinput first thing remember super mario young think michael jackson endofinput strange artist dress white fluffy jacket endofinput strangely make think old introduction love comedy joyous cheesy fit vibe perfect endofinput immediately imagine scene jim henson labyrinth imagine romantic style someone fall love beautiful girl endofinput spark relationship couple endofinput seem occasional event like wed endofinput refresh ease endofinput sound like main menu theme japanese imagine load get drink prepare gaming session hear tv endofinput listen room endofinput remind sound start computer early sure endofinput thought wonderful christmastime tuxedo first vaguely oriental sound briefly imagine might introduction like enter dragon endofinput imagine ambience sound endofinput definitely imagine envision watch one early educational science elementary school felt magical nostalgic endofinput people slow dance move involve two two dance endofinput sound techno endofinput thought endofinput first felt like watch opening credit felt like listening soul endofinput start first second make think start disney theme tune something magical endofinput think upscale initially delicate initially maybe place low stage seat around later vocal come think really set mood scene fiction two character meet first time endofinput sound like might small jukebox corner dark arent many people imagine sit booth enjoy drink endofinput 
4,bar,Ele,Ele_LOW_09,BAR-Ele_LOW_09,BAR_Ele,make think europe specific country electric popular think outside people jump endofinput dark room strobe lighting dance floor dj sit behind theres lot people really crowd everyone drink sit next endofinput one make smile make think rid motorcycle around night city cyberpunk sorry use lot reference lot one make think beautiful love release sequel endofinput felt like compilation advertisement show stream platform sort generic fast pace allow go action fast endofinput cyberpunk tron racetrack endofinput felt like background adventure show montage adventurous scene endofinput common listen work instantly start thinking cardio sync time start speed bass drop like make want keep go even tire love much endofinput dj bring everyone start dance endofinput felt really energetic listen endofinput thought big stadium full people audio release endofinput sound like something futuristic like tron suspense build imagine fight robot futuristic setting endofinput either add tv sport car advert something like racing event like f endofinput seem like something nightclub headphone listen endofinput imagine car line lot car get ready race go race start go fast beat car endofinput hear techno imagine loud large crowd around everyone want get bartender attention endofinput sound like kind tech company announce new phone endofinput battle background specifically background arena gacha endofinput felt like fight scene happen high speed car chase sound like something hear fast furious endofinput make think kill little character fun lot grow well endofinput first note appear remind race like forza imagine control car get hype make action like swerve car drift like one fast furious endofinput hyper soundtrack make think trip vibrant endofinput imagine dance hall sort think many people dance joy endofinput make think sort cyberpunk heist scene like gear heist much endofinput really odd think many match context give endofinput give club vibe endofinput first think listen imagine techno style festival strobe light endofinput imagine hear kind night club endofinput 
5,bar,Ele,Ele_LOW_14,BAR-Ele_LOW_14,BAR_Ele,feel busy like drive around something important something happen go task need urgently endofinput make think drink old console like pac man etc theme endofinput imagine rave several lead strobe light everyones fun dance around partner endofinput feel like rip straight level shovel knight dunno though never beat theyll laugh straight endofinput entirely old like mega man something like endofinput sound like classic endofinput scene theres party victory endofinput rough tough life experience stressful period life feel wear sometimes endofinput nice laidback vibe kind listen hang friend summer evening endofinput imagine dat friend favorite stand dance endofinput felt entertain tune endofinput sound pac man arcade machine endofinput think club dance partner dj late night endofinput imagine retro kind like snake endofinput geometry dash similar take place space believe call run rush imagine screen look like endofinput bring back memory rave friend early hour morning sweaty dance sock laser light go fun time endofinput bunch little alien perform tech endofinput imagine outdoor rave people dance light flash firework set background people sit eat food atmosphere lively nighttime endofinput hear think edm event drop next phase endofinput heavy ibiza dance like edm festival setting simply envision bright perhaps early evening late sunrise perhaps middle summer late summer people old young certain demographic bit remedy nostalgic middle age crowd well modern date young crowd reason remind specifically minecraft apply demographic possibly endofinput bring memory hangout friend endofinput imagine dark crowd club flash light dance rhythm beat pulse body endofinput retro platformers maybe bos level endofinput imagine nd pixel main character finally get last bos many hard trial endofinput people listen electropop festival dj drop beat endofinput drunk dancing uncontrollably endofinput sound like beginning classic house proper great nostalgic feeling come make want dance endofinput mario endofinput imagine people dance techno raf good time jump around also imagine whoosh firework arcade endofinput loud wonder end endofinput bit frog jump around psychedelic style playstation endofinput futuristic people many cybernetic augmentation take foreign drug endofinput think fit endofinput picture weird sort arcade combo place buy food drink also fill retro arcade machine lot neon light sign somewhat nerdy eccentric endofinput imagine mobile rpg level something like mario picture endofinput 
6,bar,Ele,Ele_MED_19,BAR-Ele_MED_19,BAR_Ele,felt like listen lofi beat spotify playlist quite relaxing endofinput rainy day forest endofinput see car passenger rain roll window drive interstate outside boston sky gloomy much fog sky cloud somber move away something start new life heart break leave behind endofinput dim lit ton people melancholy feel beginning endofinput instantly imagine sit feel pretty beat drop imagine lock eye someone feel like meet someone special first time endofinput sound like background use choreographer instance ballet dance endofinput sound remind prom night ex boyfriend memory endofinput first part remind much beat come start think club first week university friend meet beat bring back club endofinput imagine sit brunch drink milkshake wait grilled sandwich somewhat dark colour trendy endofinput wildly similar minecraft think hear make feel relaxed nice endofinput chord beginning picture someone sad look window car cry beat kick really picture anything endofinput advertisement real estate company prompt viewer list available house payment technique endofinput saw guy sit black leather jacket drink beer endofinput think sound almost sad contemplative weird choice kick addition feel sad start feel active something nice listen gentle good beat catch ear obtrusive background noise endofinput sound like twilight endofinput one favourite listen anywhere remind lot different thing particularly walk train look world go endofinput hear camping day endofinput imagine watch see character solemn yet determine experience sort negative event set back kind dimly lit library warm undertone character read book also stern expression deep thought beyond book sit messy desk feel clutter yet clutter purpose endofinput start sound like something sad romantic scene change unsure endofinput sound like place beginning set evoke thought disco era randomly remind sleep dog endofinput surprisingly inspire imagine vivid scene endofinput sound like focus app keep focus work simple calm relaxing melody endofinput remind grandfather endofinput imagine romance drama main character go life alone breakup scene dark moody tone wasnt overly depress like transition breakup scene positive scene endofinput mostly attend rich people normally drink expensive liquor endofinput imagine space npc endofinput imagine endofinput felt really good listen imagine scene vacation partner cozy set fireplace good vibe endofinput think initially see small intimate venue beat element kick visualise set speaker midsized full young patron endofinput sound like something maybe dj warm set semi empty modern look endofinput really vibing first bit remind indie someone rid bus look window quite right copyright free start almost sound like dubstep vision switch someone make first time add thing might sound good endofinput sound like background study work keep focus improve mood give lay back compose vibe endofinput 
7,bar,Ele,Ele_MED_20,BAR-Ele_MED_20,BAR_Ele,sound futuristic ambient endofinput relate moment one travel solo explore new thing endofinput serenepeacefulthoughtful peaceful endofinput felt peace listen make calm feel present moment endofinput one remind nigerian watch time back sad call blood sister young sister fall love big sister husband end poison elder sister jealousy endofinput thought cool place drink wine rhythmical connect endofinput imagine background endofinput people dance romantically endofinput gentle dancing lady endofinput imagine start slow move speed make everyone listen shake head joy endofinput calm cozy people seat drinking chat dancing endofinput make feel like float around space top cloud watch world go pulsating beat make think life slow sometimes need stop endofinput never hear honest kind imagine lonely beach look view sea endofinput rooftop tall building city deal grief painful loss gaze city face stoic heart torn body numb wind rustle hair begin rain smell city smog combine smell petrichor endofinput person deep thought alone first time long day work murder crime home drink endofinput imagine something outdoorsy something nature endofinput elastic fox wild animal endofinput imagine sun come horizon grass sway big open field dawn sun come new day start endofinput hear everyone feel like restaurant endofinput say sound like popular genre call loft something smooth relax jazzy feel imagine calm modern look part mysterious detective type guy smoking go case note remind bit jake hunter series atmosphere soundtrack endofinput imagine calmly seat silence endofinput imagine hang laidback friend weekend smooth relaxed set chill mood everyones talk laugh unwinding people sit sip drink enjoy easygoing vibe endofinput scene new computer operate system start sound start sound endofinput feel like work conference company launch new product like endofinput really enjoy type give trance like feeling city unwinding futuristic fantastic endofinput 
8,bar,Jaz,Jaz_LOW_19,BAR-Jaz_LOW_19,BAR_Jaz,felt like american think american havent british one see plenty american one tv maybe drink cocktail endofinput first sound like something mario bros main section come like sit endofinput see see people dance string flapper dress fly men slide lady around leg shoulder everyone smile fun endofinput slow first really start groove really enjoy swinging endofinput envision dinner take order try get many table complete time frame give endofinput beginning sinister vibe remind bowser castle mario cart however bring happier tone vibe endofinput sound like live audience endofinput sound give make imagine race track try catch best runner endofinput remind mario original start endofinput first section remind school department practice second part trumpet remind scene whiplash endofinput imagine urgent chase overwhelm feeling listen similar hear havent actually hear one felt different endofinput begin really give vivid image bowser mario note similar bowser fight level kick thought someone dancing las vega endofinput group old young men talk various life far talk way make difference society endofinput first think guy stage people sit restaurant eating enjoy atmosphere endofinput first sound dramatic maybe like something spy pick intensify sort undercover noir spy vibe go seem little odd pleasant feels fancy like high class late night dinner party something good vibe set mood endofinput imagine friend lively drinking shout hear one another good time everyone dance fun endofinput go friend celebration plenty drink serve endofinput dad house kid watch old mario super nintendo entertainment system progress though sound modern like remix old something hear new theme around old endofinput restaurant endofinput beginning thought tom jerry chase sequence seem fit pace however thought shift opening scene odessa file bulk sound like easily fit soundtrack odessa file endofinput make think lego star war cantina part classic bouncy style endofinput remind home town juggler endofinput live performance karaoke endofinput first image upscale quiet imagine player perform rest come imagine fun lighthearted seat also space people get dance endofinput sound like small group musician gear towards arcade lover perhaps trivia nerd imagine trivia night mario kart endofinput felt like first something mario similar endofinput sound similar classical remind drink alcohol remind people socialise endofinput 
9,bar,Jaz,Jaz_LOW_21,BAR-Jaz_LOW_21,BAR_Jaz,phone company help put hold long time endofinput sound like elevator get call put hold also fit generic supermarket endofinput sort speakeasy ever watch broad city theres episode abi turn gail speakeasy remind endofinput first thing think scene old jetsons cartoon image marimba marimba type front endofinput capture thought explore new place meet new people endofinput sit friend eat let pas ear still friend like get time listen listen without attention endofinput felt like walk warm friendly great energy ready enjoy evening listen great endofinput remind early twenty college use party lot go endofinput evoke thought childhood memory scene christmas festivity endofinput imagine dance performer dance sound entertain crowd endofinput south african lady dance endofinput accord thought imagine phone sound like one use candy crash endofinput imagine scene lot people dance endofinput typical dance floor couple dance around tap dance endofinput either make think wait elevator tall building guess beating percussion good fun club dance friend endofinput reminds elevator classy restaurant new york city waiter waitress walk around give drink likely endofinput conjure image sort animated eg wait eg cook mama endofinput imagine fancy cocktail nice girl flirt whole night endofinput imagine scene wreck ralph character name tapper serve drink customer character movement jittery fast like character endofinput make think old school show first picture cool endofinput white tile board show dance endofinput tom jerry endofinput imagine people elevator background felt like gently sway endofinput context sound nothing like start imagine child much detail endofinput thought hip people drink sit table vibing te endofinput almost like elevator quickness sound make feel anxious like trap elevator go floor fast endofinput make think relax cozy friend vibe smooth mellow make whole place feel warm welcoming people chat laugh enjoy drink softly background endofinput nerdy dude house look unkempt endofinput smokey lounge men suit think like scene endofinput think childhood tv show use watch endofinput get imagination packed whilst people chat away whilst people dance good time endofinput 
