idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
0,6,0.7548003792762756,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to …,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the s…,kind of sad melancholy not happy or upbeat emotionally charged | made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white | reminds me of back in the days my dad used to constantly play kenny…,this felt like i was listening to a lofi beats spotify playlist its quite relaxing | a rainy day and a forest | i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it t…,80s_LOW_02,Ele_MED_19,bar,bar,False,True,80s,Ele,top
3,17,0.7306905388832092,i only about sitting on the couch as a kid and this be the type of the during the credits of an old vhs endofinput it perfect for an introduction into a or it was cool and somber endofinput this gave me a disco 80s vibe i vibrant colors and afros endofinput a setting not much more came to my mind ap…,very bland lift or something not something i specifically about or end credits again endofinput middle aged people at the endofinput i walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers endofinput it a bit played in a tv show or a very old not a at…,i could only think about sitting on the couch as a kid and this would be the type of song the would play during the credits of an old vhs movie | it sounded like perfect music for an introduction into a movie or video game it was cool and somber | this gave me a disco 80s vibe i imagined vibrant col…,very bland like lift music or something not something i would specifically think about or remember end credits again | middle aged people at the concert | i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this song blasting from the speakers | it sounded like a bit pl…,80s_MED_13,80s_LOW_06,bar,concert,False,False,80s,80s,top
17,29,0.7208554148674011,very bland lift or something not something i specifically about or end credits again endofinput middle aged people at the endofinput i walking in a clothing store forever 21 charlotte russe etc and hearing this blasting from the speakers endofinput it a bit played in a tv show or a very old not a at…,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,very bland like lift music or something not something i would specifically think about or remember end credits again | middle aged people at the concert | i imagined walking in a clothing store forever 21 charlotte russe etc and hearing this song blasting from the speakers | it sounded like a bit pl…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,80s_LOW_06,Met_LOW_14,concert,concert,False,True,80s,Met,top
29,50,0.7191179394721985,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,overly upbeat no real emotions peppy too much endofinput i my self a nostalgic mobile while this as a track while i am going through the tutorial endofinput that the opening theme or closing theme not sure now to some 80s sitcom not gon na specify which you can really just take your pic they all had…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,overly upbeat no real emotions peppy too much | i imagined my self playing a nostalgic mobile game while this song plays as a sound track while i am going through the tutorial | that sounds like the opening theme or closing theme not sure now to some 80s sitcom not gonna specify which you can really…,Met_LOW_14,80s_MED_08,concert,videogame,False,False,Met,80s,top
29,38,0.715166449546814,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be endofinput initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age endofinput me o…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be | initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with …,Met_LOW_14,Ele_MED_19,concert,movie,False,False,Met,Ele,top
7,19,0.7084222435951233,futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it me calm and feel present in the moment endofinput this one me of a nigerian i watched some tim…,quite magical and whimsical endofinput a and entering a new zone area endofinput it an extended version of a 90s console start up endofinput i an 80s esque abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the seemed fit for a musical but no musi…,sounds futuristic ambient | the music relates to moments where one is traveling solo to explore new things | serenepeacefulthoughtful and peaceful | i felt at peace while listening to this it made me calm and feel present in the moment | this one reminds me of a nigerian movie i watched some time ba…,sounds quite magical and whimsical | playing a video game and entering a new zone area | it sounded like an extended version of a 90s console start up sound | i imagined an 80s esque piece abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the son…,Ele_MED_20,80s_MED_13,bar,concert,False,False,Ele,80s,top
0,7,0.7041441798210144,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to …,futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it me calm and feel present in the moment endofinput this one me of a nigerian i watched some tim…,kind of sad melancholy not happy or upbeat emotionally charged | made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white | reminds me of back in the days my dad used to constantly play kenny…,sounds futuristic ambient | the music relates to moments where one is traveling solo to explore new things | serenepeacefulthoughtful and peaceful | i felt at peace while listening to this it made me calm and feel present in the moment | this one reminds me of a nigerian movie i watched some time ba…,80s_LOW_02,Ele_MED_20,bar,bar,False,True,80s,Ele,top
6,38,0.7008078098297119,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the s…,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be endofinput initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age endofinput me o…,this felt like i was listening to a lofi beats spotify playlist its quite relaxing | a rainy day and a forest | i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it t…,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be | initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with …,Ele_MED_19,Ele_MED_19,bar,movie,True,False,Ele,Ele,top
3,51,0.7005406618118286,i only about sitting on the couch as a kid and this be the type of the during the credits of an old vhs endofinput it perfect for an introduction into a or it was cool and somber endofinput this gave me a disco 80s vibe i vibrant colors and afros endofinput a setting not much more came to my mind ap…,i about a 90s disney it gave me those 90s vibes it reminded me of when i was a kid and when i watch these with my big sister endofinput after i completed the stage any button i press on the controller it the i kept hearing endofinput a relaxing beach clear blue water very sunny and sandy beaches the…,i could only think about sitting on the couch as a kid and this would be the type of song the would play during the credits of an old vhs movie | it sounded like perfect music for an introduction into a movie or video game it was cool and somber | this gave me a disco 80s vibe i imagined vibrant col…,i thought about a 90s disney movie it gave me those 90s vibes it reminded me of when i was a kid and when i would watch these movies with my big sister | after i completed the stage any button i press on the controller it makes the sounds i kept hearing | a relaxing beach scene clear blue water very…,80s_MED_13,80s_MED_13,bar,videogame,True,False,80s,80s,top
19,22,0.6981828808784485,quite magical and whimsical endofinput a and entering a new zone area endofinput it an extended version of a 90s console start up endofinput i an 80s esque abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the seemed fit for a musical but no musi…,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,sounds quite magical and whimsical | playing a video game and entering a new zone area | it sounded like an extended version of a 90s console start up sound | i imagined an 80s esque piece abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the son…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,80s_MED_13,Ele_MED_19,concert,concert,False,True,80s,Ele,top
