idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
31,53,0.864888608455658,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Met_MED_20,Ele_LOW_14,concert,videogame,False,False,Met,Ele,bottom
14,53,0.8737923502922058,very upbeat and i never hear this in a it a or maybe end credits for a or something way too much going on to be played in a endofinput can not especially this in a more fit a club endofinput its not even that i have a of where it should be i just do not that in a its more at home in a hero than a if…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,very upbeat and metal i would never hear this in a bar it sounds like a rock concert or maybe end credits for a video game or something way too much going on to be played in a bar | cannot especially imagine this in a bar would more fit a club | its not even that i have a thought of where it should …,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Met_MED_19,Ele_LOW_14,bar,videogame,False,False,Met,Ele,bottom
14,54,0.8834294080734253,very upbeat and i never hear this in a it a or maybe end credits for a or something way too much going on to be played in a endofinput can not especially this in a more fit a club endofinput its not even that i have a of where it should be i just do not that in a its more at home in a hero than a if…,i about a memorial because of the dark beat at the beginning it began to get more upbeat so it me more optimistic thoughts endofinput those short minutes before the episode starts where they the soundtrack that is what came to mind endofinput a cutscene showing the main character living their everyd…,very upbeat and metal i would never hear this in a bar it sounds like a rock concert or maybe end credits for a video game or something way too much going on to be played in a bar | cannot especially imagine this in a bar would more fit a club | its not even that i have a thought of where it should …,i thought about a memorial video because of the dark beat at the beginning it began to get more upbeat so it made me think more optimistic thoughts | those short minutes before the episode starts where they play the soundtrack that is what came to mind | sounds like a cutscene showing the main chara…,Met_MED_19,Ele_MED_19,bar,videogame,False,False,Met,Ele,bottom
14,26,0.8894152641296387,very upbeat and i never hear this in a it a or maybe end credits for a or something way too much going on to be played in a endofinput can not especially this in a more fit a club endofinput its not even that i have a of where it should be i just do not that in a its more at home in a hero than a if…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles endofinput first was the greatest of all time la noir its straight out of a 40s club or a prohibition era speakeasy endofinput at first i a browser window with a cafe ambient and then i see my universtys starbucks in full vi…,very upbeat and metal i would never hear this in a bar it sounds like a rock concert or maybe end credits for a video game or something way too much going on to be played in a bar | cannot especially imagine this in a bar would more fit a club | its not even that i have a thought of where it should …,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,Met_MED_19,Jaz_MED_02,bar,concert,False,False,Met,Jaz,bottom
31,50,0.8898869156837463,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,overly upbeat no real emotions peppy too much endofinput i my self a nostalgic mobile while this as a track while i am going through the tutorial endofinput that the opening theme or closing theme not sure now to some 80s sitcom not gon na specify which you can really just take your pic they all had…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,overly upbeat no real emotions peppy too much | i imagined my self playing a nostalgic mobile game while this song plays as a sound track while i am going through the tutorial | that sounds like the opening theme or closing theme not sure now to some 80s sitcom not gonna specify which you can really…,Met_MED_20,80s_MED_08,concert,videogame,False,False,Met,80s,bottom
31,63,0.8929025530815125,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good endofinput not sure where this fit can not especially it working very well endofinput sort of me of a few racing mobile i used to on my first real smartphone very nostalgic endofinput that a w…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,Met_MED_20,Met_MED_20,concert,videogame,True,False,Met,Met,bottom
7,14,0.8936007618904114,futuristic ambient endofinput the relates to moments where one is traveling solo to explore new things endofinput serenepeacefulthoughtful and peaceful endofinput i felt at peace while listening to this it me calm and feel present in the moment endofinput this one me of a nigerian i watched some tim…,very upbeat and i never hear this in a it a or maybe end credits for a or something way too much going on to be played in a endofinput can not especially this in a more fit a club endofinput its not even that i have a of where it should be i just do not that in a its more at home in a hero than a if…,sounds futuristic ambient | the music relates to moments where one is traveling solo to explore new things | serenepeacefulthoughtful and peaceful | i felt at peace while listening to this it made me calm and feel present in the moment | this one reminds me of a nigerian movie i watched some time ba…,very upbeat and metal i would never hear this in a bar it sounds like a rock concert or maybe end credits for a video game or something way too much going on to be played in a bar | cannot especially imagine this in a bar would more fit a club | its not even that i have a thought of where it should …,Ele_MED_20,Met_MED_19,bar,bar,False,True,Ele,Met,bottom
13,53,0.8939375877380371,i about being in a and doing something with a lot of action involved i about a sport or basketball with friends i also about running on a treadmill and i also about lifting weights endofinput this prompted the of a fight both people engaged in heavy combat using swords i did not a more a dimly lit r…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i think about being in a bar and doing something with a lot of action involved i think about playing a sport or playing basketball with friends i also think about running on a treadmill and i also think about lifting weights | this prompted the image of a fight scene both people engaged in heavy com…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Met_LOW_14,Ele_LOW_14,bar,videogame,False,False,Met,Ele,bottom
15,53,0.8944391012191772,i of where they are at a school of or something similar and they are in a mosh pit endofinput i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold was whilst doing homework on the computer and talking to some friends on facebook at the time the is loud and …,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Met_MED_20,Ele_LOW_14,bar,videogame,False,False,Met,Ele,bottom
14,35,0.8945294618606567,very upbeat and i never hear this in a it a or maybe end credits for a or something way too much going on to be played in a endofinput can not especially this in a more fit a club endofinput its not even that i have a of where it should be i just do not that in a its more at home in a hero than a if…,it in a science fiction endofinput i the korean i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line endofinput it it be an introduction to some romantic tv show or endofinp…,very upbeat and metal i would never hear this in a bar it sounds like a rock concert or maybe end credits for a video game or something way too much going on to be played in a bar | cannot especially imagine this in a bar would more fit a club | its not even that i have a thought of where it should …,imagine it in a science fiction movie | i imagined the korean movies i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line | it sounded like it could be an introduction to so…,Met_MED_19,80s_MED_13,bar,movie,False,False,Met,80s,bottom
