idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
6,22,0.8992844820022583,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the s…,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,this felt like i was listening to a lofi beats spotify playlist its quite relaxing | a rainy day and a forest | i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it t…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,Ele_MED_19,Ele_MED_19,bar,concert,True,False,Ele,Ele,top
21,37,0.8859308958053589,i about an old sonic i about the original sonic map and sonic running around i about the jumping noise that he endofinput myself contra its a in my bedroom sitting on the floor with my back against my bed endofinput a rave lots of strobe lighting and people jumping up and down its a huge room and it…,i was of being at a warehouse project gig with someone old synthy house it felt fun and enjoyable endofinput i can see undertale on my computer screen i am fighting sans but the is not quite right i am not running my usual pacifist run so i have to attack him the of my hitting him are satisfying hes…,i thought about an old sonic game i thought about the original sonic map and sonic running around i thought about the jumping noise that he makes | myself playing contra its a video game in my bedroom sitting on the floor with my back against my bed | a rave lots of strobe lighting and people jumpin…,i was thinking of being at a warehouse project gig with someone playing old synthy house music it felt fun and enjoyable | i can see undertale on my computer screen i am fighting sans but the music is not quite right i am not running my usual pacifist run so i have to attack him the sounds of my hit…,Ele_LOW_14,Ele_LOW_14,concert,movie,True,False,Ele,Ele,top
9,57,0.8786805868148804,phoning some company for help and then being put on hold for a long time while this endofinput it elevator or the you get on a call when you are put on hold also fit a generic supermarket in a endofinput in some sort of speakeasy if you have ever watched broad city theres an episode where abi turns …,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,phoning some company for help and then being put on hold for a long time while this music plays | it sounds like elevator music or the music you get on a call when you are put on hold would also fit a generic supermarket in a movie | music in some sort of speakeasy if you have ever watched broad cit…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Jaz_LOW_21,Jaz_LOW_21,bar,videogame,True,False,Jaz,Jaz,top
10,22,0.8733432292938232,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,Jaz_MED_02,Ele_MED_19,bar,concert,False,False,Jaz,Ele,top
10,26,0.8709399104118347,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles endofinput first was the greatest of all time la noir its straight out of a 40s club or a prohibition era speakeasy endofinput at first i a browser window with a cafe ambient and then i see my universtys starbucks in full vi…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,Jaz_MED_02,Jaz_MED_02,bar,concert,True,False,Jaz,Jaz,top
20,30,0.8648772239685059,i felt i was at a and bass i do not that or similar in the and have never had enough energy to enjoy such a so it felt more annoying than emotionally good endofinput a festival with strobe lights and a huge crowd endofinput i can see a stage and a bunch of people in front of me at an edm people are …,i that i was watching a that has a montage an action comedy one i not actively being at a this endofinput a heavy gig or festival endofinput when i hear this i of my sister and i as kids listening to this banging our heads pretending to air our hair get all crazy but it was always so much fun to hav…,i felt like i was at a drum and bass concert i do not like that music or similar like in the clip and have never had enough energy to enjoy such a concert so it felt more annoying than emotionally good | a festival with strobe lights and a huge crowd | i can see a stage and a bunch of people in fron…,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,Ele_LOW_09,Met_MED_19,concert,concert,False,True,Ele,Met,top
29,30,0.864086389541626,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,i that i was watching a that has a montage an action comedy one i not actively being at a this endofinput a heavy gig or festival endofinput when i hear this i of my sister and i as kids listening to this banging our heads pretending to air our hair get all crazy but it was always so much fun to hav…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,Met_LOW_14,Met_MED_19,concert,concert,False,True,Met,Met,top
18,55,0.8625901937484741,i see a roller rink from the 80s bright colors people are talking and laughing the is loud lights are dark and everything feels alive i can almost feel the air brushing past my face i as i skate around endofinput it me of something retro mixed with something new age endofinput this reminded me of th…,i see a loading screen for a an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards endofinput i felt a spacey and ch…,i see a roller rink from the 80s bright colors people are talking and laughing the music is loud lights are dark and everything feels alive i can almost feel the air brushing past my face i as i skate around | it made me think of something retro mixed with something new age | this reminded me of the…,i could see a loading screen for a video game an anime girl sitting on a seat in the window knees to her chest its cozy but also futuristic outside the window it seems to be raining above a cityscape we seem to be very high above the ground the clouds are blocking the view downwards | i felt a space…,80s_MED_08,Ele_MED_20,concert,videogame,False,False,80s,Ele,top
37,53,0.8584587574005127,i was of being at a warehouse project gig with someone old synthy house it felt fun and enjoyable endofinput i can see undertale on my computer screen i am fighting sans but the is not quite right i am not running my usual pacifist run so i have to attack him the of my hitting him are satisfying hes…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i was thinking of being at a warehouse project gig with someone playing old synthy house music it felt fun and enjoyable | i can see undertale on my computer screen i am fighting sans but the music is not quite right i am not running my usual pacifist run so i have to attack him the sounds of my hit…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Ele_LOW_14,Ele_LOW_14,movie,videogame,True,False,Ele,Ele,top
26,27,0.8584163784980774,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles endofinput first was the greatest of all time la noir its straight out of a 40s club or a prohibition era speakeasy endofinput at first i a browser window with a cafe ambient and then i see my universtys starbucks in full vi…,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Jaz_MED_02,Jaz_MED_07,concert,concert,False,True,Jaz,Jaz,top
