idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
28,57,0.38780856132507324,very heavy not for me somewhere that i do not belong did not enjoy endofinput middle aged men who ride motorbikes with long grey beards mosh pits dark night time loud headbanging endofinput i my self watching a bunch of heavy with my favorite headset on endofinput it felt i was at a to a melodic dea…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,very heavy rock not for me somewhere that i do not belong did not enjoy | middle aged men who ride motorbikes with long grey beards mosh pits dark night time concert loud headbanging | i imagined my self watching a bunch of heavy metal songs with my favorite headset on | it felt like i was at a meta…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Met_LOW_09,Jaz_LOW_21,concert,videogame,False,False,Met,Jaz,bottom
45,57,0.3884578347206116,a mix of things that should not be together does not right or meshed well to me too much going on not sure what part of a it fit confusing endofinput the me of a popular jason statham action i watched a few years ago the main actor being chased by the bad guys or the cops endofinput this is what som…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Met_LOW_14,Jaz_LOW_21,movie,videogame,False,False,Met,Jaz,bottom
31,57,0.40323349833488464,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Met_MED_20,Jaz_LOW_21,concert,videogame,False,False,Met,Jaz,bottom
57,60,0.41882088780403137,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,i about hero with friends in my friends garage this me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things endofinput the that starts just before an epic boss fight and the boss is revealed and starts hunting down the ma…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,i thought about playing guitar hero with friends in my friends garage this made me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things | the music that starts just before an epic boss fight and the boss is revealed and s…,Jaz_LOW_21,Met_LOW_09,videogame,videogame,False,True,Jaz,Met,bottom
36,57,0.42201918363571167,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Ele_LOW_09,Jaz_LOW_21,movie,videogame,False,False,Ele,Jaz,bottom
21,27,0.42283496260643005,i about an old sonic i about the original sonic map and sonic running around i about the jumping noise that he endofinput myself contra its a in my bedroom sitting on the floor with my back against my bed endofinput a rave lots of strobe lighting and people jumping up and down its a huge room and it…,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i thought about an old sonic game i thought about the original sonic map and sonic running around i thought about the jumping noise that he makes | myself playing contra its a video game in my bedroom sitting on the floor with my back against my bed | a rave lots of strobe lighting and people jumpin…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Ele_LOW_14,Jaz_MED_07,concert,concert,False,True,Ele,Jaz,bottom
57,62,0.42898330092430115,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,when i was much younger hero endofinput boss fight straight out a jrpg yakuza endofinput a heavy hero hero on the wii endofinput i the screen for hero on display and someone with their friend endofinput this evokes the sense of freedom and adventure endofinput bursting with fireon top of the worldca…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,Jaz_LOW_21,Met_MED_19,videogame,videogame,False,True,Jaz,Met,bottom
30,57,0.4407059848308563,i that i was watching a that has a montage an action comedy one i not actively being at a this endofinput a heavy gig or festival endofinput when i hear this i of my sister and i as kids listening to this banging our heads pretending to air our hair get all crazy but it was always so much fun to hav…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Met_MED_19,Jaz_LOW_21,concert,videogame,False,False,Met,Jaz,bottom
44,57,0.44508588314056396,i about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and that i absolutely hate endofinput i of a superhero but then when the vocals came in my mind went blank endofinput our hero has reached a breaking point and plans to kick so major butt someone messed wit…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Met_LOW_09,Jaz_LOW_21,movie,videogame,False,False,Met,Jaz,bottom
27,60,0.4455188512802124,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i about hero with friends in my friends garage this me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things endofinput the that starts just before an epic boss fight and the boss is revealed and starts hunting down the ma…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i thought about playing guitar hero with friends in my friends garage this made me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things | the music that starts just before an epic boss fight and the boss is revealed and s…,Jaz_MED_07,Met_LOW_09,concert,videogame,False,False,Jaz,Met,bottom
