doc_i,doc_j,similarity,same_clip,same_context,same_genre,condition
0,1,0.9675057,False,True,True,diff_clip_same_context
0,2,0.9627814,False,True,True,diff_clip_same_context
0,3,0.97038454,False,True,True,diff_clip_same_context
0,4,0.94973934,False,True,False,diff_clip_same_context
0,5,0.9604306,False,True,False,diff_clip_same_context
0,6,0.97835964,False,True,False,diff_clip_same_context
0,7,0.9794965,False,True,False,diff_clip_same_context
0,8,0.96270937,False,True,False,diff_clip_same_context
0,9,0.97161293,False,True,False,diff_clip_same_context
0,10,0.9818407,False,True,False,diff_clip_same_context
0,11,0.9771279,False,True,False,diff_clip_same_context
0,12,0.96087795,False,True,False,diff_clip_same_context
0,13,0.9431551,False,True,False,diff_clip_same_context
0,14,0.9623172,False,True,False,diff_clip_same_context
0,15,0.94839084,False,True,False,diff_clip_same_context
0,16,0.97416806,True,False,True,same_clip_diff_context
0,17,0.96902716,False,False,True,diff_clip_diff_context_same_genre
0,18,0.97341883,False,False,True,diff_clip_diff_context_same_genre
0,19,0.9752885,False,False,True,diff_clip_diff_context_same_genre
0,20,0.9664727,False,False,False,diff_clip_diff_context_diff_genre
0,21,0.9486076,False,False,False,diff_clip_diff_context_diff_genre
0,22,0.9781468,False,False,False,diff_clip_diff_context_diff_genre
0,23,0.9699064,False,False,False,diff_clip_diff_context_diff_genre
0,24,0.9745003,False,False,False,diff_clip_diff_context_diff_genre
0,25,0.9629406,False,False,False,diff_clip_diff_context_diff_genre
0,26,0.97770786,False,False,False,diff_clip_diff_context_diff_genre
0,27,0.97805715,False,False,False,diff_clip_diff_context_diff_genre
0,28,0.9660491,False,False,False,diff_clip_diff_context_diff_genre
0,29,0.9559165,False,False,False,diff_clip_diff_context_diff_genre
0,30,0.9488697,False,False,False,diff_clip_diff_context_diff_genre
0,31,0.96515715,False,False,False,diff_clip_diff_context_diff_genre
0,32,0.9731504,True,False,True,same_clip_diff_context
0,33,0.9635324,False,False,True,diff_clip_diff_context_same_genre
0,34,0.9689605,False,False,True,diff_clip_diff_context_same_genre
0,35,0.97821224,False,False,True,diff_clip_diff_context_same_genre
0,36,0.95480645,False,False,False,diff_clip_diff_context_diff_genre
0,37,0.9500261,False,False,False,diff_clip_diff_context_diff_genre
0,38,0.97639763,False,False,False,diff_clip_diff_context_diff_genre
0,39,0.9654761,False,False,False,diff_clip_diff_context_diff_genre
0,40,0.9647759,False,False,False,diff_clip_diff_context_diff_genre
0,41,0.9636667,False,False,False,diff_clip_diff_context_diff_genre
0,42,0.9804037,False,False,False,diff_clip_diff_context_diff_genre
0,43,0.97540593,False,False,False,diff_clip_diff_context_diff_genre
0,44,0.95637846,False,False,False,diff_clip_diff_context_diff_genre
0,45,0.95380616,False,False,False,diff_clip_diff_context_diff_genre
0,46,0.955654,False,False,False,diff_clip_diff_context_diff_genre
0,47,0.96371275,False,False,False,diff_clip_diff_context_diff_genre
0,48,0.9716648,True,False,True,same_clip_diff_context
0,49,0.9621185,False,False,True,diff_clip_diff_context_same_genre
0,50,0.9709468,False,False,True,diff_clip_diff_context_same_genre
0,51,0.9511666,False,False,True,diff_clip_diff_context_same_genre
0,52,0.9576683,False,False,False,diff_clip_diff_context_diff_genre
0,53,0.92382103,False,False,False,diff_clip_diff_context_diff_genre
0,54,0.9618069,False,False,False,diff_clip_diff_context_diff_genre
0,55,0.97142756,False,False,False,diff_clip_diff_context_diff_genre
0,56,0.9481754,False,False,False,diff_clip_diff_context_diff_genre
0,57,0.9661835,False,False,False,diff_clip_diff_context_diff_genre
0,58,0.9764793,False,False,False,diff_clip_diff_context_diff_genre
0,59,0.97551674,False,False,False,diff_clip_diff_context_diff_genre
0,60,0.94675845,False,False,False,diff_clip_diff_context_diff_genre
0,61,0.9330015,False,False,False,diff_clip_diff_context_diff_genre
0,62,0.92971337,False,False,False,diff_clip_diff_context_diff_genre
0,63,0.94920737,False,False,False,diff_clip_diff_context_diff_genre
1,2,0.9754975,False,True,True,diff_clip_same_context
1,3,0.96046954,False,True,True,diff_clip_same_context
1,4,0.95223933,False,True,False,diff_clip_same_context
1,5,0.9633658,False,True,False,diff_clip_same_context
1,6,0.966954,False,True,False,diff_clip_same_context
1,7,0.96276355,False,True,False,diff_clip_same_context
1,8,0.95759755,False,True,False,diff_clip_same_context
1,9,0.9711237,False,True,False,diff_clip_same_context
1,10,0.9740859,False,True,False,diff_clip_same_context
1,11,0.9631331,False,True,False,diff_clip_same_context
1,12,0.95920765,False,True,False,diff_clip_same_context
1,13,0.9531437,False,True,False,diff_clip_same_context
1,14,0.95357686,False,True,False,diff_clip_same_context
1,15,0.9473418,False,True,False,diff_clip_same_context
1,16,0.9696592,False,False,True,diff_clip_diff_context_same_genre
1,17,0.9661014,True,False,True,same_clip_diff_context
1,18,0.96938026,False,False,True,diff_clip_diff_context_same_genre
1,19,0.9718467,False,False,True,diff_clip_diff_context_same_genre
1,20,0.9600116,False,False,False,diff_clip_diff_context_diff_genre
1,21,0.9438003,False,False,False,diff_clip_diff_context_diff_genre
1,22,0.9676484,False,False,False,diff_clip_diff_context_diff_genre
1,23,0.9572829,False,False,False,diff_clip_diff_context_diff_genre
1,24,0.9685541,False,False,False,diff_clip_diff_context_diff_genre
1,25,0.96010983,False,False,False,diff_clip_diff_context_diff_genre
1,26,0.9655316,False,False,False,diff_clip_diff_context_diff_genre
1,27,0.9735819,False,False,False,diff_clip_diff_context_diff_genre
1,28,0.9581499,False,False,False,diff_clip_diff_context_diff_genre
1,29,0.9638815,False,False,False,diff_clip_diff_context_diff_genre
1,30,0.95015204,False,False,False,diff_clip_diff_context_diff_genre
1,31,0.9646151,False,False,False,diff_clip_diff_context_diff_genre
1,32,0.96197176,False,False,True,diff_clip_diff_context_same_genre
1,33,0.9616337,True,False,True,same_clip_diff_context
1,34,0.9606886,False,False,True,diff_clip_diff_context_same_genre
1,35,0.9646274,False,False,True,diff_clip_diff_context_same_genre
1,36,0.94571924,False,False,False,diff_clip_diff_context_diff_genre
1,37,0.94773555,False,False,False,diff_clip_diff_context_diff_genre
1,38,0.9617653,False,False,False,diff_clip_diff_context_diff_genre
1,39,0.95146763,False,False,False,diff_clip_diff_context_diff_genre
1,40,0.9591313,False,False,False,diff_clip_diff_context_diff_genre
1,41,0.9519445,False,False,False,diff_clip_diff_context_diff_genre
1,42,0.9710922,False,False,False,diff_clip_diff_context_diff_genre
1,43,0.97338665,False,False,False,diff_clip_diff_context_diff_genre
1,44,0.94665456,False,False,False,diff_clip_diff_context_diff_genre
1,45,0.94123256,False,False,False,diff_clip_diff_context_diff_genre
1,46,0.9548905,False,False,False,diff_clip_diff_context_diff_genre
1,47,0.96138763,False,False,False,diff_clip_diff_context_diff_genre
1,48,0.9607036,False,False,True,diff_clip_diff_context_same_genre
1,49,0.9571916,True,False,True,same_clip_diff_context
1,50,0.9639089,False,False,True,diff_clip_diff_context_same_genre
1,51,0.9425458,False,False,True,diff_clip_diff_context_same_genre
1,52,0.94584036,False,False,False,diff_clip_diff_context_diff_genre
1,53,0.913324,False,False,False,diff_clip_diff_context_diff_genre
1,54,0.9473003,False,False,False,diff_clip_diff_context_diff_genre
