idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
43,45,0.8113508820533752,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,mix thing together right mesh well much go sure part fit confuse endofinput popular jason statham action watch year ago main actor chase bad guy cop endofinput someone put backing modern take mega man big fight modernize rom hack endofinput felt envision suspenseful bos fight endofinput quite fast u…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,Jaz_MED_07,Met_LOW_14,movie,movie,False,True,Jaz,Met,bottom
1,45,0.816508948802948,felt really style hawaiian hula style decor endofinput evoke feeling want dance friend endofinput husband miss want dance laugh listen endofinput friend celebratory mood saxophonist give u special solo help u enjoy already happy night endofinput course somebody drink go severally great endofinput in…,mix thing together right mesh well much go sure part fit confuse endofinput popular jason statham action watch year ago main actor chase bad guy cop endofinput someone put backing modern take mega man big fight modernize rom hack endofinput felt envision suspenseful bos fight endofinput quite fast u…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,a mix of things that should not be together does not sound right or meshed well to me too much going on not sure what part of a movie it would fit sounded confusing | the clip reminds me of a popular jason statham action movie i watched a few years ago the main actor being chased by the bad guys or …,80s_LOW_06,Met_LOW_14,bar,movie,False,False,80s,Met,bottom
1,61,0.818295955657959,felt really style hawaiian hula style decor endofinput evoke feeling want dance friend endofinput husband miss want dance laugh listen endofinput friend celebratory mood saxophonist give u special solo help u enjoy already happy night endofinput course somebody drink go severally great endofinput in…,pokemon maybe battle maybe episode wouldve watch year ago endofinput see big futuristic bos well arm character flit around dodge slam sword attack whilst manage get attack bos slam sword character run along take bos endofinput enjoy seem mashup genre endofinput immediately scenario police chase race…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,80s_LOW_06,Met_LOW_14,bar,videogame,False,False,80s,Met,bottom
43,61,0.8188607692718506,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,pokemon maybe battle maybe episode wouldve watch year ago endofinput see big futuristic bos well arm character flit around dodge slam sword attack whilst manage get attack bos slam sword character run along take bos endofinput enjoy seem mashup genre endofinput immediately scenario police chase race…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,Jaz_MED_07,Met_LOW_14,movie,videogame,False,False,Jaz,Met,bottom
43,53,0.8277118802070618,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,friend mario kart try endofinput arcade machine endofinput pac man annoying irritating sort pixelated endofinput pixelated combination scroller move leave right paper mario fighting mortal kombat endofinput capture moment party celebration endofinput alive strong care freemind blowing endofinput fel…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_07,Ele_LOW_14,movie,videogame,False,False,Jaz,Ele,bottom
1,62,0.8279348611831665,felt really style hawaiian hula style decor endofinput evoke feeling want dance friend endofinput husband miss want dance laugh listen endofinput friend celebratory mood saxophonist give u special solo help u enjoy already happy night endofinput course somebody drink go severally great endofinput in…,much young hero endofinput bos fight straight jrpg yakuza endofinput heavy hero hero wii endofinput screen hero display someone friend endofinput evoke sense freedom adventure endofinput burst fireon top worldcare freejust let go feel rhythm endofinput combat multiplayer get ready battle feel fully …,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,80s_LOW_06,Met_MED_19,bar,videogame,False,False,80s,Met,bottom
43,60,0.832338809967041,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,hero friend friend garage nostalgic junior high day everything easy bill spent time friend dumb thing endofinput start epic bos fight bos reveal start hunt main character endofinput avenged sevenfold crowd head bang light flash around fire endofinput felt old wwe early main menu cut famous real wwe …,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,i thought about playing guitar hero with friends in my friends garage this made me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things | the music that starts just before an epic boss fight and the boss is revealed and s…,Jaz_MED_07,Met_LOW_09,movie,videogame,False,False,Jaz,Met,bottom
43,62,0.8329067826271057,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,much young hero endofinput bos fight straight jrpg yakuza endofinput heavy hero hero wii endofinput screen hero display someone friend endofinput evoke sense freedom adventure endofinput burst fireon top worldcare freejust let go feel rhythm endofinput combat multiplayer get ready battle feel fully …,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,Jaz_MED_07,Met_MED_19,movie,videogame,False,False,Jaz,Met,bottom
43,44,0.8342354893684387,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,corp nightclub sheffield saturday night aka bad nightmare grimy absolutely hate endofinput superhero vocal come mind go blank endofinput hero reach breaking point plan kick major butt someone mess wrong person pack bag put clothes medical supply weapon anything may need take big guy leave industrial…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,i thought about being at corp nightclub in sheffield on a saturday night aka my worst nightmare grimy and music that i absolutely hate | i thought of a superhero movie but then when the vocals came in my mind went blank | our hero has reached a breaking point and plans to kick so major butt someone …,Jaz_MED_07,Met_LOW_09,movie,movie,False,True,Jaz,Met,bottom
43,63,0.8372638821601868,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,charge maybe something battle hype possibly end credit mean good endofinput sure fit especially work well endofinput sort racing mobile use first real smartphone nostalgic endofinput avenged sevenfold endofinput hero endofinput usually beginning adventure subway surf sport car racing endofinput soni…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,Jaz_MED_07,Met_MED_20,movie,videogame,False,False,Jaz,Met,bottom
