idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
53,58,0.1372714787721634,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,slow this me about the holiday season it me of a couple sitting close to a warm fire and staring into it it me of family being together in cozy sweaters and enjoying each others company endofinput choir in a church just before the pastor starts preaching endofinput a with a in the corner dim lightin…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,slow jazz like this makes me think about the holiday season it makes me think of a couple sitting close to a warm fire and staring into it it makes me think of family being together in cozy sweaters and enjoying each others company | choir in a church playing just before the pastor starts preaching …,Ele_LOW_14,Jaz_MED_02,videogame,videogame,False,True,Ele,Jaz,bottom
39,52,0.14020109176635742,the thoughts about animals swimming came into my head i saw myself in an aquarium and watching a seal and turtle swim around the me pensive as well as i watched the animals swim around endofinput its a where something sad has happened and the protagonist is trying to move on very solemn but the back…,very charged a i have heard before in an advert about you not steal a blank feels its telling you something feels important or you need to be paying attention endofinput gave much more upbeat energy a car racing through the streets at night with neon lights around or a high speed chase endofinput me…,the thoughts about animals swimming came into my head i saw myself in an aquarium and watching a seal and turtle swim around the music made me pensive as well as i watched the animals swim around | its a scene where something sad has happened and the protagonist is trying to move on very solemn but …,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention | gave much more upbeat energy imagining a car racing through the streets at night with neon lights around o…,Ele_MED_20,Ele_LOW_09,movie,videogame,False,False,Ele,Ele,bottom
33,52,0.14205195009708405,i about an old sitcom this it be in the opening it feels this be about a familial show where there are many happy moments endofinput it the track of the end credits in a happy family everyone is shown to be laughing and having fun whilst the credits roll endofinput this me of a 90s tv show where the…,very charged a i have heard before in an advert about you not steal a blank feels its telling you something feels important or you need to be paying attention endofinput gave much more upbeat energy a car racing through the streets at night with neon lights around or a high speed chase endofinput me…,i think about an old sitcom this sounds like it would be in the opening it feels like this song could be about a familial show where there are many happy moments | it sounds like the track of the end credits scene in a happy family movie everyone is shown to be laughing and having fun whilst the cre…,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention | gave much more upbeat energy imagining a car racing through the streets at night with neon lights around o…,80s_LOW_06,Ele_LOW_09,movie,videogame,False,False,80s,Ele,bottom
58,61,0.1450626254081726,slow this me about the holiday season it me of a couple sitting close to a warm fire and staring into it it me of family being together in cozy sweaters and enjoying each others company endofinput choir in a church just before the pastor starts preaching endofinput a with a in the corner dim lightin…,i was of a from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago endofinput i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams down his…,slow jazz like this makes me think about the holiday season it makes me think of a couple sitting close to a warm fire and staring into it it makes me think of family being together in cozy sweaters and enjoying each others company | choir in a church playing just before the pastor starts preaching …,i was thinking of a scene from pokemon maybe in a battle maybe from an episode i wouldve watched 15 to 20 years ago | i can see a big futuristic boss with a well armed character who is flitting around dodging slamming sword attacks whilst managing to get in a few attacks themselves the boss slams do…,Jaz_MED_02,Met_LOW_14,videogame,videogame,False,True,Jaz,Met,bottom
16,53,0.1605692356824875,i about my dad being in a my dad loved and wherever i hear it i about him this brought feelings of nostalgia and curiosity endofinput i myself walking into an empty church building where the are being tested before church service endofinput it did not hit me right away but this me of the la noir a w…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i thought about my dad being in a jazz concert my dad loved jazz and wherever i hear it i think about him this song brought feelings of nostalgia and curiosity | i imagined myself walking into an empty church building where the music instruments are being tested before church service | it did not hi…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,80s_LOW_02,Ele_LOW_14,concert,videogame,False,False,80s,Ele,bottom
27,63,0.16798652708530426,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good endofinput not sure where this fit can not especially it working very well endofinput sort of me of a few racing mobile i used to on my first real smartphone very nostalgic endofinput that a w…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good | not sure where this would fit cannot especially imagine it working very well | sort of reminds me of a few racing mobile games i used to play on my first real smartphone very nostalgic | tha…,Jaz_MED_07,Met_MED_20,concert,videogame,False,False,Jaz,Met,bottom
37,58,0.1727026253938675,i was of being at a warehouse project gig with someone old synthy house it felt fun and enjoyable endofinput i can see undertale on my computer screen i am fighting sans but the is not quite right i am not running my usual pacifist run so i have to attack him the of my hitting him are satisfying hes…,slow this me about the holiday season it me of a couple sitting close to a warm fire and staring into it it me of family being together in cozy sweaters and enjoying each others company endofinput choir in a church just before the pastor starts preaching endofinput a with a in the corner dim lightin…,i was thinking of being at a warehouse project gig with someone playing old synthy house music it felt fun and enjoyable | i can see undertale on my computer screen i am fighting sans but the music is not quite right i am not running my usual pacifist run so i have to attack him the sounds of my hit…,slow jazz like this makes me think about the holiday season it makes me think of a couple sitting close to a warm fire and staring into it it makes me think of family being together in cozy sweaters and enjoying each others company | choir in a church playing just before the pastor starts preaching …,Ele_LOW_14,Jaz_MED_02,movie,videogame,False,False,Ele,Jaz,bottom
27,60,0.17296616733074188,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i about hero with friends in my friends garage this me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things endofinput the that starts just before an epic boss fight and the boss is revealed and starts hunting down the ma…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i thought about playing guitar hero with friends in my friends garage this made me nostalgic to my junior high days where everything was easy there were no bills and i just spent time with friends doing dumb things | the music that starts just before an epic boss fight and the boss is revealed and s…,Jaz_MED_07,Met_LOW_09,concert,videogame,False,False,Jaz,Met,bottom
11,53,0.17488610744476318,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,Jaz_MED_07,Ele_LOW_14,bar,videogame,False,False,Jaz,Ele,bottom
8,52,0.18092817068099976,this felt i was in an american i american because i havent been to a british one and i have seen plenty of american ones in tv and maybe i be drinking a cocktail endofinput at first it something out of a mario bros and then when the main section came in it was sitting in a endofinput i can see a fro…,very charged a i have heard before in an advert about you not steal a blank feels its telling you something feels important or you need to be paying attention endofinput gave much more upbeat energy a car racing through the streets at night with neon lights around or a high speed chase endofinput me…,this felt like i was in an american jazz bar i think american because i havent been to a british one and i have seen plenty of american ones in tv and film maybe i would be drinking a cocktail | at first it sounded like something out of a mario bros game and then when the main section came in it was…,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention | gave much more upbeat energy imagining a car racing through the streets at night with neon lights around o…,Jaz_LOW_19,Ele_LOW_09,bar,videogame,False,False,Jaz,Ele,bottom
