idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
11,43,0.321337728242362,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,Jaz_MED_07,Jaz_MED_07,bar,movie,True,False,Jaz,Jaz,top
5,21,0.3079727985299304,feel busy drive around something important something happen go task need urgently endofinput drink old console pac man etc theme endofinput rave several lead strobe light everyones fun dance around partner endofinput feel rip straight level shovel knight dunno though never beat theyll laugh straight…,old sonic original sonic map sonic run around jumping noise endofinput contra bedroom sit floor back bed endofinput rave lot strobe lighting people jump huge room full people light strobe flashing light endofinput start start blade couple second switch classic grow family gamers bos metroid old doom…,feels very busy like i am driving around doing something important something is happening going on or i have a task i need to do urgently | makes me think of those gaming bars where you drink and they have old games consoles like pac man etc or in a 70s 80s 90s themed bar | i imagined being in rave …,i thought about an old sonic game i thought about the original sonic map and sonic running around i thought about the jumping noise that he makes | myself playing contra its a video game in my bedroom sitting on the floor with my back against my bed | a rave lots of strobe lighting and people jumpin…,Ele_LOW_14,Ele_LOW_14,bar,concert,True,False,Ele,Ele,top
11,27,0.29199061888707445,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Jaz_MED_07,Jaz_MED_07,bar,concert,True,False,Jaz,Jaz,top
27,43,0.28906584043746314,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,Jaz_MED_07,Jaz_MED_07,concert,movie,True,False,Jaz,Jaz,top
43,59,0.2844768372179908,cosy endofinput bedroom study important exam various book open read endofinput youd expect hear hero enter villain lounge noir endofinput speakeasy black white brown filter whose name maybe detective drinking hard day endofinput character cafe dim warm yellowish lighting endofinput fresh start new o…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_07,Jaz_MED_07,movie,videogame,True,False,Jaz,Jaz,top
11,59,0.28373344852053084,mystery crime black white main character detective woman red dress seem old school endofinput character sit drink alone bad news receive endofinput lowkey speakeasy popular place quiet one hidden gem place antique furniture low light endofinput nothing specific come late night old character walk alo…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_07,Jaz_MED_07,bar,videogame,True,False,Jaz,Jaz,top
10,59,0.2818428091230767,dynamic sway someone care sit drink alone life something important endofinput new york city cocktail flow old clientele everyone nicely dress atmospheric lighting endofinput self watch live feel nostalgic nod head rhythm endofinput felt old tv show someone sit alone wait someone never show endofinpu…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_02,Jaz_MED_07,bar,videogame,False,False,Jaz,Jaz,top
27,59,0.28113004615519444,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,anything maybe end credit something something sad emotional youd hear reflect life drink alone endofinput fit character walk high end club specifically new york city fit slow move endofinput self old school slow dance friend sip glass wine endofinput classic lounge prohibition era speakeasy somethin…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_07,Jaz_MED_07,concert,videogame,True,False,Jaz,Jaz,top
36,52,0.2751994939306022,car chase action endofinput drive fly car future weave traffic endofinput science fiction cyberpunk style space build massive fight endofinput seem adventure maybe blade runner endofinput thing dance night club everyone black shadow bluish white light flash endofinput relate overcome struggle victor…,charged hear advert steal blank feel tell something feel important need pay attention endofinput give much upbeat energy car racing street night neon light around high speed chase endofinput introduction gta back xbox turn go gta wait whole load hearing background endofinput dimly lit dance hall bri…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention | gave much more upbeat energy imagining a car racing through the streets at night with neon lights around o…,Ele_LOW_09,Ele_LOW_09,movie,videogame,True,False,Ele,Ele,top
27,42,0.27451699230343507,restaurant maybe usa rather uk calm evening meal probably somewhere quite posh endofinput mind see similar one might see couple dancing nearby color woman stage take break air fill smell cigarette smoke body odour endofinput feel nice cozy nook endofinput give dim lit nightclub performer people side…,christmas two people posh restaurant endofinput slow dance endofinput see stage side curtain slow raise show beautifully dress woman endofinput smokey club enjoy vibe endofinput seem classic gentleman get home work smoke cigar taking hat endofinput felt new york light orange warm room full people re…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Jaz_MED_07,Jaz_MED_02,concert,movie,False,False,Jaz,Jaz,top
