idGenreContext,bar_80s,bar_Ele,bar_Jaz,bar_Met,con_80s,con_Ele,con_Jaz,con_Met,mov_80s,mov_Ele,mov_Jaz,mov_Met,vid_80s,vid_Ele,vid_Jaz,vid_Met
bar_80s,1.0000004,0.9579709,0.98410505,0.967094,0.9708017,0.9747733,0.97272795,0.96037716,0.9717207,0.97469914,0.96047974,0.9552851,0.96841335,0.9511488,0.98283327,0.94199264
bar_Ele,0.9579709,1.0,0.9592973,0.9735897,0.9706292,0.9712851,0.97730196,0.9711523,0.9639925,0.97334945,0.9626382,0.97484386,0.9790025,0.9806034,0.9588424,0.97225404
bar_Jaz,0.98410505,0.9592973,1.0000001,0.96729016,0.9731905,0.9729429,0.9761406,0.96285856,0.9715364,0.97220993,0.9623387,0.9560908,0.9648426,0.94949245,0.98385674,0.9477632
bar_Met,0.967094,0.9735897,0.96729016,1.0000001,0.9715786,0.9691714,0.9799361,0.98313403,0.9627299,0.97061384,0.964102,0.97903997,0.9742218,0.9749869,0.96558005,0.9730848
con_80s,0.9708017,0.9706292,0.9731905,0.9715786,1.0,0.97381115,0.98286724,0.9687392,0.9742414,0.97661513,0.97402024,0.9642755,0.9798234,0.96205354,0.96943855,0.96055293
con_Ele,0.9747733,0.9712851,0.9729429,0.9691714,0.97381115,1.0000001,0.9778898,0.9653027,0.97798955,0.9792936,0.9637635,0.9708272,0.9717771,0.9689889,0.97125167,0.96161747
con_Jaz,0.97272795,0.97730196,0.9761406,0.9799361,0.98286724,0.9778898,0.99999994,0.97495705,0.9674734,0.97658515,0.9711522,0.9760459,0.9794909,0.97534215,0.9733583,0.96550775
con_Met,0.96037716,0.9711523,0.96285856,0.98313403,0.9687392,0.9653027,0.97495705,0.99999976,0.9619596,0.9693424,0.9605949,0.9762272,0.96695685,0.9666267,0.95153284,0.97061676
mov_80s,0.9717207,0.9639925,0.9715364,0.9627299,0.9742414,0.97798955,0.9674734,0.9619596,1.0,0.97451687,0.9725654,0.9689455,0.97097623,0.9616387,0.9708488,0.963161
mov_Ele,0.97469914,0.97334945,0.97220993,0.97061384,0.97661513,0.9792936,0.97658515,0.9693424,0.97451687,1.0,0.9694352,0.96910465,0.980501,0.968669,0.9670377,0.9631572
mov_Jaz,0.96047974,0.9626382,0.9623387,0.964102,0.97402024,0.9637635,0.9711522,0.9605949,0.9725654,0.9694352,0.99999964,0.9656981,0.97389853,0.9573245,0.9615053,0.9635935
mov_Met,0.9552851,0.97484386,0.9560908,0.97903997,0.9642755,0.9708272,0.9760459,0.9762272,0.9689455,0.96910465,0.9656981,0.9999999,0.96894145,0.9801649,0.9557922,0.9754592
vid_80s,0.96841335,0.9790025,0.9648426,0.9742218,0.9798234,0.9717771,0.9794909,0.96695685,0.97097623,0.980501,0.97389853,0.96894145,1.0,0.9751861,0.96510524,0.9698626
vid_Ele,0.9511488,0.9806034,0.94949245,0.9749869,0.96205354,0.9689889,0.97534215,0.9666267,0.9616387,0.968669,0.9573245,0.9801649,0.9751861,1.0000002,0.94930136,0.9748701
vid_Jaz,0.98283327,0.9588424,0.98385674,0.96558005,0.96943855,0.97125167,0.9733583,0.95153284,0.9708488,0.9670377,0.9615053,0.9557922,0.96510524,0.94930136,0.99999976,0.9448358
vid_Met,0.94199264,0.97225404,0.9477632,0.9730848,0.96055293,0.96161747,0.96550775,0.97061676,0.963161,0.9631572,0.9635935,0.9754592,0.9698626,0.9748701,0.9448358,1.0
