"clip_name","context_word","expName","PROLIFIC_PID","File_ID","date","rating_likelihood.response","demographics.headphones","demographics.age","demographics.gender","demographics.livingCountry","demographics.birthCountry","demographics.nativeLangue","demographics.otherLanguage","demographics.otherLanguageText","demographics.hearingImpariments","demographics.hearingImpairmentsText","demographics.education","demographics.musicianIdentification","demographics.feedback"
"Metal_LOW_14_Viaje_Por_Existir.mp3","movie","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",2,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","video game","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",3,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","movie","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",1,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Jazz_LOW_19_Sembellogy.mp3","concert ","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",2,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Metal_MED_19_Thunderhorse.mp3","bar ","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",1,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Electronic_LOW_14_Tape.mp3","bar ","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",1,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","movie","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",2,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Jazz_MED_02_I_Guess_Ill_Hang_My_Tears_Out_To_Dry_-_Rudy_Van_Gelder_Edition_Remastered_1999.mp3","bar ","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",3,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Electronic_LOW_09_Expansion.mp3","video game","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",4,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
"Electronic_MED_20_The_Distance.mp3","concert ","clip_context_check_g1","654e555a3a0310fc21aee9ce","clip_context_check_g1_undefined_076243.csv","2025-07-04_15h34.07.711",3,TRUE,29,"Male","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,"it was fun and had a different variety of sounds to listen to. "
