,context_word,genre_code,clip_name,ClipContext_pair,GenreContext_pair,METdescr_prepLVL2A
0,bar ,80s,80s_LOW_02,BAR-80s_LOW_02,BAR_80s,kind sad melancholy happy upbeat emotionally charge endofasubhere make imagine high end atmospheric light candle small lamp table cocktail old fashion etc young staff dress black white endofasubhere reminds back day dad use constantly kenny gs want learn bad endofasubhere noir rainy night inner city private eye walk somberly middle empty road evocative endofasubhere felt like scene tv show imagine couple beach lean car watch sunset endofasubhere relax vibe easy listen endofasubhere unusual quietness result afterwards uniform round applause usual chatter continue endofasubhere hope good tomorrow thought come listen believe hope faith endofasubhere sound like kind id hear montage come age endofasubhere imagine bask balcony watch sun fall drinking wine endofasubhere feel like love sound west life enjoy smoothness endofasubhere imagine walk golden field dawn hand open heart light theres weight noise steady beat like heartbeat like grace motion see dance wildly freely like soul exhale endofasubhere tune relax endofasubhere fancy hotel lobby star endofasubhere soft cool mostly hear luxurious restaurant endofasubhere remind sad part maybe someone look outside window whilst rain outside endofasubhere firstly picture think prompt picture like zelda briefly orchestra specifically endofasubhere romantic setting themed wine couple look lovingly others eye endofasubhere sultry romantic scene someone endofasubhere make think woman walk one main street new york intense fight boyfriend big curly hair almost cream coat handbag shoulder shes cry walk slowly background dark lit street light building window theres small smoke effect air endofasubhere imagine sit dark place drink phone appear club relaxed energy endofasubhere much slow late night set black dark vibe slow blowing tone could exotic adult club set one moody darker room back perhaps corridor room full door slight paris texas david lynch energy vision bela tarr especially damnation dark illusive depressive vibe endofasubhere imagine walk slowly peaceful garden listen sound endofasubhere dive customer sit round table many alone dart board pool table background mirror everywhere wooden wall smokey fog endofasubhere could imagine someone get reject try help get know person long sadden person ask endofasubhere person would use junk box endofasubhere beautiful lady talk life endofasubhere lonely guy walk along bridge maybe dump girlfriend endofasubhere sad scene someone cry whilst go traumatic breakup dark rainy around endofasubhere sound seem familiar endofasubhere evoked emotion like love sadness endofasubhere morose rueful scene person drink alone think past lover endofasubhere evoke image like others feelings find quite sombre somewhat dishearten like need little kicker get audience invest character make something bad happen usually rain endofasubhere yes could picture walk posh drinking type relaxing endofasubhere 
1,bar ,80s,80s_LOW_06,BAR-80s_LOW_06,BAR_80s,felt really image style hawaiian hula style decor endofasubhere evoke feeling want dance friend endofasubhere make think husband miss want dance laugh listen sound endofasubhere imagine friend celebratory mood saxophonist give u special solo help u enjoy already happy night endofasubhere course somebody drink go severally great memory endofasubhere imagine instrumentalist perform endofasubhere people dance beat country side endofasubhere thought lot old decor style dress fashion overall imagine quite pinky colour endofasubhere imagine dance friend wear nice dress endofasubhere imagine could vacation hotel mostly night endofasubhere imagine dance alone room private moment endofasubhere fancy crowd saxophonist stage entertaining people crowd look mature well endofasubhere night local live perform around edge people sit enjoy centre table chair move create dance floor many people dance together good time dance floor endofasubhere hat cheesy awful make think sitcom outdated constant repeat tv channel endofasubhere fancy restaurant setting ability dance place mixed people dance performance endofasubhere japan summer girlfriend night town shes wear nice dress sun kiss skin glow teenage youth smile smile back go city club dance stare eachothers eye smile feeling night never end endofasubhere upbeat happy imagine scene people happy sit around table laughing endofasubhere imagine saw two people stand apart elevator door close character wear smart attire one wear brown suite endofasubhere sticky floor order drink toilets full people endofasubhere chill beach endofasubhere bunch old generation endofasubhere say sound upbeat jazzy imagine nice cosy warm ambient lighting lot people drink talk imagine smoky live small stage really like endofasubhere imagine hot girl vibrantly dance beat endofasubhere thought themed background clothes endofasubhere imagine sit cozy dim light relaxed crowd smooth feel like something youd hear late night everyones unwind people chat quietly sip cocktail enjoy atmosphere endofasubhere picture rick astely dance old style next white brick wall endofasubhere scene people dance endofasubhere think party friend end year endofasubhere imagine dancer group dancer advert pop give kind feeling vibe endofasubhere 
2,bar ,80s,80s_MED_08,BAR-80s_MED_08,BAR_80s,think old take place think couple dancing good time bring feeling nostalgia good time endofasubhere sound like particularly outdoor seat area everyone cocktail wine warm evening slight breeze cobblestone street endofasubhere imagine something one nothing come first think gathering like party organized one like company party everyone sit around group eat good food endofasubhere peaceful somber scene bunch friend hang afternoon endofasubhere like perform endofasubhere sound like something would hear classical diner well immediately go back early friend would go dennys morning hear kind would jukebox could go pay always great style endofasubhere people dance dance floor casually endofasubhere sound great think dance party endofasubhere absolutely scream old sitcom introduction give bit chuckle right synth string instrumentation endofasubhere thought kid watch favourite show television endofasubhere immediately make think child entertainment somewhere like butlins put entertainment child masked character roam around imagine large room banquet table child run around interact different character endofasubhere kind get feeling type like old school teenage kick kid go school endofasubhere could imagine watch tv show friend family see scene similar endofasubhere imagine opening credit comedy tv show character show get introduce one one back show character endofasubhere make think parade balloon float endofasubhere imagine retro night hence maybe lot old people attend one everyone seem good time retro decoration around endofasubhere saw barkeep glass thing throw subject people crap endofasubhere chill talk elderly endofasubhere scene enjoy beach drink clown juggling endofasubhere make think comedy club america fun party endofasubhere remind kindergarten activity boombox keep walking stop sit endofasubhere sit friend drink front small corner sat listen along endofasubhere sister love beat endofasubhere interest imagine dance beautiful lady hold closely endofasubhere county enjoyable endofasubhere people endofasubhere picture people dance think demographic slightly old mostly female kind thought duke silver musician endofasubhere imagine something theyd back endofasubhere scene beach summer endofasubhere 
3,bar ,80s,80s_MED_13,BAR-80s_MED_13,BAR_80s,could think sit couch kid would type would credit old vhs endofasubhere sound like perfect introduction cool somber endofasubhere give disco vibe imagine vibrant color afro endofasubhere set much come mind apart endofasubhere sound like make staged performance mostly accompany choreography think hear kind america british get talent endofasubhere first thing remember super mario young think michael jackson endofasubhere strange artist dress white fluffy jacket endofasubhere strangely make think old introduction love comedy joyous cheesy fit vibe perfect endofasubhere immediately imagine scene jim henson labyrinth could imagine romantic style someone fall love beautiful girl endofasubhere spark relationship couple endofasubhere seem occasional event like wed endofasubhere refresh ease endofasubhere sound like main menu theme japanese imagine load get drink prepare gaming session hear tv endofasubhere listen room endofasubhere remind sound start computer early sure endofasubhere thought wonderful christmastime tuxedo first vaguely oriental sound briefly imagine might introduction like enter dragon endofasubhere imagine ambience sound endofasubhere definitely imagine envision watch one early educational science elementary school felt magical nostalgic endofasubhere people slow dance move involve two two dance endofasubhere sound techno endofasubhere thought endofasubhere first felt like watch opening credit felt like listening soul endofasubhere start first second make think start disney theme tune something magical endofasubhere think could upscale initially delicate initially maybe place low stage seat around later vocal come think could really set mood scene fiction two character meet first time endofasubhere sound like might small jukebox corner dark arent many people could imagine sit booth enjoy drink endofasubhere 
4,bar ,Ele,Ele_LOW_09,BAR-Ele_LOW_09,BAR_Ele,make think europe specific country electric popular think outside people jump endofasubhere dark room strobe lighting dance floor dj sit behind theres lot people really crowd everyone drink sit next endofasubhere one make smile make think rid motorcycle around night city cyberpunk sorry use lot reference lot one make think beautiful would love release sequel endofasubhere felt like compilation advertisement would show stream platform sort generic fast pace allow go action fast endofasubhere cyberpunk tron racetrack endofasubhere felt like background adventure show montage adventurous scene endofasubhere common listen work instantly start thinking cardio sync time start speed bass drop like make want keep go even tire love much endofasubhere dj bring everyone start dance endofasubhere felt really energetic listen endofasubhere thought big stadium full people audio release endofasubhere sound like something futuristic like tron suspense build imagine fight robot futuristic setting endofasubhere either add tv sport car advert something like racing event like f endofasubhere seem like something would nightclub headphone listen endofasubhere imagine car line lot car get ready race go race start go fast beat car endofasubhere would hear techno imagine would loud large crowd around everyone want get bartender attention endofasubhere sound like kind tech company announce new phone endofasubhere battle background specifically background arena gacha endofasubhere felt like fight scene happen high speed car chase sound like something would hear fast furious endofasubhere make think kill little character fun lot grow well endofasubhere first note appear remind race like forza imagine control car get hype make action like swerve car drift like one fast furious endofasubhere hyper soundtrack make think trip vibrant endofasubhere imagine dance hall sort think many people dance joy endofasubhere make think sort cyberpunk heist scene like gear heist much endofasubhere really odd think many match context give endofasubhere give club vibe endofasubhere first think listen imagine techno style festival strobe light endofasubhere imagine hear kind night club endofasubhere 
5,bar ,Ele,Ele_LOW_14,BAR-Ele_LOW_14,BAR_Ele,feel busy like drive around something important something happen go task need urgently endofasubhere make think drink old console like pac man etc theme endofasubhere imagine rave several lead strobe light everyones fun dance around partner endofasubhere feel like rip straight level shovel knight dunno though never beat theyll laugh straight endofasubhere entirely old like mega man something like endofasubhere sound like classic endofasubhere scene theres party victory endofasubhere rough tough life experience stressful period life feel wear sometimes endofasubhere nice laidback vibe kind could listen hang friend summer evening endofasubhere imagine dat friend favorite stand dance endofasubhere felt entertain tune endofasubhere sound pac man arcade machine endofasubhere think club dance partner dj late night endofasubhere imagine retro kind like snake endofasubhere geometry dash similar take place space believe call run rush imagine screen look like endofasubhere bring back memory rave friend early hour morning sweaty dance sock laser light go fun time endofasubhere bunch little alien perform tech endofasubhere imagine outdoor rave people dance light flash firework set background people sit eat food atmosphere lively nighttime endofasubhere hear think edm event drop next phase endofasubhere heavy ibiza dance like edm festival setting simply envision bright perhaps early evening late sunrise perhaps middle summer late summer people old young certain demographic bit remedy nostalgic middle age crowd well modern date young crowd reason remind specifically minecraft apply demographic possibly endofasubhere bring memory hangout friend endofasubhere imagine dark crowd club flash light dance rhythm beat pulse body endofasubhere retro platformers maybe bos level endofasubhere could imagine nd pixel main character finally get last bos many hard trial endofasubhere people listen electropop festival dj would drop beat endofasubhere drunk dancing uncontrollably endofasubhere sound like beginning classic house proper great nostalgic feeling come make want dance endofasubhere mario endofasubhere imagine people dance techno raf good time jump around also imagine whoosh firework arcade endofasubhere loud wonder end endofasubhere bit frog jump around psychedelic style playstation endofasubhere futuristic people many cybernetic augmentation take foreign drug endofasubhere think fit endofasubhere picture weird sort arcade combo place buy food drink also fill retro arcade machine lot neon light sign somewhat nerdy eccentric endofasubhere could imagine mobile rpg level something like mario could picture endofasubhere 
6,bar ,Ele,Ele_MED_19,BAR-Ele_MED_19,BAR_Ele,felt like listen lofi beat spotify playlist quite relaxing endofasubhere rainy day forest endofasubhere see car passenger rain roll window drive interstate outside boston sky gloomy much fog sky cloud somber move away something start new life heart break leave behind endofasubhere dim lit ton people melancholy feel beginning endofasubhere instantly imagine sit feel pretty beat drop imagine lock eye someone feel like meet someone special first time endofasubhere sound like background use choreographer instance ballet dance endofasubhere sound remind prom night ex boyfriend memory endofasubhere first part remind much beat come start think club first week university friend meet beat bring back club endofasubhere imagine sit brunch drink milkshake wait grilled sandwich somewhat dark colour trendy endofasubhere wildly similar minecraft would think hear make feel relaxed nice endofasubhere chord beginning picture someone sad look window car cry beat kick could really picture anything endofasubhere advertisement real estate company prompt viewer list available house payment technique endofasubhere saw guy sit black leather jacket drink beer endofasubhere think sound almost sad contemplative weird choice kick addition feel sad start feel active something nice listen gentle good beat catch ear obtrusive background noise endofasubhere sound like twilight endofasubhere one favourite could listen anywhere remind lot different thing particularly walk train look world go endofasubhere hear camping day endofasubhere imagine watch could see character solemn yet determine experience sort negative event set back kind dimly lit library warm undertone character read book also stern expression deep thought beyond book sit messy desk feel clutter yet clutter purpose endofasubhere start sound like something sad romantic scene change unsure endofasubhere sound like could place beginning set evoke thought disco era randomly remind sleep dog endofasubhere surprisingly inspire imagine vivid scene endofasubhere sound like focus app keep focus work simple calm relaxing melody endofasubhere remind grandfather endofasubhere imagine romance drama main character go life alone breakup scene dark moody tone wasnt overly depress like transition breakup scene positive scene endofasubhere mostly attend rich people normally drink expensive liquor endofasubhere imagine space npc endofasubhere imagine endofasubhere felt really good listen imagine scene vacation partner cozy set fireplace good vibe endofasubhere think initially could see small intimate venue beat element kick visualise set speaker midsized full young patron endofasubhere sound like something would maybe dj warm set semi empty would modern look endofasubhere really vibing first bit remind indie someone rid bus look window quite right copyright free start almost sound like dubstep vision switch someone make first time add thing might sound good endofasubhere sound like background study work keep focus improve mood give lay back compose vibe endofasubhere 
7,bar ,Ele,Ele_MED_20,BAR-Ele_MED_20,BAR_Ele,sound futuristic ambient endofasubhere relate moment one travel solo explore new thing endofasubhere serenepeacefulthoughtful peaceful endofasubhere felt peace listen make calm feel present moment endofasubhere one remind nigerian watch time back sad call blood sister young sister fall love big sister husband end poison elder sister jealousy endofasubhere thought cool place drink wine rhythmical could connect endofasubhere imagine background endofasubhere people dance romantically endofasubhere gentle dancing lady endofasubhere imagine could start slow move speed make everyone listen shake head joy endofasubhere calm cozy people seat drinking chat dancing endofasubhere make feel like float around space top cloud watch world go pulsating beat make think life slow sometimes need stop endofasubhere never hear honest kind imagine lonely beach look view sea endofasubhere rooftop tall building city deal grief painful loss gaze city face stoic heart torn body numb wind rustle hair begin rain smell city smog combine smell petrichor endofasubhere person deep thought alone first time long day work murder crime home drink endofasubhere imagine something outdoorsy something nature endofasubhere elastic fox wild animal endofasubhere imagine sun come horizon grass sway big open field dawn sun come new day start endofasubhere would hear everyone feel like would restaurant endofasubhere say sound like popular genre call loft something smooth relax jazzy feel imagine calm modern look part mysterious detective type guy smoking go case note remind bit jake hunter series atmosphere soundtrack endofasubhere imagine calmly seat silence endofasubhere imagine hang laidback friend weekend smooth relaxed set chill mood everyones talk laugh unwinding people sit sip drink enjoy easygoing vibe endofasubhere scene new computer operate system start sound start sound endofasubhere feel like work conference company launch new product like endofasubhere really enjoy type give trance like feeling city unwinding futuristic fantastic endofasubhere 
8,bar ,Jaz,Jaz_LOW_19,BAR-Jaz_LOW_19,BAR_Jaz,felt like american think american havent british one see plenty american one tv maybe would drink cocktail endofasubhere first sound like something mario bros main section come like sit endofasubhere see see people dance string flapper dress fly men slide lady around leg shoulder everyone smile fun endofasubhere slow first really start groove really enjoy swinging endofasubhere envision dinner take order try get many table complete time frame give endofasubhere beginning sinister vibe remind bowser castle mario cart however bring happier tone vibe endofasubhere sound like live audience endofasubhere sound give make imagine race track try catch best runner endofasubhere remind mario original start endofasubhere first section remind school department would practice second part trumpet remind scene whiplash endofasubhere imagine urgent chase overwhelm feeling listen similar hear havent actually hear one felt different endofasubhere begin really give vivid image bowser mario note similar bowser fight level kick thought someone dancing las vega endofasubhere group old young men talk various life far talk way could make difference society endofasubhere first think guy stage people sit restaurant eating enjoy atmosphere endofasubhere first sound dramatic maybe like something spy pick intensify sort undercover noir spy vibe go seem little odd pleasant feels fancy like high class late night dinner party something good vibe set mood endofasubhere imagine friend lively drinking shout could hear one another good time everyone dance fun endofasubhere go friend celebration plenty drink serve endofasubhere dad house kid watch old mario super nintendo entertainment system progress though sound modern like remix old something would hear new theme around old endofasubhere restaurant endofasubhere beginning thought tom jerry chase sequence seem fit pace however thought shift opening scene odessa file bulk sound like could easily fit soundtrack odessa file endofasubhere make think lego star war cantina part classic bouncy style endofasubhere remind home town juggler endofasubhere live performance karaoke endofasubhere first could image upscale quiet could imagine player perform rest come could imagine fun lighthearted seat also space people get dance endofasubhere sound like small group musician gear towards arcade lover perhaps trivia nerd could imagine trivia night mario kart endofasubhere felt like first something would mario similar endofasubhere sound similar classical remind drink alcohol remind people socialise endofasubhere 
9,bar ,Jaz,Jaz_LOW_21,BAR-Jaz_LOW_21,BAR_Jaz,phone company help put hold long time endofasubhere sound like elevator get call put hold would also fit generic supermarket endofasubhere sort speakeasy ever watch broad city theres episode abi turn gail speakeasy remind endofasubhere first thing think scene old jetsons cartoon image marimba marimba type front endofasubhere capture thought explore new place meet new people endofasubhere sit friend eat let pas ear still friend like get time listen listen without attention endofasubhere felt like walk warm friendly great energy ready enjoy evening listen great endofasubhere remind early twenty college use party lot go endofasubhere evoke thought childhood memory scene christmas festivity endofasubhere imagine dance performer dance sound entertain crowd endofasubhere south african lady dance endofasubhere accord thought imagine phone sound like one use candy crash endofasubhere imagine scene lot people dance endofasubhere typical dance floor couple dance around tap dance endofasubhere either make think wait elevator tall building guess beating percussion good fun club dance friend endofasubhere reminds elevator classy restaurant new york city waiter waitress walk around give drink likely endofasubhere conjure image sort animated eg wait eg cook mama endofasubhere imagine fancy cocktail nice girl flirt whole night endofasubhere imagine scene wreck ralph character name tapper serve drink customer character movement jittery fast like character endofasubhere make think old school show first picture cool endofasubhere white tile board show dance endofasubhere tom jerry endofasubhere imagine people elevator background felt like gently sway endofasubhere context sound nothing like start imagine child much detail endofasubhere thought hip people drink sit table vibing te endofasubhere almost like elevator quickness sound make feel anxious like trap elevator go floor fast endofasubhere make think relax cozy friend vibe smooth mellow make whole place feel warm welcoming people chat laugh enjoy drink softly background endofasubhere nerdy dude house look unkempt endofasubhere smokey lounge men suit think like scene endofasubhere think childhood tv show use watch endofasubhere get imagination packed whilst people chat away whilst people dance good time endofasubhere 
