idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
841,846,1.0000004768371582,i felt its christmas and i am at the supermarket buying christmas gifts,a karaoke acoustic night,i felt like its christmas and i am at the supermarket buying christmas gifts,a karaoke acoustic night,80s_MED_13,Ele_MED_19,concert,concert,False,True,80s,Electronic,top
1357,1359,1.000000238418579,i a running in a,it very disco 80s themed to me,i imagined a running scene in a movie,it sounded very disco 80s themed to me,Met_LOW_09,Ele_LOW_14,movie,movie,False,True,Metal,Electronic,top
1868,1879,1.0000001192092896,the the type you hear in opening credits to a or tv show or even possibly ending of show to announce character names and titles,i was trying to where the be used in a i maybe when the characters are walking by the beach or about to have a heartfelt moment of some sort,the music sounded like the type you would hear in opening credits to a film or tv show or even possibly ending of show to announce character names and titles,i was trying to think where the music would be used in a film i think maybe when the characters are walking by the beach or about to have a heartfelt moment of some sort,80s_LOW_06,Ele_MED_20,movie,movie,False,True,80s,Electronic,top
1355,1356,0.9999999403953552,it just techno,i about the,it just sound techno,i thought about the saxophone,80s_MED_13,80s_LOW_06,bar,videogame,False,False,80s,80s,top
655,838,0.9999997615814209,people dancing romantically in a,pac man space invaders arcade tear or rip,people dancing romantically in a bar,pac man space invaders arcade game tear or rip keyboard,Ele_MED_20,Ele_LOW_14,bar,videogame,False,False,Electronic,Electronic,top
117,118,0.99013352394104,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
952,1432,0.9556369185447693,at the beginning i of a spider chasing me the type of you hear in an anime,is not it that theme from space invaders or something where the planes shoot asteroids i did not love the way it my head vibrate so it mustve been the asteroids exploding,at the beginning i thought of a spider chasing me sounds like the type of music you would hear in an anime,is not it that theme from space invaders or something where the planes shoot asteroids i did not love the way it made my head vibrate so it mustve been the asteroids exploding,Jaz_LOW_19,Ele_LOW_14,videogame,movie,False,False,Jazz,Electronic,top
1785,1896,0.9199362993240356,it had a very calming and soothing effect on me that i myself just chilling on the balcony at night with a cup of tea,i a set up with golden lights to fit the tune of the and lots of people swaying and feeling the,it had a very calming and soothing effect on me that i imagined myself just chilling on the balcony at night with a cup of tea,i imagined a concert set up with golden lights to fit the tune of the saxophone and lots of people swaying and feeling the music,Jaz_MED_07,80s_LOW_02,bar,concert,False,False,Jazz,80s,top
118,120,0.9052286744117737,it a energetic with a strong beat and a powerful electric,it a energetic with a powerful electric,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a powerful electric guitar,Jaz_LOW_19,Met_LOW_14,concert,movie,False,False,Jazz,Metal,top
117,120,0.8981230854988098,its an energetic with a strong beat and a powerful electric,it a energetic with a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a powerful electric guitar,Met_LOW_09,Met_LOW_14,concert,movie,False,False,Metal,Metal,top
