"clip_name","context_word","expName","PROLIFIC_PID","File_ID","date","response_thought_or_not.keys","descr_THOUGHT.text","rating_music_prompted.response","rating_spontaneity.response","rating_novelty.response","input_NOT.text","rating_familiarity.response","rating_enjoyment.response","demographics.headphones","demographics.age","demographics.gender","demographics.livingCountry","demographics.birthCountry","demographics.nativeLangue","demographics.otherLanguage","demographics.otherLanguageText","demographics.hearingImpariments","demographics.hearingImpairmentsText","demographics.education","demographics.musicianIdentification","demographics.feedback"
"80s_LOW_02_Breaking_Away.mp3","bar ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","kind of sad, melancholy. not happy or upbeat. emotionally charged",5,4,3,NA,1,3,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Jazz_MED_07_Turiya_and_Ramakrishna.mp3","video game","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","it did not sound like a video game. if anything maybe the end credits or something. again sounded like something sad or emotional you'd hear being played in a bar. makes you reflect on your life while having a drink alone",5,5,2,NA,1,3,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"80s_MED_08_After_Tonight.mp3","video game","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","overly upbeat. no real emotions, peppy. too much. ",5,4,4,NA,1,2,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Metal_LOW_09_Darkside.mp3","concert ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very heavy rock, not for me. somewhere that i don't belong. did not enjoy",5,5,3,NA,2,1,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Metal_MED_20_Welcome_to_the_Family.mp3","video game","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very charged, maybe you've won something or won a battle. hyped up. possibly ending credits? meant to be good",5,4,2,NA,2,4,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"80s_LOW_06_Summer_Beach.mp3","concert ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very bland, like lift music or something. not something i would specifically think about or rememeber. end credits again?",4,5,3,NA,2,2,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Electronic_MED_20_The_Distance.mp3","concert ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","feels like you're underwater. in the sea. very calming, very relaxing. floating around in water. ",5,5,3,NA,2,4,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Electronic_LOW_14_Tape.mp3","bar ","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","feels very busy, like i'm driving around doing something important. something is happening, going on, or i have a task i need to do urgently",5,5,4,NA,1,2,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"80s_MED_13_Your_Love_Drives_Me_Crazy.mp3","movie","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","n",NA,NA,NA,NA,"it was fairly bland and didn't really put any images in my mind. almost like the one floating in the sea but did not have enough substance in it. made me forget about the music and other thoughts about my day popped into my head",1,2,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
"Jazz_LOW_21_Thinking_of_You_Mjq.mp3","movie","clip_context_g1","5eff5f05b92981000a2aed73","clip_context_g1_5eff5f05b92981000a2aed73_020595.csv","2025-07-01_10h45.13.126","y","very peppy, like lift music again. feels busy, like you need to do something. maybe walking through a shopping center listening to this in the background? ",5,4,3,NA,1,3,TRUE,28,"Female","United Kingdom","United Kingdom","English",FALSE,NA,FALSE,NA,5,2,NA
