,clip_name,clip_genre,context_word,clip_context_PAIR,expName,PROLIFIC_PID,File_ID,date,descr_THOUGHT.text,rating_music_prompted.response,rating_spontaneity.response,rating_novelty.response,rating_familiarity.response,rating_enjoyment.response,demographics.headphones,demographics.age,demographics.gender,demographics.livingCountry,demographics.birthCountry,demographics.nativeLanguage,demographics.otherLanguage,demographics.otherLanguageText,demographics.hearingImpariments,demographics.hearingImpairmentsText,demographics.education,demographics.musicianIdentification,demographics.feedback,descr_THOUGHT.text_corrected,METdescr_prepLVL1,METdescr_prepLVL1A,METdescr_prepLVL2,METdescr_prepLVL2A
0,80s_LOW_02,80s,bar ,BAR-80s_LOW_02,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"kind of sad, melancholy. not happy or upbeat. emotionally charged",5.0,4.0,3.0,1,3,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,kind of sad melancholy not happy or upbeat emotionally charged,kind of sad melancholy not happy or upbeat emotionally charged,kind of sad melancholy not happy or upbeat emotionally charged,kind sad melancholy happy upbeat emotionally charge,kind sad melancholy happy upbeat emotionally charge
1,Jaz_MED_07,Jazz,video game,VIDEOGAME-Jaz_MED_07,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,it did not sound like a video game. if anything maybe the end credits or something. again sounded like something sad or emotional you'd hear being played in a bar. makes you reflect on your life while having a drink alone,5.0,5.0,2.0,1,3,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone,it did not a if anything maybe the end credits or something again something sad or emotional youd hear being played in a you reflect on your life while having a drink alone,it did not sound like a if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a makes you reflect on your life while having a drink alone,anything maybe end credit something something sad emotional youd hear reflect life drink alone,sound like anything maybe end credit something sound like something sad emotional youd hear make reflect life drink alone
2,80s_MED_08,80s,video game,VIDEOGAME-80s_MED_08,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"overly upbeat. no real emotions, peppy. too much. ",5.0,4.0,4.0,1,2,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,overly upbeat no real emotions peppy too much,overly upbeat no real emotions peppy too much,overly upbeat no real emotions peppy too much,overly upbeat real emotion peppy much,overly upbeat real emotion peppy much
3,Met_LOW_09,Metal,concert ,CONCERT-Met_LOW_09,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"very heavy rock, not for me. somewhere that i don't belong. did not enjoy",5.0,5.0,3.0,2,1,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very heavy rock not for me somewhere that i do not belong did not enjoy,very heavy not for me somewhere that i do not belong did not enjoy,very heavy not for me somewhere that i do not belong did not enjoy,heavy somewhere belong enjoy,heavy somewhere belong enjoy
4,Met_MED_20,Metal,video game,VIDEOGAME-Met_MED_20,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"very charged, maybe you've won something or won a battle. hyped up. possibly ending credits? meant to be good",5.0,4.0,2.0,2,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good,very charged maybe you have won something or won a battle hyped up possibly ending credits meant to be good,charge maybe something battle hype possibly end credit mean good,charge maybe something battle hype possibly end credit mean good
5,80s_LOW_06,80s,concert ,CONCERT-80s_LOW_06,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"very bland, like lift music or something. not something i would specifically think about or rememeber. end credits again?",4.0,5.0,3.0,2,2,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very bland like lift music or something not something i would specifically think about or remember end credits again,very bland lift or something not something i would specifically about or end credits again,very bland like lift or something not something i would specifically think about or remember end credits again,bland lift something something would specifically end credit,bland like lift something something would specifically think remember end credit
6,Ele_MED_20,Electronic,concert ,CONCERT-Ele_MED_20,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"feels like you're underwater. in the sea. very calming, very relaxing. floating around in water. ",5.0,5.0,3.0,2,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,feels like you are underwater in the sea very calming very relaxing floating around in water,feels you are underwater in the sea very calming very relaxing floating around in water,feels like you are underwater in the sea very calming very relaxing floating around in water,feel underwater sea calming relax float around water,feel like underwater sea calming relax float around water
7,Ele_LOW_14,Electronic,bar ,BAR-Ele_LOW_14,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"feels very busy, like i'm driving around doing something important. something is happening, going on, or i have a task i need to do urgently",5.0,5.0,4.0,1,2,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,feels very busy like i am driving around doing something important something is happening going on or i have a task i need to do urgently,feels very busy i am driving around doing something important something is happening going on or i have a task i need to do urgently,feels very busy like i am driving around doing something important something is happening going on or i have a task i need to do urgently,feel busy drive around something important something happen go task need urgently,feel busy like drive around something important something happen go task need urgently
9,Jaz_LOW_21,Jazz,movie,MOVIE-Jaz_LOW_21,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,"very peppy, like lift music again. feels busy, like you need to do something. maybe walking through a shopping center listening to this in the background? ",5.0,4.0,3.0,1,3,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very peppy like lift music again feels busy like you need to do something maybe walking through a shopping center listening to this in the background,very peppy lift again feels busy you need to do something maybe walking through a shopping center listening to this in the background,very peppy like lift again feels busy like you need to do something maybe walking through a shopping center listening to this in the background,peppy lift feels busy need something maybe walk shopping center listen background,peppy like lift feels busy like need something maybe walk shopping center listen background
10,Ele_LOW_09,Electronic,video game,VIDEOGAME-Ele_LOW_09,clip_context_g1,5eff5f05b92981000a2aed73,clip_context_g1_5eff5f05b92981000a2aed73_020595.csv,2025-07-01_10h45.13.126,very charged. sounds like a song i've heard before in an advert about 'you wouldn't steal a ...' blank. feels like it's telling you something. feels important or like you need to be paying attention,4.0,4.0,2.0,4,4,True,28,Female,United Kingdom,United Kingdom,English,False,,False,,5,2,,very charged sounds like a song i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention,very charged a i have heard before in an advert about you would not steal a blank feels its telling you something feels important or you need to be paying attention,very charged sounds like a i have heard before in an advert about you would not steal a blank feels like its telling you something feels important or like you need to be paying attention,charged hear advert would steal blank feel tell something feel important need pay attention,charged sound like hear advert would steal blank feel like tell something feel important like need pay attention
