idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
1868,1879,1.0000001192092896,the the type you hear in opening credits to a or tv show or even possibly ending of show to announce character names and titles,i was trying to where the be used in a i maybe when the characters are walking by the beach or about to have a heartfelt moment of some sort,the music sounded like the type you would hear in opening credits to a film or tv show or even possibly ending of show to announce character names and titles,i was trying to think where the music would be used in a film i think maybe when the characters are walking by the beach or about to have a heartfelt moment of some sort,80s_LOW_06,Ele_MED_20,movie,movie,False,True,80s,Electronic,top
1355,1356,1.0000001192092896,it just techno,i about the,it just sound techno,i thought about the saxophone,80s_MED_13,80s_LOW_06,bar,videogame,False,False,80s,80s,top
1357,1359,1.0,i a running in a,it very disco 80s themed to me,i imagined a running scene in a movie,it sounded very disco 80s themed to me,Met_LOW_09,Ele_LOW_14,movie,movie,False,True,Metal,Electronic,top
841,846,0.9999998807907104,i felt its christmas and i am at the supermarket buying christmas gifts,a karaoke acoustic night,i felt like its christmas and i am at the supermarket buying christmas gifts,a karaoke acoustic night,80s_MED_13,Ele_MED_19,concert,concert,False,True,80s,Electronic,top
655,838,0.999999463558197,people dancing romantically in a,pac man space invaders arcade tear or rip,people dancing romantically in a bar,pac man space invaders arcade game tear or rip keyboard,Ele_MED_20,Ele_LOW_14,bar,videogame,False,False,Electronic,Electronic,top
117,118,0.9836562275886536,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
588,592,0.8965851068496704,just setting the mood to have a competition or something with a friend or colleagueits a battle,interestinglovingmakes me want to dance,just setting the mood to have a competition play or something with a friend or colleagueits like a battle music,interestinglovingmakes me want to dance,Ele_LOW_09,Ele_MED_19,movie,concert,False,False,Electronic,Electronic,top
952,1432,0.8765564560890198,at the beginning i of a spider chasing me the type of you hear in an anime,is not it that theme from space invaders or something where the planes shoot asteroids i did not love the way it my head vibrate so it mustve been the asteroids exploding,at the beginning i thought of a spider chasing me sounds like the type of music you would hear in an anime,is not it that theme from space invaders or something where the planes shoot asteroids i did not love the way it made my head vibrate so it mustve been the asteroids exploding,Jaz_LOW_19,Ele_LOW_14,videogame,movie,False,False,Jazz,Electronic,top
1785,1896,0.8759645223617554,it had a very calming and soothing effect on me that i myself just chilling on the balcony at night with a cup of tea,i a set up with golden lights to fit the tune of the and lots of people swaying and feeling the,it had a very calming and soothing effect on me that i imagined myself just chilling on the balcony at night with a cup of tea,i imagined a concert set up with golden lights to fit the tune of the saxophone and lots of people swaying and feeling the music,Jaz_MED_07,80s_LOW_02,bar,concert,False,False,Jazz,80s,top
174,176,0.8586214780807495,the tune gives a cinematic experience,the tune is cinematic,the tune gives a cinematic experience,the tune is cinematic,Met_LOW_14,Jaz_LOW_19,movie,concert,False,False,Metal,Jazz,top
