idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
27,42,0.7613740563392639,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Jaz_MED_07,Jaz_MED_02,concert,movie,False,False,Jaz,Jaz,top
36,47,0.7488027215003967,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,driving my car really fast and recklessly while just about keeping it on the road endofinput it anime credits or opening title sequence endofinput not a no idea what weird have that but a avenge sevenfold the sort of i used to see on kerrang endofinput the resonates my one lost in the night where i …,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,driving my car really fast and recklessly while just about keeping it on the road | it sounded like anime credits or opening title sequence music | not a movie no idea what weird movie would have that music but a concert sounded like avenge sevenfold the sort of music video i used to see on kerrang …,Ele_LOW_09,Met_MED_20,movie,movie,False,True,Ele,Met,top
19,22,0.7420806884765625,quite magical and whimsical endofinput a and entering a new zone area endofinput it an extended version of a 90s console start up endofinput i an 80s esque abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the seemed fit for a musical but no musi…,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,sounds quite magical and whimsical | playing a video game and entering a new zone area | it sounded like an extended version of a 90s console start up sound | i imagined an 80s esque piece abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the son…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,80s_MED_13,Ele_MED_19,concert,concert,False,True,80s,Ele,top
22,29,0.7390080690383911,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,Ele_MED_19,Met_LOW_14,concert,concert,False,True,Ele,Met,top
47,49,0.7327635884284973,driving my car really fast and recklessly while just about keeping it on the road endofinput it anime credits or opening title sequence endofinput not a no idea what weird have that but a avenge sevenfold the sort of i used to see on kerrang endofinput the resonates my one lost in the night where i …,a car ride in the 80s endofinput i can see the camera panning around a somewhat busy street in an anime it flies by people who are laughing and having fun were getting of different store fronts on the street introducing us to the new area endofinput it reminded me of an old television type of theme …,driving my car really fast and recklessly while just about keeping it on the road | it sounded like anime credits or opening title sequence music | not a movie no idea what weird movie would have that music but a concert sounded like avenge sevenfold the sort of music video i used to see on kerrang …,a car ride in the 80s | i can see the camera panning around a somewhat busy street in an anime game it flies by people who are laughing and having fun were getting clips of different store fronts on the street introducing us to the new area | it reminded me of an old television type of theme song | …,Met_MED_20,80s_LOW_06,movie,videogame,False,False,Met,80s,top
36,62,0.7309753894805908,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,when i was much younger hero endofinput boss fight straight out a jrpg yakuza endofinput a heavy hero hero on the wii endofinput i the screen for hero on display and someone with their friend endofinput this evokes the sense of freedom and adventure endofinput bursting with fireon top of the worldca…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,when i was much younger playing guitar hero | sounds like boss fight music straight out a jrpg like yakuza | a heavy metal guitar hero game playing guitar hero on the wii | i could imagine the screen for guitar hero on display and someone playing with their friend | this music evokes the sense of fr…,Ele_LOW_09,Met_MED_19,movie,videogame,False,False,Ele,Met,top
10,59,0.719482958316803,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,it did not a if anything maybe the end credits or something again something sad or emotional youd hear being played in a you reflect on your life while having a drink alone endofinput does not fit with what i for a but does me a character walking into a high end or club specifically in new york city…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_02,Jaz_MED_07,bar,videogame,False,False,Jaz,Jaz,top
53,56,0.7183047533035278,me and my friends mario kart while i am trying to win endofinput it from a 90s or an arcade machine endofinput pac man some annoying from the 80s very irritating a sort of pixelated endofinput i a pixelated combination scroller moving from left to right paper mario and fighting mortal kombat endofin…,something from monsters inc endofinput celebrating with friends at a party endofinput its almost two separate of but as two theyd fit into a jrpg persona or as one it easily be some nintendo menu endofinput at first i of a mario bros reboot because the beginning strongly a sped up yet pitched down f…,me and my friends playing mario kart while i am trying to win | it sounds like music from a 90s video game or an arcade machine | pac man some annoying game from the 80s very irritating music a sort of pixelated game | i imagined a pixelated combination scroller moving from left to right like paper …,sounds like jazz like something from monsters inc | celebrating with friends at a party | its almost like two separate pieces of music but as two pieces theyd fit into a jrpg like persona or as one piece it could easily be some nintendo games menu music | at first i thought of a mario bros video gam…,Ele_LOW_14,Jaz_LOW_19,videogame,videogame,False,True,Ele,Jaz,top
29,36,0.7168752551078796,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,Met_LOW_14,Ele_LOW_09,concert,movie,False,False,Met,Ele,top
11,32,0.7162615656852722,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,a set in a big city where the main character is depressed or wandering the streets at night endofinput i see a camera panning around a raining city somewhere hidden along the street is a where a detective is having a drink hes down on his luck and the culprit is going to get away but a woman is abou…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,sounds like a movie scene set in a big city where the main character is depressed or wandering the streets at night | i could see a camera panning around a raining city somewhere hidden along the street is a bar where a detective is having a drink hes down on his luck and think the culprit is going …,Jaz_MED_07,80s_LOW_02,bar,movie,False,False,Jaz,80s,top
