idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
233,1271,-0.2099253237247467,a giant man plodding along the street with a cheery grin on his face greeting everyone as he walks past,i of noir crime and mystery as well as two television series that used similar matlock the series that aired in the 1980s and 90s and in the heat of the night this the soundtrack for a mystery or crime drama,a giant man plodding along the street with a cheery grin on his face greeting everyone as he walks past,i thought of film noir crime and mystery films as well as two television series that used similar music matlock the series that aired in the 1980s and 90s and in the heat of the night this sounds like the soundtrack for a mystery or crime drama,80s_MED_08,Jaz_MED_07,videogame,concert,False,False,80s,Jazz,bottom
1415,1742,-0.19879429042339325,its the ending title sequence of a its character bloopers in between the credits,me of clubs where you can poker and have food as well as smoke cigarettes in an underground poker club very cosy and relaxing atmosphere cigars smoke in the air,its the ending title sequence of a movie its playing character bloopers in between the credits,made me think of jazz clubs where you can play poker and have food as well as smoke cigarettes in an underground poker club very cosy and relaxing atmosphere cigars smoke in the air,80s_LOW_06,Jaz_MED_07,videogame,bar,False,False,80s,Jazz,bottom
320,346,-0.18816421926021576,rainy stormy windows in a city apartment a girl feel reenergised and at peace by it,people are dancing at the disco people perform the soul train on the stage,rainy stormy windows in a city apartment a girl feel reenergised and at peace by it,people are dancing at the disco people perform the soul train on the stage,Ele_MED_19,80s_LOW_06,movie,concert,False,False,Electronic,80s,bottom
347,412,-0.18755725026130676,people are relaxing at the club people are watching the perform,an evil character plans to kill someone in a cartoon,people are relaxing at the jazz club people are watching the band perform,an evil character making plans to kill someone in a cartoon,Jaz_MED_07,Met_LOW_14,videogame,movie,False,False,Jazz,Metal,bottom
355,1361,-0.1863938868045807,the character arrives at the beach section,i about my mum she had tons of records that exactly this we listen to these nonstop back then,the character arrives at the beach section,i thought about my mum she had tons of records that sounded exactly like this we would listen to these nonstop back then,80s_MED_08,80s_MED_08,videogame,concert,True,False,80s,80s,bottom
226,949,-0.18128015100955963,someone the someone that looks jason momoa probably because i have watched of thrones recently then also occasionally some anime,feel i am at a work conference where a company is launching a new product not at all,someone playing the guitar someone that looks like jason momoa probably because i have watched game of thrones recently then also occasionally some anime scenes,feel like i am at a work conference where a company is launching a new product not bar like at all,Met_LOW_14,Ele_MED_20,movie,bar,False,False,Metal,Electronic,bottom
1648,1828,-0.17967455089092255,i a guy struggling but preparing himself for the physical challenge he is embarking on,my thoughts were when i attended a they always tunes that,i could picture a guy struggling but preparing himself for the physical challenge he is embarking on,my thoughts were when i attended a concert they always play tunes like that,Ele_MED_19,Met_MED_20,videogame,concert,False,False,Electronic,Metal,bottom
105,721,-0.1796044558286667,it brought a where things were in a chaotic mess for me i had just lost my job and i not straight back then so i usually hard i that my worry less,the is on stage his keys while the and dancers are waiting for their cue to begin performing,it brought a memory where things were in a chaotic mess for me i had just lost my job and i could not think straight back then so i usually play hard rock music i thought that could make my worry less,the pianist is on stage playing his keys while the singer and dancers are waiting for their cue to begin performing,Met_LOW_14,Ele_MED_19,movie,concert,False,False,Metal,Electronic,bottom
778,1725,-0.17693941295146942,i saw a silhouette of thor as he raised his hammer and lightning struck revealing his visage a warrior wearing an elk skull rose from the ground with his mighty axe in hand and he began charging,of the city a tropical city miami and or los angeles,i saw a silhouette of thor as he raised his hammer and lightning struck revealing his visage a warrior wearing an elk skull rose from the ground with his mighty axe in hand and he began charging,scenes of the city a tropical city like miami and or los angeles,Met_LOW_09,80s_LOW_06,bar,movie,False,False,Metal,80s,bottom
434,1403,-0.17504647374153137,i once attended a and have definitely heard similar i was trying to when it was but i not,i the main character of a dark action getting their weapons and tools ready so they can plot out how to take down their enemy,i once attended a concert and have definitely heard similar sounds i was trying to remember when it was but i could not,i imagined the main character of a dark action movie getting their weapons and tools ready so they can plot out how to take down their enemy,Met_LOW_09,Met_LOW_09,concert,movie,True,False,Metal,Metal,bottom
