idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
382,1065,0.0,swede friend,say still mostly present stage live audience,while playing swede video games with my friends,i would say it is still an instrumental music mostly presented in a stage with live audience,80s_MED_08,Met_MED_20,videogame,bar,False,False,80s,Metal,bottom
382,1064,0.0,swede friend,perform live stage,while playing swede video games with my friends,i pictured music performed live on stage,80s_MED_08,Met_MED_19,videogame,concert,False,False,80s,Metal,bottom
382,1063,0.0,swede friend,beginning sinister vibe bowser castle mario cart however bring happier tone vibe,while playing swede video games with my friends,the beginning had a sinister vibe it reminded me of bowser castle in mario cart however the jazz music brought a happier tone vibe,80s_MED_08,Jaz_LOW_19,videogame,bar,False,False,80s,Jazz,bottom
382,1062,0.0,swede friend,matrix blade runner someone run street pursuit something someone technological modern device,while playing swede video games with my friends,reminded me of the matrix or blade runner someone running down the street in pursuit of something someone technological and modern devices,80s_MED_08,Ele_LOW_14,videogame,movie,False,False,80s,Electronic,bottom
382,1061,0.0,swede friend,instantly chuckle brother come tor mind cat cafe white cat everywhere light hearted cheery vibe,while playing swede video games with my friends,instantly the chuckle brothers came tor mind and then a cat cafe which is white and has cats everywhere light hearted cheery vibe,80s_MED_08,Jaz_LOW_21,videogame,videogame,False,True,80s,Jazz,bottom
382,1060,0.0,swede friend,iron maiden acdc overwhelm loud,while playing swede video games with my friends,reminded me of an iron maiden acdc concert overwhelmed and too loud,80s_MED_08,Met_LOW_09,videogame,movie,False,False,80s,Metal,bottom
382,1059,0.0,swede friend,cowboy rid horse sand hill desert smoking western style,while playing swede video games with my friends,reminded me of a cowboy riding his horse over a sand hill into the desert smoking western style,80s_MED_08,80s_LOW_02,videogame,movie,False,False,80s,80s,bottom
382,1058,0.0,swede friend,rave tightly pack surround people lot light ray stage go crowd overwhelm uncomfortable,while playing swede video games with my friends,being at a rave tightly packed in and surrounded by people lots of light rays from the stage going over the crowd overwhelmed and uncomfortable,80s_MED_08,Ele_LOW_09,videogame,concert,False,False,80s,Electronic,bottom
382,1057,0.0,swede friend,instantly sit feel pretty beat drop lock eye someone feel meet someone special first time,while playing swede video games with my friends,i instantly imagined myself sat in a bar by myself feeling pretty down and then when the beat dropped i imagined locking eyes with someone this music feels like meeting someone special for the first time,80s_MED_08,Ele_MED_19,videogame,bar,False,False,80s,Electronic,bottom
1944,1945,0.0,documentary mostly fun fact historic information,wrestling show,i imagined a documentary mostly about fun facts or historic information,i imagined a wrestling show,Ele_MED_20,Met_LOW_09,movie,videogame,False,False,Electronic,Metal,bottom
