idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
117,118,0.99013352394104,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
952,1432,0.9556369185447693,end credits of a,the end credits of a,imagined end credits of a game,sounded like the end credits of a movie,80s_LOW_02,80s_MED_08,videogame,concert,False,False,80s,80s,top
1785,1896,0.9199362993240356,a on a stage more of a heavy,a on stage the with big a heavy,a band playing on a stage more of a rock heavy metal band,a band on stage playing the song with big guitars like a heavy rock band,Met_LOW_09,Met_MED_20,videogame,concert,False,False,Metal,Metal,top
118,120,0.9052286744117737,it a energetic with a strong beat and a powerful electric,it a energetic with a powerful electric,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a powerful electric guitar,Jaz_LOW_19,Met_LOW_14,concert,movie,False,False,Jazz,Metal,top
117,120,0.8981230854988098,its an energetic with a strong beat and a powerful electric,it a energetic with a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a powerful electric guitar,Met_LOW_09,Met_LOW_14,concert,movie,False,False,Metal,Metal,top
653,1564,0.8740390539169312,people dancing romantically in a,a romantic people dancing in each others arms,people dancing romantically in a bar,a romantic scene people dancing in each others arms,Ele_MED_20,80s_LOW_02,bar,concert,False,False,Electronic,80s,top
863,1432,0.8684487342834473,a that for the credits at the end of a,the end credits of a,sounds like a song that plays for the credits at the end of a movie,sounded like the end credits of a movie,Ele_LOW_09,80s_MED_08,movie,concert,False,False,Electronic,80s,top
202,203,0.8490289449691772,played in classy restaurants and events,more cool and classy played in classy events and restaurants,jazz music played in classy restaurants and events,sounds more like cool and classy jazz music played in classy events and restaurants,Jaz_LOW_19,Jaz_MED_02,concert,bar,False,False,Jazz,Jazz,top
186,752,0.8407756686210632,from a pac man arcade machine,a such as pac man in an arcade,sounds from a pac man arcade machine,playing a video game such as pac man in an arcade,Ele_LOW_14,Ele_LOW_14,bar,videogame,True,False,Electronic,Electronic,top
1807,1814,0.8313784003257751,i my girlfriend love this beat so much,my sister who loves with this beat,i remembered my girlfriend love this beat so much,my sister who loves songs with this beat,Ele_MED_20,80s_MED_08,movie,bar,False,False,Electronic,80s,top
