idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
117,118,0.9662069082260132,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
929,935,0.9377779960632324,i hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe,this me of relaxing in a cozy with friends the vibe is smooth and mellow the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the softly in the background,i imagined hanging out at a laidback bar with friends on a weekend the music is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the bar sipping drinks and just enjoying the easygoing vibe,this music made me think of relaxing in a cozy bar with friends the jazz vibe is smooth and mellow making the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the music plays softly in the background,Ele_MED_20,Jaz_LOW_21,bar,bar,False,True,Electronic,Jazz,top
878,880,0.9283581972122192,the context was but i even without that i have because it very typical of an older action fighting type or maybe a science fiction racing or something i really liked the and what kind of it suit as a soundtrack based on i have played in the past and my modest experience as a hobby designer,it said so i what type of it fit as a soundtrack and figured probably action or science fiction but then it also gave me strong vibes so i started that a bit too i have been very interested in terminator lately so i parts of that and the based on it especially the retro ones although it does not fit…,the context was video game but i think even without that i would have pictured games because it sounded very typical of an older action fighting type game or maybe a science fiction racing game or something i really liked the music and imagined what kind of game it would suit as a soundtrack based o…,it said movie so i imagined what type of movie it would fit as a soundtrack and figured probably action or science fiction but then it also gave me strong video game vibes so i started picturing that a bit too i have been very interested in terminator lately so i imagined parts of that movie and the…,Met_MED_19,Ele_LOW_09,videogame,movie,False,False,Metal,Electronic,top
952,1432,0.9239078164100647,end credits of a,the end credits of a,imagined end credits of a game,sounded like the end credits of a movie,80s_LOW_02,80s_MED_08,videogame,concert,False,False,80s,80s,top
878,879,0.9227321147918701,the context was but i even without that i have because it very typical of an older action fighting type or maybe a science fiction racing or something i really liked the and what kind of it suit as a soundtrack based on i have played in the past and my modest experience as a hobby designer,the context prompt said but it did not really me of any i have played in the past so i tried to what a with it as a soundtrack might look and in the end i settled on a visual novel style as it certainly had atmosphere but i not mechanics to go with it and visual novel style are by nature less kineti…,the context was video game but i think even without that i would have pictured games because it sounded very typical of an older action fighting type game or maybe a science fiction racing game or something i really liked the music and imagined what kind of game it would suit as a soundtrack based o…,the context prompt said video game but it did not really remind me of any video games i have played in the past so i tried to imagine what a game with it as a soundtrack might look and play like in the end i settled on a visual novel style game as it certainly had atmosphere but i could not picture …,Met_MED_19,80s_LOW_02,videogame,videogame,False,True,Metal,80s,top
871,879,0.9207128286361694,i a lot of so when i heard this along with the context prompt i naturally started to what type of it suit and what part of the inspired by i have played in the past i found myself a boss battle in a jrpg at first since it dramatic with an edge of danger and action but once the more jazzy part kicked…,the context prompt said but it did not really me of any i have played in the past so i tried to what a with it as a soundtrack might look and in the end i settled on a visual novel style as it certainly had atmosphere but i not mechanics to go with it and visual novel style are by nature less kineti…,i play a lot of video games so when i heard this piece along with the context prompt i naturally started to imagine what type of game it would suit and what part of the game inspired by games i have played in the past i found myself imagining a boss battle in a jrpg at first since it sounded dramati…,the context prompt said video game but it did not really remind me of any video games i have played in the past so i tried to imagine what a game with it as a soundtrack might look and play like in the end i settled on a visual novel style game as it certainly had atmosphere but i could not picture …,Jaz_LOW_19,80s_LOW_02,videogame,videogame,False,True,Jazz,80s,top
289,871,0.9180790185928345,it reminded me heavily of an edm type of drop so for a i was envisioning things halo or tron legacy but i do not have experience with these so something that follows similar ideas that allows multiplayer shooting or objective based teams claiming territory but more futuristic 100 futuristic the prov…,i a lot of so when i heard this along with the context prompt i naturally started to what type of it suit and what part of the inspired by i have played in the past i found myself a boss battle in a jrpg at first since it dramatic with an edge of danger and action but once the more jazzy part kicked…,it reminded me heavily of an edm concert type of drop so for a video game i was envisioning things like halo or tron legacy but i do not have experience with these games so something that follows similar ideas that allows multiplayer shooting games or objective based games like teams claiming territ…,i play a lot of video games so when i heard this piece along with the context prompt i naturally started to imagine what type of game it would suit and what part of the game inspired by games i have played in the past i found myself imagining a boss battle in a jrpg at first since it sounded dramati…,Ele_LOW_09,Jaz_LOW_19,videogame,videogame,False,True,Electronic,Jazz,top
482,1911,0.9176731705665588,immediately i a dimly lit of sorts with a small intimate stage at the front small tables with two seats an orange lit lamp on each once people quietly conversing over whiskeys on ice while a of musicians played on stage,i a on stage in an intimate venue the audience was sat at small tables drinking wine and cocktails there was ambient warm lighting and the of quiet chatter over the,immediately i imaged a dimly lit bar of sorts with a small intimate stage at the front small tables with two seats an orange lit lamp on each once people quietly conversing over whiskeys on ice while a band of musicians played on stage,i imagined a band on stage in an intimate venue the audience was sat at small tables drinking wine and cocktails there was ambient warm lighting and the sound of quiet chatter over the music,Jaz_MED_07,80s_LOW_02,videogame,concert,False,False,Jazz,80s,top
729,733,0.9172877073287964,an introduction at a the crowd is beginning to buzz with excitement as the are all their way to the stage loud cheers are erupting each time one of the members enters the feeling of tension within the crowd as they anticipate the entrance of the is lifting,another introduction style to as the are entering the stage people are getting excited there is a bustling among the crowd as the members are entering the stage,an introduction song at a concert the crowd is beginning to buzz with excitement as the band are all making their way to the stage loud cheers are erupting each time one of the band members enters the feeling of tension within the crowd as they anticipate the entrance of the band is lifting,another introduction style song to play as the band are entering the stage people are getting excited there is a bustling among the crowd as the band members are entering the stage,Jaz_MED_02,80s_MED_13,concert,concert,False,True,Jazz,80s,top
921,930,0.9167819619178772,i myself at a big kind of a summer festival the crowd is moving to the beat lights flashing everywhere and people are singing along it feels fun a little hyped and everyones having a good time,i being at a packed with a lot of energy in the crowd people are jumping around singing along and just letting loose the whole place feels alive with bright lights and everyone feeding off the bands energy,i pictured myself at a big concert kind of like a summer music festival the crowd is moving to the beat lights flashing everywhere and people are singing along it feels fun a little hyped and everyones having a good time,i pictured being at a packed concert with a lot of energy in the crowd people are jumping around singing along and just letting loose the whole place feels alive with bright lights and everyone feeding off the bands energy,Ele_MED_19,Met_LOW_14,concert,concert,False,True,Electronic,Metal,top
