idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
1,36,0.3373450040817261,the felt really 80s and so it was an of a 80s style hawaiian with hula style decor endofinput the evokes the feeling of wanting to dance with friends endofinput it me about my husband and i miss him wanted to dance and laugh with him just listening to this endofinput i myself and a few friends in a …,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,the music felt really 80s and so it was an image of a 80s style hawaiian bar with hula style decor | the music evokes the feeling of wanting to dance with friends | it made me think about my husband and i miss him wanted to dance and laugh with him just listening to this music sound | i imagined mys…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,80s_LOW_06,Ele_LOW_09,bar,movie,False,False,80s,Ele,bottom
36,41,0.3971044421195984,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,very peppy lift again feels busy you need to do something maybe walking through a shopping center listening to this in the background endofinput fun supermarket shopping in a coming of age endofinput me of a tom jerry show i used to watch the track in the background while tom and jerry are being mis…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,very peppy like lift music again feels busy like you need to do something maybe walking through a shopping center listening to this in the background | fun supermarket shopping scene in a coming of age movie | reminds me of a tom jerry show i used to watch the sound track playing in the background w…,Ele_LOW_09,Jaz_LOW_21,movie,movie,False,True,Ele,Jaz,bottom
27,36,0.4028893709182739,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,Jaz_MED_07,Ele_LOW_09,concert,movie,False,False,Jaz,Ele,bottom
36,57,0.41571134328842163,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,in a again or maybe just a cocktail sipping cocktails and having a relaxing time endofinput the me of goofy old cartoons and me of the looney toons endofinput i this is what elevator should be and i enjoyed this very much endofinput instantly the chuckle brothers came tor mind and then a cat cafe wh…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,in a jazz bar again or maybe just a cocktail bar sipping cocktails and having a relaxing time | the song reminds me of goofy old cartoons and makes me think of the looney toons | i think this is what elevator music should be and sound like i enjoyed this very much | instantly the chuckle brothers ca…,Ele_LOW_09,Jaz_LOW_21,movie,videogame,False,False,Ele,Jaz,bottom
22,36,0.42022737860679626,minecraft endofinput late at night in my bedroom and i can hear the rain come down and tap my bedroom window endofinput the youd hear in an indie endofinput i a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes endofinput the of shared and c…,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,sounds like minecraft | late at night in my bedroom and i can hear the rain come down and tap my bedroom window | sounds like the music youd hear in an indie game | i imagined a track for something taking place on the beach on an overcast blue grey day with cold waters and cold breezes | the music r…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,Ele_MED_19,Ele_LOW_09,concert,movie,False,False,Ele,Ele,bottom
31,36,0.42087677121162415,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,Met_MED_20,Ele_LOW_09,concert,movie,False,False,Met,Ele,bottom
0,36,0.4214543104171753,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to …,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,kind of sad melancholy not happy or upbeat emotionally charged | made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white | reminds me of back in the days my dad used to constantly play kenny…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,80s_LOW_02,Ele_LOW_09,bar,movie,False,False,80s,Ele,bottom
9,36,0.42467010021209717,phoning some company for help and then being put on hold for a long time while this endofinput it elevator or the you get on a call when you are put on hold also fit a generic supermarket in a endofinput in some sort of speakeasy if you have ever watched broad city theres an episode where abi turns …,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,phoning some company for help and then being put on hold for a long time while this music plays | it sounds like elevator music or the music you get on a call when you are put on hold would also fit a generic supermarket in a movie | music in some sort of speakeasy if you have ever watched broad cit…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,Jaz_LOW_21,Ele_LOW_09,bar,movie,False,False,Jaz,Ele,bottom
2,36,0.4286118149757385,i about an old 80s that takes place in a i about a couple dancing and having a good time this brings feelings of nostalgia and good times endofinput a but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a slight breeze cobblestone streets endofi…,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,i think about an old 80s movie that takes place in a bar i think about a couple dancing and having a good time this music brings feelings of nostalgia and good times | sounds like a jazz bar but particularly the outdoor seating area everyone is having cocktails or wine and its a warm evening with a …,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,80s_MED_08,Ele_LOW_09,bar,movie,False,False,80s,Ele,bottom
26,36,0.4289225935935974,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles endofinput first was the greatest of all time la noir its straight out of a 40s club or a prohibition era speakeasy endofinput at first i a browser window with a cafe ambient and then i see my universtys starbucks in full vi…,a car chase action endofinput driving a flying car in the future and weaving through traffic endofinput it was a science fiction cyberpunk style space building up to some massive fight endofinput seemed an adventure maybe a from blade runner endofinput the only thing i can of is a dance night club w…,when i was a kid spending an afternoon with my grandma doing jigsaw puzzles | first thought was the greatest video game of all time la noir its straight out of a 40s jazz club or a prohibition era speakeasy | at first i could imagine a browser window with a cafe ambient video playing and then i coul…,sounds like a car chase action scene | driving a flying car in the future and weaving through traffic | it was like a science fiction cyberpunk style space scene music building up to some massive fight | seemed like an adventure film maybe a scene from blade runner | the only thing i can think of is…,Jaz_MED_02,Ele_LOW_09,concert,movie,False,False,Jaz,Ele,bottom
