idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
117,118,0.979130208492279,its an energetic with a strong beat and a powerful electric,it a energetic with a strong beat and a powerful electric,its an energetic rock song with a strong beat and a powerful electric guitar,it sounded like a energetic rock song with a strong beat and a powerful electric guitar,Met_LOW_09,Jaz_LOW_19,concert,concert,False,True,Metal,Jazz,top
171,174,0.9674907922744751,the tune gives a driving experience,the tune gives a cinematic experience,the tune gives a driving experience,the tune gives a cinematic experience,80s_LOW_06,Met_LOW_14,concert,movie,False,False,80s,Metal,top
171,173,0.9674907922744751,the tune gives a driving experience,the tune gives a cinematic experience,the tune gives a driving experience,the tune gives a cinematic experience,80s_LOW_06,Met_LOW_09,concert,concert,False,True,80s,Metal,top
1165,1166,0.9619007706642151,a played on background of a cinema,a played on a background of an action,sounds like a music played on background of a cinema movie,sounds a music played on a background of an action movie,Met_LOW_09,Met_LOW_14,movie,videogame,False,False,Metal,Metal,top
1380,1382,0.9564093947410583,at first when it was just the i it at an upscale and quiet as i a player performing the but then as the rest of the came in i it being played at a fun and lighthearted where there is seating but also space for people to get up and dance to the,i was that this at an upscale initially with the delicate that was initially maybe at a place with a low stage and a with seating around it later as the vocals came in i it really set the mood for a in some fiction where two characters meet for the first time,at first when it was just the piano i could image it playing at an upscale and quiet bar as i could imagine a piano player performing the piece but then as the rest of the instrumental came in i could imagine it being played at a fun and lighthearted jazz bar where there is seating but also space fo…,i was thinking that this could play at an upscale bar initially with the delicate music that was playing initially maybe at a place with a low stage and a piano with seating around it later as the vocals came in i thought it could really set the mood for a scene in some fiction where two characters …,Jaz_LOW_19,80s_MED_13,bar,bar,False,True,Jazz,80s,top
929,931,0.9564045667648315,i hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe,i sitting in a cozy with dim lights and a relaxed crowd the has a smooth feel something youd hear late at night when everyones just unwinding people were chatting quietly sipping cocktails and just enjoying the atmosphere,i imagined hanging out at a laidback bar with friends on a weekend the music is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the bar sipping drinks and just enjoying the easygoing vibe,i imagined sitting in a cozy bar with dim lights and a relaxed crowd the music has a smooth jazz feel like something youd hear late at night when everyones just unwinding people were chatting quietly sipping cocktails and just enjoying the atmosphere,Ele_MED_20,80s_LOW_06,bar,bar,False,True,Electronic,80s,top
729,733,0.9557852149009705,an introduction at a the crowd is beginning to buzz with excitement as the are all their way to the stage loud cheers are erupting each time one of the members enters the feeling of tension within the crowd as they anticipate the entrance of the is lifting,another introduction style to as the are entering the stage people are getting excited there is a bustling among the crowd as the members are entering the stage,an introduction song at a concert the crowd is beginning to buzz with excitement as the band are all making their way to the stage loud cheers are erupting each time one of the band members enters the feeling of tension within the crowd as they anticipate the entrance of the band is lifting,another introduction style song to play as the band are entering the stage people are getting excited there is a bustling among the crowd as the band members are entering the stage,Jaz_MED_02,80s_MED_13,concert,concert,False,True,Jazz,80s,top
879,880,0.9551947116851807,the context prompt said but it did not really me of any i have played in the past so i tried to what a with it as a soundtrack might look and in the end i settled on a visual novel style as it certainly had atmosphere but i not mechanics to go with it and visual novel style are by nature less kineti…,it said so i what type of it fit as a soundtrack and figured probably action or science fiction but then it also gave me strong vibes so i started that a bit too i have been very interested in terminator lately so i parts of that and the based on it especially the retro ones although it does not fit…,the context prompt said video game but it did not really remind me of any video games i have played in the past so i tried to imagine what a game with it as a soundtrack might look and play like in the end i settled on a visual novel style game as it certainly had atmosphere but i could not picture …,it said movie so i imagined what type of movie it would fit as a soundtrack and figured probably action or science fiction but then it also gave me strong video game vibes so i started picturing that a bit too i have been very interested in terminator lately so i imagined parts of that movie and the…,80s_LOW_02,Ele_LOW_09,videogame,movie,False,False,80s,Electronic,top
1380,1386,0.9547621607780457,at first when it was just the i it at an upscale and quiet as i a player performing the but then as the rest of the came in i it being played at a fun and lighthearted where there is seating but also space for people to get up and dance to the,i was that initially i see this being played a at a small and intimate venue but when the beat and other elements of the kicked in i was this over a set of speakers in a midsized full of younger patrons,at first when it was just the piano i could image it playing at an upscale and quiet bar as i could imagine a piano player performing the piece but then as the rest of the instrumental came in i could imagine it being played at a fun and lighthearted jazz bar where there is seating but also space fo…,i was thinking that initially i could see this being played a piano at a small and intimate venue but when the beat and other elements of the instrumental kicked in i was visualising this playing over a set of speakers in a midsized bar full of younger patrons,Jaz_LOW_19,Ele_MED_19,bar,bar,False,True,Jazz,Electronic,top
929,935,0.9546226263046265,i hanging out at a laidback with friends on a weekend the is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the sipping drinks and just enjoying the easygoing vibe,this me of relaxing in a cozy with friends the vibe is smooth and mellow the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the softly in the background,i imagined hanging out at a laidback bar with friends on a weekend the music is smooth and relaxed setting a chill mood where everyones just talking laughing and unwinding people were sitting at the bar sipping drinks and just enjoying the easygoing vibe,this music made me think of relaxing in a cozy bar with friends the jazz vibe is smooth and mellow making the whole place feel warm and welcoming people are chatting laughing and enjoying their drinks while the music plays softly in the background,Ele_MED_20,Jaz_LOW_21,bar,bar,False,True,Electronic,Jazz,top
