idClipContext,BAR-80s_LOW_02,BAR-80s_LOW_06,BAR-80s_MED_08,BAR-80s_MED_13,BAR-Ele_LOW_09,BAR-Ele_LOW_14,BAR-Ele_MED_19,BAR-Ele_MED_20,BAR-Jaz_LOW_19,BAR-Jaz_LOW_21,BAR-Jaz_MED_02,BAR-Jaz_MED_07,BAR-Met_LOW_09,BAR-Met_LOW_14,BAR-Met_MED_19,BAR-Met_MED_20,CONCERT-80s_LOW_02,CONCERT-80s_LOW_06,CONCERT-80s_MED_08,CONCERT-80s_MED_13,CONCERT-Ele_LOW_09,CONCERT-Ele_LOW_14,CONCERT-Ele_MED_19,CONCERT-Ele_MED_20,CONCERT-Jaz_LOW_19,CONCERT-Jaz_LOW_21,CONCERT-Jaz_MED_02,CONCERT-Jaz_MED_07,CONCERT-Met_LOW_09,CONCERT-Met_LOW_14,CONCERT-Met_MED_19,CONCERT-Met_MED_20,MOVIE-80s_LOW_02,MOVIE-80s_LOW_06,MOVIE-80s_MED_08,MOVIE-80s_MED_13,MOVIE-Ele_LOW_09,MOVIE-Ele_LOW_14,MOVIE-Ele_MED_19,MOVIE-Ele_MED_20,MOVIE-Jaz_LOW_19,MOVIE-Jaz_LOW_21,MOVIE-Jaz_MED_02,MOVIE-Jaz_MED_07,MOVIE-Met_LOW_09,MOVIE-Met_LOW_14,MOVIE-Met_MED_19,MOVIE-Met_MED_20,VIDEOGAME-80s_LOW_02,VIDEOGAME-80s_LOW_06,VIDEOGAME-80s_MED_08,VIDEOGAME-80s_MED_13,VIDEOGAME-Ele_LOW_09,VIDEOGAME-Ele_LOW_14,VIDEOGAME-Ele_MED_19,VIDEOGAME-Ele_MED_20,VIDEOGAME-Jaz_LOW_19,VIDEOGAME-Jaz_LOW_21,VIDEOGAME-Jaz_MED_02,VIDEOGAME-Jaz_MED_07,VIDEOGAME-Met_LOW_09,VIDEOGAME-Met_LOW_14,VIDEOGAME-Met_MED_19,VIDEOGAME-Met_MED_20
BAR-80s_LOW_02,1.0000004,0.97413373,0.9674398,0.959672,0.9577371,0.9579709,0.9819388,0.97435087,0.9708327,0.97333795,0.98410505,0.98610866,0.9626652,0.9688511,0.967094,0.9563134,0.98562616,0.9710466,0.96996844,0.975734,0.9639951,0.94723123,0.9832017,0.96799535,0.97272795,0.96998376,0.9749136,0.982419,0.9589632,0.9680668,0.95257705,0.9602618,0.98301184,0.96511996,0.9701443,0.9720007,0.95440197,0.95107675,0.97469914,0.9741993,0.9745056,0.958819,0.9800197,0.98100483,0.9395405,0.9465728,0.956403,0.9692985,0.9817249,0.9667798,0.9645494,0.96695507,0.951149,0.933965,0.9768925,0.96670294,0.9377921,0.95519626,0.9819341,0.982833,0.9456826,0.94553757,0.9421445,0.94412506
BAR-80s_LOW_06,0.97413373,1.0000001,0.9787712,0.96013474,0.9652941,0.9629881,0.9709368,0.9725358,0.96823514,0.983077,0.9782792,0.97522736,0.9632752,0.9632349,0.9629087,0.95785147,0.9715374,0.9792369,0.97273,0.9734235,0.9661336,0.9537274,0.97533685,0.9621894,0.9759778,0.9728719,0.97319406,0.9795078,0.9549333,0.97065574,0.9464931,0.95926875,0.9673532,0.9696162,0.97307193,0.96784955,0.9523207,0.9496462,0.96502435,0.9625919,0.9660889,0.95798063,0.9782282,0.97390634,0.94381446,0.9468639,0.95760655,0.9691257,0.96642524,0.9679278,0.9650204,0.95864964,0.9480484,0.9336284,0.96419954,0.959667,0.9489895,0.95576113,0.97197366,0.9796851,0.9459982,0.9377389,0.93948907,0.9454272
BAR-80s_MED_08,0.9674398,0.9787712,0.9999999,0.9704339,0.97039217,0.96271586,0.9702926,0.9688386,0.9770347,0.97915924,0.9742302,0.9728919,0.96785426,0.97233635,0.9706457,0.9687743,0.97087073,0.98222756,0.9773002,0.9719987,0.96520877,0.9581177,0.97219497,0.96244067,0.9784478,0.9811897,0.9720762,0.970861,0.96215653,0.9759401,0.95806044,0.9695246,0.96152616,0.97630775,0.9789292,0.9727942,0.9546997,0.95879614,0.96659887,0.9624817,0.9710359,0.97371125,0.9743778,0.96707153,0.9527135,0.95848644,0.96735585,0.9782582,0.9668442,0.9770862,0.96886545,0.9697758,0.95131505,0.9372047,0.9688152,0.9607741,0.95443624,0.9670217,0.9722402,0.9745629,0.9542296,0.9418224,0.94908035,0.9557092
BAR-80s_MED_13,0.959672,0.96013474,0.9704339,0.99999976,0.9681098,0.96266043,0.9686786,0.96162283,0.97191966,0.9721422,0.96233815,0.96347773,0.9528956,0.9636295,0.96081376,0.96330154,0.9685906,0.9676368,0.967077,0.9762175,0.9674167,0.95763236,0.96130717,0.9702779,0.96853685,0.9706699,0.9680537,0.9649341,0.9537389,0.96588194,0.94967186,0.9590774,0.9569054,0.964576,0.9710399,0.9739749,0.9548011,0.96316886,0.9683358,0.96060526,0.96885073,0.9743359,0.9693166,0.95727956,0.9476376,0.96509564,0.9631635,0.9750517,0.965513,0.9747659,0.96660626,0.96971583,0.96052456,0.94845366,0.9698069,0.9737583,0.96596014,0.9642861,0.96794415,0.96460426,0.9476133,0.95684326,0.95921296,0.9669359
BAR-Ele_LOW_09,0.9577371,0.9652941,0.97039217,0.9681098,1.0000002,0.9761312,0.96823454,0.96728307,0.96959686,0.9687576,0.95762974,0.95743245,0.9672416,0.9789772,0.9802809,0.9725243,0.96286535,0.9722489,0.96511877,0.9673989,0.9798485,0.97756755,0.9668871,0.9691031,0.97842026,0.970835,0.9587822,0.9603144,0.9651527,0.9794394,0.9665363,0.9697727,0.9527428,0.96034044,0.9668163,0.9632672,0.9741541,0.97295797,0.9672814,0.96379733,0.96678644,0.9634974,0.9615035,0.952678,0.9670176,0.97390485,0.9785378,0.9761387,0.96669626,0.9763979,0.968431,0.971731,0.98049545,0.96572477,0.9711075,0.96863794,0.96783364,0.96129125,0.9639735,0.95980346,0.9723768,0.9668435,0.9730942,0.9716971
BAR-Ele_LOW_14,0.9579709,0.9629881,0.96271586,0.96266043,0.9761312,1.0,0.9654902,0.96539223,0.9656837,0.97253025,0.9592973,0.96068627,0.9612782,0.97297966,0.9735897,0.9698464,0.9592377,0.96960455,0.9620241,0.96456087,0.97902477,0.98451203,0.9625559,0.9585733,0.97730196,0.9610764,0.95552784,0.9572444,0.9690364,0.9734018,0.9638171,0.95855397,0.9544569,0.95728076,0.9636402,0.96200734,0.9778129,0.9733666,0.97334945,0.961202,0.9647559,0.9619833,0.9621933,0.95007396,0.96565807,0.9652496,0.97871304,0.9727508,0.9634951,0.9752512,0.9752986,0.97080976,0.9806035,0.9754826,0.9665712,0.96148956,0.9729562,0.96644807,0.9646275,0.9588424,0.96859497,0.96580815,0.97234714,0.9631833
BAR-Ele_MED_19,0.9819388,0.9709368,0.9702926,0.9686786,0.96823454,0.9654902,1.0000004,0.9816613,0.9754248,0.9747907,0.97950697,0.9811651,0.9661977,0.9730158,0.97312236,0.96314526,0.98012257,0.9698426,0.9698064,0.9795081,0.9710795,0.955053,0.9796945,0.97594684,0.9744749,0.96807843,0.9725609,0.97515047,0.95881164,0.97049797,0.95380354,0.96568936,0.9786811,0.96764565,0.9766873,0.9771016,0.9640652,0.9600262,0.9820944,0.97900647,0.975819,0.96248114,0.9816618,0.97367066,0.9496098,0.9580431,0.96544397,0.9763942,0.9823591,0.9782359,0.97052634,0.9715382,0.9620658,0.9452628,0.9812746,0.9751702,0.950298,0.96289426,0.9814567,0.97953486,0.95355,0.9518063,0.9513353,0.954258
BAR-Ele_MED_20,0.97435087,0.9725358,0.9688386,0.96162283,0.96728307,0.96539223,0.9816613,1.0000001,0.96700126,0.97250974,0.97691596,0.972525,0.96812314,0.96667886,0.97179925,0.9609159,0.9713335,0.9696565,0.96516544,0.9791662,0.965935,0.9547845,0.97576416,0.97508276,0.97347605,0.9623884,0.9736357,0.968443,0.9600734,0.9703804,0.9526686,0.96504754,0.9766972,0.96076417,0.97605205,0.9775678,0.966071,0.95232016,0.978867,0.97794664,0.96379054,0.95430326,0.9760104,0.9687484,0.95395017,0.9565816,0.9673734,0.9722569,0.97971594,0.9724592,0.9685066,0.9681058,0.96121496,0.94210804,0.9745444,0.9736107,0.9494701,0.95289266,0.9725872,0.97182584,0.9567437,0.94947034,0.95388377,0.95829463
BAR-Jaz_LOW_19,0.9708327,0.96823514,0.9770347,0.97191966,0.96959686,0.9656837,0.9754248,0.96700126,0.9999999,0.97194606,0.9718641,0.97391003,0.9623747,0.9754162,0.9711698,0.9661151,0.97461104,0.9696121,0.97441876,0.9709892,0.9684269,0.9636514,0.97427785,0.9639885,0.9773387,0.97699964,0.9651327,0.9695219,0.9546259,0.97035015,0.957047,0.97326165,0.96599865,0.96646696,0.96917754,0.96567404,0.95830464,0.9714613,0.96771353,0.9636969,0.9858377,0.9639034,0.9744058,0.9665655,0.9440243,0.9620366,0.9676749,0.9747555,0.96928036,0.9791038,0.965351,0.974414,0.96222067,0.95504916,0.977208,0.9632586,0.96566284,0.967041,0.9748981,0.97481936,0.9541817,0.9585254,0.9555883,0.95285416
BAR-Jaz_LOW_21,0.97333795,0.983077,0.97915924,0.9721422,0.9687576,0.97253025,0.9747907,0.97250974,0.97194606,1.0000002,0.9784663,0.9793629,0.9662428,0.9683001,0.9677571,0.9664874,0.9740649,0.9823253,0.9716126,0.97832483,0.97377574,0.96414286,0.9735696,0.9699764,0.9830494,0.9790337,0.97673345,0.9777046,0.9597734,0.9733893,0.9535607,0.9593731,0.9657243,0.9758874,0.97739065,0.9711913,0.9663249,0.9569303,0.97449327,0.96939135,0.97381365,0.97215265,0.9768846,0.974052,0.9537889,0.9551083,0.9695327,0.9740253,0.9699811,0.973827,0.9769747,0.96181166,0.9613278,0.9468985,0.9720222,0.96592677,0.9629661,0.9702841,0.9774704,0.97881377,0.95098484,0.9482589,0.9508773,0.95676994
