idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
48,746,-0.2934788167476654,this is the kind of background you hear when some big tech company some major innovation in the sphere and decides to a five minute long info dump explaining why this 1000 dollars smartphone is different from the one you just bought,the i be at a chilled festival in the countryside or woodlands and calmly dancing,this is the kind of background music you hear when some big tech company makes some major innovation in the sphere and decides to make a five minute long info dump explaining why this 1000 dollars smartphone is different from the one you just bought,the scene i imaged would be at a chilled music festival in the countryside or woodlands and calmly dancing,Ele_MED_20,Ele_MED_19,concert,concert,False,True,Electronic,Electronic,bottom
1576,1830,-0.2572086751461029,the was really soothing and me it for my pet to sleep,a woman in a moving across the street in a round skirt seeing a handsome man on the other end,the sound was really soothing and made me imagined playing it for my pet to sleep,a woman in a movie scene moving across the street in a round skirt seeing a handsome man on the other end,80s_LOW_02,Jaz_LOW_19,concert,movie,False,False,80s,Jazz,bottom
3,945,-0.25371164083480835,very heavy not for me somewhere that i do not belong did not enjoy,the was a new computer operating system start up with that being the start up,very heavy rock not for me somewhere that i do not belong did not enjoy,the scene was a new computer operating system start up sound with that song being the start up sound,Met_LOW_09,Ele_MED_20,concert,bar,False,False,Metal,Electronic,bottom
3,1700,-0.2479192018508911,very heavy not for me somewhere that i do not belong did not enjoy,the kind of tech companies when announcing a new phone,very heavy rock not for me somewhere that i do not belong did not enjoy,sounds like the kind of music tech companies play when announcing a new phone,Met_LOW_09,Ele_LOW_09,concert,bar,False,False,Metal,Electronic,bottom
1403,1876,-0.2461785525083542,i the main character of a dark action getting their weapons and tools ready so they can plot out how to take down their enemy,the is a county it is very enjoyable,i imagined the main character of a dark action movie getting their weapons and tools ready so they can plot out how to take down their enemy,the music is a county music it is very enjoyable,Met_LOW_09,80s_MED_08,movie,bar,False,False,Metal,80s,bottom
527,1327,-0.2434799075126648,breaking up with someone who i have been dating for a long time and then they start crying,i definitely did not a but i did envision watching one of the early 2000s educational science in elementary school it felt magical and nostalgic,breaking up with someone who i have been dating for a long time and then they start crying,i definitely did not imagine a bar but i did envision watching one of the early 2000s educational science videos in elementary school it felt magical and nostalgic,80s_LOW_02,80s_MED_13,videogame,bar,False,False,80s,80s,bottom
339,860,-0.24100035429000854,i this in a grocery store as a family is walking down an aisle looking for groceries,i a dragon flying in the air with its wings flapping and a camera shot panning on to its sharp and white teeth it also started to breathe out flames during the part of the wear the vocalist was slightly screaming,i could imagine this playing in a grocery store as a family is walking down an aisle looking for groceries,i imagined a dragon flying in the air with its wings flapping and a camera shot panning on to its sharp and white teeth it also started to breathe out flames during the part of the song wear the vocalist was slightly screaming,Jaz_LOW_21,Met_LOW_09,movie,bar,False,False,Jazz,Metal,bottom
206,1082,-0.23969104886054993,a specifically a fighting but on the character selection screen,i driving home after a stressful day at work and with the thoughts of how life has been unfair with me in areas where i gave in my all and did not get to achieve my goals,a video game specifically a fighting game but on the character selection screen,i imagined driving home after a stressful day at work and with the thoughts of how life has been unfair with me in areas where i gave in my all and did not get to achieve my goals,Met_LOW_14,80s_LOW_02,movie,movie,False,True,Metal,80s,bottom
252,389,-0.2374601513147354,a bunch of little aliens performing a tech,it felt my blood was rising a bit overwhelming but also i needed to just let lose crash out and enjoy myself,a bunch of little aliens performing a tech concert,it felt like my blood was rising a bit overwhelming but also like i needed to just let lose crash out and enjoy myself,Ele_LOW_14,Met_MED_19,bar,bar,False,True,Electronic,Metal,bottom
263,626,-0.2372676283121109,i a hacker trying his hardest to hack into a company to find out something about one of his friends it gets more and more intense as his screen shows a lot of windows and numbers with him trying his best to figure this code out he finally achieves this,i enjoyed this it is suitable for and musicals,i imagined a hacker trying his hardest to hack into a company to find out something about one of his friends it gets more and more intense as his screen shows a lot of windows and numbers with him trying his best to figure this code out he finally achieves this,i enjoyed this instrumental sound it is suitable for rock and band musicals,Ele_LOW_09,Met_MED_20,videogame,movie,False,False,Electronic,Metal,bottom
