idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
6,38,0.9834244847297668,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the s…,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be endofinput initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age endofinput me o…,this felt like i was listening to a lofi beats spotify playlist its quite relaxing | a rainy day and a forest | i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it t…,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be | initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with …,Ele_MED_19,Ele_MED_19,bar,movie,True,False,Ele,Ele,top
0,10,0.9814783334732056,kind of sad melancholy not happy or upbeat emotionally charged endofinput me a high end with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young staff dressed in black and white endofinput me of back in the days my dad used to constantly kenny gs i wanted to …,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,kind of sad melancholy not happy or upbeat emotionally charged | made me imagine a high end bar with atmospheric lighting with candles or small lamps on tables cocktails old fashioned etc young bar staff dressed in black and white | reminds me of back in the days my dad used to constantly play kenny…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,80s_LOW_02,Jaz_MED_02,bar,bar,False,True,80s,Jaz,top
6,35,0.9813525080680847,this felt i was listening to a lofi beats spotify playlist its quite relaxing endofinput a rainy day and a forest endofinput i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the s…,it in a science fiction endofinput i the korean i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line endofinput it it be an introduction to some romantic tv show or endofinp…,this felt like i was listening to a lofi beats spotify playlist its quite relaxing | a rainy day and a forest | i can see myself in a car as a passenger rain rolling down the windows as we drive on the interstate just outside of boston the sky is gloomy and there is so much fog in the sky or is it t…,imagine it in a science fiction movie | i imagined the korean movies i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line | it sounded like it could be an introduction to so…,Ele_MED_19,80s_MED_13,bar,movie,False,False,Ele,80s,top
9,25,0.9812895059585571,phoning some company for help and then being put on hold for a long time while this endofinput it elevator or the you get on a call when you are put on hold also fit a generic supermarket in a endofinput in some sort of speakeasy if you have ever watched broad city theres an episode where abi turns …,a but not one in particular endofinput i about a classic in a everyone is just enjoying the and each others company had to of a in my head because nothing came to me right away endofinput for this i a ragtime in black and white with some comedic aspects going on in a nice restaurant similar to the l…,phoning some company for help and then being put on hold for a long time while this music plays | it sounds like elevator music or the music you get on a call when you are put on hold would also fit a generic supermarket in a movie | music in some sort of speakeasy if you have ever watched broad cit…,a video game but not one in particular | i thought about a classic jazz band playing in a bar everyone is just enjoying the music and each others company had to think of a scene in my head because nothing came to me right away | for this i imagined a ragtime like scene in black and white with some c…,Jaz_LOW_21,Jaz_LOW_21,bar,concert,True,False,Jaz,Jaz,top
42,59,0.9809686541557312,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,it did not a if anything maybe the end credits or something again something sad or emotional youd hear being played in a you reflect on your life while having a drink alone endofinput does not fit with what i for a but does me a character walking into a high end or club specifically in new york city…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,it did not sound like a video game if anything maybe the end credits or something again sounded like something sad or emotional youd hear being played in a bar makes you reflect on your life while having a drink alone | does not fit with what i would imagine for a video game but does make me imagine…,Jaz_MED_02,Jaz_MED_07,movie,videogame,False,False,Jaz,Jaz,top
11,42,0.9803681373596191,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Jaz_MED_07,Jaz_MED_02,bar,movie,False,False,Jaz,Jaz,top
35,38,0.9799304008483887,it in a science fiction endofinput i the korean i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line endofinput it it be an introduction to some romantic tv show or endofinp…,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be endofinput initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age endofinput me o…,imagine it in a science fiction movie | i imagined the korean movies i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line | it sounded like it could be an introduction to so…,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be | initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with …,80s_MED_13,Ele_MED_19,movie,movie,False,True,80s,Ele,top
10,43,0.9798753261566162,very dynamic be swaying to the with someone you care about be sat with a drink alone about your life something important endofinput again in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting endofinput i my self watching a live and feeling nostalgic while n…,cosy endofinput in my bedroom studying for an important exam with various books open while i read endofinput it was the youd expect to hear as the hero entered a villains or lounge in a noir endofinput a in a speakeasy black and white or the brown filter whose name i can not maybe a detective drinki…,very dynamic could be swaying to the music with someone you care about could be sat with a drink alone thinking about your life something important | again jazz bar in new york city cocktails flowing older clientele everyone nicely dressed atmospheric lighting | i imagined my self watching a live ba…,sounds cosy | in my bedroom studying for an important exam with various books open while i read | it was the music youd expect to hear as the hero entered a villains bar or lounge in a noir movie | a movie scene in a speakeasy black and white or the brown filter whose name i cannot remember maybe a …,Jaz_MED_02,Jaz_MED_07,bar,movie,False,False,Jaz,Jaz,top
29,31,0.9798550605773926,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,Met_LOW_14,Met_MED_20,concert,concert,False,True,Met,Met,top
19,35,0.9798237085342407,quite magical and whimsical endofinput a and entering a new zone area endofinput it an extended version of a 90s console start up endofinput i an 80s esque abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the seemed fit for a musical but no musi…,it in a science fiction endofinput i the korean i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line endofinput it it be an introduction to some romantic tv show or endofinp…,sounds quite magical and whimsical | playing a video game and entering a new zone area | it sounded like an extended version of a 90s console start up sound | i imagined an 80s esque piece abstract at first with a navy blue background fog and cold white blue ambient lighting the last 13th of the son…,imagine it in a science fiction movie | i imagined the korean movies i used to binge watch when i was around the age of 14 to 16 i had just gotten back from school and after getting my assignments sorted out my favorite korean show was next in line | it sounded like it could be an introduction to so…,80s_MED_13,80s_MED_13,concert,movie,True,False,80s,80s,top
