idx_a,idx_b,similarity,text_a_model,text_b_model,text_a_orig,text_b_orig,clip_a,clip_b,context_a,context_b,same_clip,same_context,genre_a,genre_b,rank_type
15,30,0.9882414937019348,i of where they are at a school of or something similar and they are in a mosh pit endofinput i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold was whilst doing homework on the computer and talking to some friends on facebook at the time the is loud and …,i that i was watching a that has a montage an action comedy one i not actively being at a this endofinput a heavy gig or festival endofinput when i hear this i of my sister and i as kids listening to this banging our heads pretending to air our hair get all crazy but it was always so much fun to hav…,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,Met_MED_20,Met_MED_19,bar,concert,False,False,Met,Met,top
30,31,0.9881055355072021,i that i was watching a that has a montage an action comedy one i not actively being at a this endofinput a heavy gig or festival endofinput when i hear this i of my sister and i as kids listening to this banging our heads pretending to air our hair get all crazy but it was always so much fun to hav…,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,i imagined that i was watching a film that has a montage scene like an action comedy one i could not actively imagine being at a concert like this | a heavy metal gig or festival | when i hear this i think of my sister and i as kids listening to music like this banging our heads pretending to play a…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,Met_MED_19,Met_MED_20,concert,concert,False,True,Met,Met,top
46,47,0.9872772097587585,this reminded me of one of my favorite wrestlers his theme during his entrance is extremely similar to this i about watching him wrestling live with friends and having a great time endofinput a with drummers getting lit endofinput i of a chase the protagonist is running through a city and jumping ov…,driving my car really fast and recklessly while just about keeping it on the road endofinput it anime credits or opening title sequence endofinput not a no idea what weird have that but a avenge sevenfold the sort of i used to see on kerrang endofinput the resonates my one lost in the night where i …,this scene reminded me of one of my favorite wrestlers his theme music during his entrance is extremely similar to this song i thought about watching him wrestling live with friends and having a great time | a music concert with drummers getting lit | i thought of a chase scene the protagonist is ru…,driving my car really fast and recklessly while just about keeping it on the road | it sounded like anime credits or opening title sequence music | not a movie no idea what weird movie would have that music but a concert sounded like avenge sevenfold the sort of music video i used to see on kerrang …,Met_MED_19,Met_MED_20,movie,movie,False,True,Met,Met,top
11,27,0.987122654914856,i about a mystery or crime i about a black and white where the main character is a detective from the 50s and the woman the is in a red dress at a it seemed very old school to me endofinput a character sitting in a drinking all alone after a bad news he received endofinput it the that in a lowkey sp…,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i thought about a mystery or crime film i thought about a black and white film where the main character is a detective from the 50s and the woman playing the piano is in a red dress at a bar it seemed very old school to me | a movie character sitting in a bar drinking all alone after a bad news he r…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,Jaz_MED_07,Jaz_MED_07,bar,concert,True,False,Jaz,Jaz,top
15,47,0.9869266748428345,i of where they are at a school of or something similar and they are in a mosh pit endofinput i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold was whilst doing homework on the computer and talking to some friends on facebook at the time the is loud and …,driving my car really fast and recklessly while just about keeping it on the road endofinput it anime credits or opening title sequence endofinput not a no idea what weird have that but a avenge sevenfold the sort of i used to see on kerrang endofinput the resonates my one lost in the night where i …,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,driving my car really fast and recklessly while just about keeping it on the road | it sounded like anime credits or opening title sequence music | not a movie no idea what weird movie would have that music but a concert sounded like avenge sevenfold the sort of music video i used to see on kerrang …,Met_MED_20,Met_MED_20,bar,movie,True,False,Met,Met,top
27,42,0.9865601062774658,i myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh endofinput in my mind i see a similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the air is filled wit…,i was of a in a christmas where two people are in a posh restaurant endofinput a or slow dance in a endofinput i can see a stage the on the side a curtain slowing raising show a beautifully dressed woman who is about to endofinput i myself in a smokey club just enjoying the vibes endofinput this see…,i imagined myself in a restaurant maybe in the usa rather than the uk a calm evening meal probably at somewhere quite posh | in my mind i could see a jazz bar similar to one you might see in the 1920s there is a couple dancing nearby there is colored woman on stage taking a break from singing the ai…,i was thinking of a scene in a christmas film where two people are in a posh restaurant | a jazz bar or slow dance in a movie scene | i can see a jazz stage the instruments on the side a curtain slowing raising show a beautifully dressed woman who is about to sing | i could imagine myself in a smoke…,Jaz_MED_07,Jaz_MED_02,concert,movie,False,False,Jaz,Jaz,top
15,46,0.9863649010658264,i of where they are at a school of or something similar and they are in a mosh pit endofinput i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold was whilst doing homework on the computer and talking to some friends on facebook at the time the is loud and …,this reminded me of one of my favorite wrestlers his theme during his entrance is extremely similar to this i about watching him wrestling live with friends and having a great time endofinput a with drummers getting lit endofinput i of a chase the protagonist is running through a city and jumping ov…,i thought of movies where they are at a concert like school of rock or something similar and they are in a mosh pit | i can see myself at the computer desk as a kid opening up spotify to see what avenged sevenfold song was playing whilst doing homework on the computer and talking to some friends on …,this scene reminded me of one of my favorite wrestlers his theme music during his entrance is extremely similar to this song i thought about watching him wrestling live with friends and having a great time | a music concert with drummers getting lit | i thought of a chase scene the protagonist is ru…,Met_MED_20,Met_MED_19,bar,movie,False,False,Met,Met,top
29,31,0.9863460659980774,very dramatic very endofinput i chasing someone down some twisting small alleyways endofinput another that boss in a jrpg or an arcade that has a time trial on it a light gun endofinput long haired fans listening to some sort it felt similar to that through the fire and flames endofinput the only th…,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,sounds very dramatic very video game music | i imagined chasing someone down some twisting small alleyways | another piece that sounds like boss music in a jrpg or an arcade game that has a time trial on it like a light gun game | long haired metal fans listening to some sort metal music it felt sim…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,Met_LOW_14,Met_MED_20,concert,concert,False,True,Met,Met,top
38,54,0.9861299991607666,well quite sad and dynamic maybe a sad or something is being revealed doing something important maybe walking in the rain or going to do something you should not be endofinput initially it to be a over a sad moment of the however as the beat was added it fit more with a coming of age endofinput me o…,i about a memorial because of the dark beat at the beginning it began to get more upbeat so it me more optimistic thoughts endofinput those short minutes before the episode starts where they the soundtrack that is what came to mind endofinput a cutscene showing the main character living their everyd…,well made quite sad and dynamic maybe a sad scene or something is being revealed doing something important maybe walking in the rain or going to do something you should not be | initially imagined it to be a piece playing over a sad moment of the movie however as the beat was added it fit more with …,i thought about a memorial video because of the dark beat at the beginning it began to get more upbeat so it made me think more optimistic thoughts | those short minutes before the episode starts where they play the soundtrack that is what came to mind | sounds like a cutscene showing the main chara…,Ele_MED_19,Ele_MED_19,movie,videogame,True,False,Ele,Ele,top
31,46,0.9861294627189636,i about being in a with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the solo endofinput one of those white people where the artist a and they go wild but its a niche thing only kno…,this reminded me of one of my favorite wrestlers his theme during his entrance is extremely similar to this i about watching him wrestling live with friends and having a great time endofinput a with drummers getting lit endofinput i of a chase the protagonist is running through a city and jumping ov…,i thought about being in a rock concert with friends i can see myself looking to my right and left and being in the middle of a huge body of people i can see me and my friends jumping up and down and enjoying the guitar solo | one of those white people music concerts where the artist plays a guitar …,this scene reminded me of one of my favorite wrestlers his theme music during his entrance is extremely similar to this song i thought about watching him wrestling live with friends and having a great time | a music concert with drummers getting lit | i thought of a chase scene the protagonist is ru…,Met_MED_20,Met_MED_19,concert,movie,False,False,Met,Met,top
